identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib19225758_18950821_144022_193_0004_alto.xml-131-12	bib11653811_19020127_145317_14_0003_alto.xml-92-6	Josefin_Kokkinakis	1.0	 	2023-06-18 16:20:09.453	aktiv
bib15650814_18950919_146365_219_0001_alto.xml-69-0	bib15760600_18950614_146401_70_0002_alto.xml-65-12	Josefin_Kokkinakis	3.0	 	2023-06-18 16:21:42.075	aktiv
bib19225758_18950821_144022_193_0004_alto.xml-131-12	bib19277349_18950919_147403_120_0001_alto.xml-47-4	Josefin_Kokkinakis	1.0	 	2023-06-18 16:22:04.082	aktiv
bib19225772_18160906_148004_102_0001_alto.xml-14-26	bib11653828_17941128_144028_273_0003_alto.xml-9-30	Josefin_Kokkinakis	1.0	 	2023-06-18 16:23:59.299	aktiv
bib11653811_18991115_145317_176_0003_alto.xml-109-29	bib11653830_18950208_146968_17_0003_alto.xml-18-3	Josefin_Kokkinakis	4.0	 	2023-06-18 19:37:04.925	aktiv
bib19225772_18160827_148004_97_0004_alto.xml-7-8	bib15873371_18950723_145112_197_0003_alto.xml-117-40	Josefin_Kokkinakis	3.0	 	2023-06-18 19:40:44.329	aktiv
bib11653811_19000207_145317_20_0002_alto.xml-10-20	bib19520388_18020623_147487_25_0003_alto.xml-1-8	Josefin_Kokkinakis	1.0	 	2023-06-18 19:41:21.224	aktiv
bib11653828_18290707_144028_153_0003_alto.xml-23-23	bib11653828_18290225_144028_46_0003_alto.xml-8-15	Josefin_Kokkinakis	3.0	 	2023-06-18 19:41:42.238	aktiv
bib11653792_17950502_146919_18_0001_alto.xml-1-2	bib19520388_18050213_147487_7_0003_alto.xml-4-26	Josefin_Kokkinakis	2.0	 	2023-06-18 19:41:58.085	aktiv
bib11653811_18981029_145317_167_0002_alto.xml-151-12	bib11653811_19010720_145317_110_0003_alto.xml-22-15	Josefin_Kokkinakis	3.0	 	2023-06-18 19:43:44.28	aktiv
bib11653790_19030922_12541_74_0004_alto.xml-16-5	bib11653828_18301015_144028_239_0004_alto.xml-2-24	Benjamin	3.0	 	2023-06-19 12:42:55.239	aktiv
bib19277346_18100203_147394_2_0003_alto.xml-0-40	bib11653838_19000427_147024_17_0002_alto.xml-20-10	Benjamin	3.0	 	2023-06-19 12:45:10.916	aktiv
bib15650837_18020507_146391_37_0002_alto.xml-9-20	bib11653811_19020602_145317_82_0002_alto.xml-58-12	Benjamin	4.0	 	2023-06-19 12:46:32.255	aktiv
bib19223423_18290812_145063_64_0002_alto.xml-3-1	bib11653811_18990317_145317_42_0002_alto.xml-106-21	Benjamin	4.0	 	2023-06-19 12:47:16.828	aktiv
bib19227462_18950816_147640_189_0003_alto.xml-177-15	bib15760600_18950614_146401_70_0002_alto.xml-65-12	Benjamin	4.0	 	2023-06-19 12:48:28.477	aktiv
bib15650837_18950607_146391_130_0003_alto.xml-115-10	bib15975090_18961128_148377_148_0004_alto.xml-48-5	Benjamin	1.0	 	2023-06-19 12:49:09.745	aktiv
bib11653828_18290121_144028_16_0004_alto.xml-0-29	bib11653828_18220706_144028_154_0003_alto.xml-4-19	Benjamin	4.0	 	2023-06-19 12:49:44.404	aktiv
bib11653825_18050204_145134_14_0002_alto.xml-11-23	bib11653828_18301015_144028_239_0004_alto.xml-2-24	Benjamin	4.0	 	2023-06-19 12:50:23.076	aktiv
bib19225772_18160827_148004_97_0004_alto.xml-7-8	bib15650837_18950607_146391_130_0003_alto.xml-115-10	Benjamin	4.0	 	2023-06-19 12:50:42.766	aktiv
bib15650837_18950223_146391_46_0003_alto.xml-101-20	bib11653828_17960323_144028_67_0002_alto.xml-16-4	Benjamin	2.0	 	2023-06-19 12:51:51.888	aktiv
bib19225772_18130202_148004_12_0002_alto.xml-16-18	bib19227462_18950427_147640_97_0005_alto.xml-108-12	Benjamin	3.0	 	2023-06-19 12:53:24.473	aktiv
bib13506739_18160401_144030_76_0004_alto.xml-2-6	bib11653828_18290804_144028_177_0002_alto.xml-3-4	Benjamin	3.0	 	2023-06-19 12:55:49.402	aktiv
bib19225772_18130202_148004_12_0002_alto.xml-15-11	bib19277277_18950810_147683_215_0004_alto.xml-174-19	Benjamin	3.0	 	2023-06-19 12:56:06.95	aktiv
bib11653811_19000822_145317_129_0004_alto.xml-62-20	bib15975090_18960922_148377_118_0003_alto.xml-99-15	Benjamin	4.0	 	2023-06-19 12:57:00.855	aktiv
bib11653828_17970705_144028_149_0002_alto.xml-12-20	bib11653828_18020317_144028_62_0002_alto.xml-6-9	Benjamin	3.0	 	2023-06-19 12:58:18.976	aktiv
bib19225772_18130202_148004_12_0002_alto.xml-15-11	bib19277346_18240821_147394_34_0002_alto.xml-7-6	Benjamin	4.0	 	2023-06-19 12:58:36.214	aktiv
bib19277277_18950411_147683_99_0001_alto.xml-16-25	bib19277277_18300709_147682_155_0001_alto.xml-47-3	Benjamin	3.0	 	2023-06-19 12:59:31.671	aktiv
bib15760600_18950507_146401_54_0004_alto.xml-17-6	bib11653811_19010720_145317_110_0003_alto.xml-22-15	Benjamin	3.0	 	2023-06-19 12:59:52.096	aktiv
bib11653828_17950610_144028_129_0003_alto.xml-2-41	bib15761570_18951003_146176_164_0002_alto.xml-2-4	Benjamin	3.0	 	2023-06-19 13:00:25.601	aktiv
bib11653828_18290909_144028_208_0003_alto.xml-11-13	bib11653830_18960309_146968_20_0001_alto.xml-41-23	Benjamin	4.0	 	2023-06-19 13:00:50.981	aktiv
