identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib13506739_18210621_144030_142_0011_alto.xml-4-0	bib13506739_18250521_144030_115_0003_alto.xml-16-32	Benjamin	4.0	 	2023-06-19 14:05:58.686	annandag
bib13506739_18120516_144030_112_0002_alto.xml-1-4	bib15975087_18950531_145596_83_0004_alto.xml-69-0	Benjamin	4.0	 	2023-06-19 14:05:10.038	annandag
bib13506739_18180403_144030_75_0014_alto.xml-0-0	bib19227291_18951228_145289_154_0002_alto.xml-32-16	Benjamin	3.0	 	2023-06-19 14:06:19.434	annandag
bib15975087_18950410_145596_56_0001_alto.xml-31-4	bib19277277_18300514_147682_110_0003_alto.xml-34-6	Benjamin	4.0	 	2023-06-19 14:06:35.624	annandag
bib19225772_18131224_148004_149_0002_alto.xml-9-0	bib11653790_18971224_145648_101_0001_alto.xml-10-0	Benjamin	3.0	 	2023-06-19 14:06:52.493	annandag
bib13506739_18080420_144030_90_0007_alto.xml-5-0	bib11653838_19000608_147024_23_0002_alto.xml-106-0	Benjamin	4.0	 	2023-06-19 14:07:19.888	annandag
bib11653790_18970604_145648_43_0005_alto.xml-9-0	bib19227306_18290107_147700_1_0001_alto.xml-3-0	Benjamin	3.0	 	2023-06-19 14:07:52.075	annandag
bib19225772_18131224_148004_149_0002_alto.xml-9-0	bib15650835_18960519_146472_76_0001_alto.xml-31-6	Benjamin	4.0	 	2023-06-19 14:08:15.04	annandag
bib15869824_18950417_145700_31_0003_alto.xml-32-2	bib11653823_18260603_144010_126_0007_alto.xml-19-44	Benjamin	3.0	 	2023-06-19 14:09:52.811	annandag
bib19277277_18251230_147682_303_0004_alto.xml-9-1	bib15650837_18950530_146391_124_0001_alto.xml-14-5	Benjamin	4.0	 	2023-06-19 14:10:17.984	annandag
bib13506739_17911224_144030_299_0003_alto.xml-6-1	bib19227462_18950104_147640_3_0004_alto.xml-49-16	Benjamin	3.0	 	2023-06-19 14:10:38.503	annandag
bib15975090_18960414_148377_47_0002_alto.xml-71-1	bib19225772_18200519_148004_58_0002_alto.xml-9-5	Benjamin	4.0	 	2023-06-19 14:10:54.09	annandag
bib13506739_18190105_144030_3_0010_alto.xml-22-0	bib13506739_18270608_144030_131_0004_alto.xml-12-4	Benjamin	4.0	 	2023-06-19 14:11:19.463	annandag
bib19227462_18951207_147640_286_0003_alto.xml-140-23	bib15975090_18960414_148377_47_0002_alto.xml-71-1	Benjamin	4.0	 	2023-06-19 14:11:52.55	annandag
