identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib13506739_18200404_144030_76_0008_alto.xml-1-15	bib11653815_18971206_146944_141_0003_alto.xml-77-21	Benjamin	2.0	 	2023-06-21 13:26:16.548	antyda
bib11653830_18970308_146968_19_0002_alto.xml-48-3	bib11653811_18950426_145317_63_0003_alto.xml-94-13	Benjamin	3.0	 	2023-06-21 13:27:58.322	antyda
bib15650837_18291230_146391_104_0001_alto.xml-2-2	bib19277277_18250322_147682_67_0002_alto.xml-15-87	Benjamin	3.0	 	2023-06-21 13:29:08.602	antyda
bib13506739_18280114_144030_11_0001_alto.xml-11-2	bib11653790_18981216_145648_97_0003_alto.xml-142-14	Benjamin	3.0	 	2023-06-21 13:30:22.579	antyda
bib13506739_18130421_144030_90_0001_alto.xml-2-27	bib13506739_18190506_144030_103_0001_alto.xml-5-65	Benjamin	3.0	 	2023-06-21 13:31:16.914	antyda
bib19277277_18950907_147683_243_0010_alto.xml-5-1	bib15650835_18950614_146472_51_0003_alto.xml-105-17	Benjamin	3.0	 	2023-06-21 13:32:57.186	antyda
bib19277277_18950428_147683_114_0006_alto.xml-71-18	bib19227291_18290513_145289_20_0003_alto.xml-15-35	Benjamin	3.0	 	2023-06-21 13:34:44.71	antyda
bib19225772_18070715_148004_78_0001_alto.xml-0-71	bib11653828_18110417_144028_88_0003_alto.xml-9-20	Benjamin	4.0	 	2023-06-21 13:37:37.205	antyda
bib11653815_18971206_146944_141_0003_alto.xml-77-21	bib11653828_18110417_144028_88_0003_alto.xml-9-20	Benjamin	2.0	 	2023-06-21 13:38:12.501	antyda
bib15650837_18291230_146391_104_0001_alto.xml-2-2	bib13506739_18130421_144030_90_0001_alto.xml-2-27	Benjamin	4.0	 	2023-06-21 13:39:31.903	antyda
bib15760600_18950806_146401_92_0004_alto.xml-66-8	bib11653823_18251026_144010_248_0001_alto.xml-12-6	Benjamin	3.0	 	2023-06-21 13:40:22.735	antyda
