lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
antyda	 	1812	1	bib13506739_18120626_144030_145_0001_alto.xml-2-25	 	Nästkommtmve Lördag den 27 Innit mönstras ^e Barn, som af Frimurare-Barnhuset njuta underhäll och sto boeade pä Norrmalm: hw.irlöre wcdcrdörande Föräldrar och Fosterlöräldrar antydas, att wid denna förrättning sig iemte Barnen.infinna, försedde med uppgift vä Qwarlcrets och Gatans namn samt Husets nummer der Barnen wistaS.	175:182	0:324
antyda	 	1793	1	bib19225772_17930705_148003_52_0003_alto.xml-6-22	 	och öfwerenskoinma viii wrderböraudes härunder beroende rätt och bästa; ty mele Wi i näddr hafwa Eder änbefalt, det börén I antyda Prastcrstapet pa Landet och i Slädcrne, afhöra Husbönder.	124:130	0:188
antyda	 	1817	1	bib13506739_18171230_144030_301_0001_alto.xml-6-33	 	3 anseende till det omanliga snöfall, som nu inträffat, och pä det gatorne mii i hast girat brukbara, warda Hulivudstadens Husägande Jnwänare o^&gt; Entrcprenörerne för de Allmenna Platserne härigenom antydde.	201:208	0:209
antyda	 	1895	2	bib19277277_18950131_147683_30_0006_alto.xml-55-7	 	Dessa märken ’ skulle, som namnet antyder, få köpas samt ega giltighet i alla land, hvilka ansluta sig till det fördrag ’; ’; som skulle bildas i detta syfte.	34:41	0:158
antyda	 	1895	2	bib15650837_18950330_146391_75_0007_alto.xml-108-79	 	Han berättade, att han Fredagssftonen den 1 September9) 1809 kommit på resa från Örebro till GrufstugaD, som ligger ea fjerdedel » fjerdingsväg från Blackfärd, cch vistat » der öfver natten, att han följande morgoo, den 2 September, kl. 4 — 7 i sällskap mod sin reskamrat drängen Lindgren sett spår i daggen på vägen efter en man » - ooh en qvinepereon, som utkommit från Bieckfärd, samt att msnnons spår antydd » att haa skyndat efter qvinnan.	405:411	0:444
antyda	 	1895	2	bib19277277_18951001_147683_267_0006_alto.xml-140-0	 	antyder, att den rike patrieiern frikostigt understödjer det parti, till hvilket han anslutit sig.	0:7	0:98
antyda	 	1896	2	bib11653815_18960812_146944_64_0002_alto.xml-87-29	 	De svenska jernv ägarne ha ett godt vit ord för artighet och tillmötesgående mot de resande och de skulle med all säkerhet få ett ännu högre betyg örn det antydda arrangementet träffades.	155:162	0:187
antyda	 	1827	1	bib19277277_18270918_147682_218_0001_alto.xml-0-53	 	A« l-lldcnsinnd, efter hwad Stadens Politie-, Embets- och Bvggnings-KolleZiuiit hos Dfwer-Stäthällare-Embetct anmält, Murmästaren Gerhard Mciicr, hwilken af bemalte Kollegium den 24 Augusti 1824 blifwit falld till vites- och rnmks-bbtcr af Tio Riksdaler Banko, icke kunnat igenfinnas eller hanö wistelseort utrönas; fördenskull warder ofwannämndc Murmästare Gerhard Meijer härigenom antydd, att sin wistelseort ofördröjligen uppgifwa, samt förrberbrde böter betala; äfwenffm alla de, hwilka o » l denne Meijer nu äga, eller framdeles fa näston underrättelse, hwarest han sig uppehäller,.	383:389	0:587
antyda	 	1896	2	bib15873936_18960111_147385_4_0002_alto.xml-23-11	 	nyfikenhet motser man hvad trontalet kan komma att i denna riktning antyda med ord eller tystnad.	68:74	0:97
antyda	 	1814	1	bib13506739_18140214_144030_36_0004_alto.xml-14-16	 	Alla de som weta sig hafwa Panter pä Krogen uti Huset N:v 7 i Bollhusgränden, antydas arr ta » igenlösa inom Febr.	78:85	0:114
