identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib11653806_18160605_145120_61_0001_alto.xml-3-50	bib11653828_18060801_144028_174_0003_alto.xml-15-0	Josefin_Kokkinakis	4.0	 	2023-06-19 15:10:26.552	bearbeta
bib19277277_18950529_147683_144_0010_alto.xml-62-3	bib11653790_18990131_145648_8_0001_alto.xml-59-0	Josefin_Kokkinakis	3.0	 	2023-06-19 15:13:25.571	bearbeta
bib11653828_18110608_144028_131_0002_alto.xml-4-23	bib11653828_18301113_144028_264_0001_alto.xml-1-35	Josefin_Kokkinakis	3.0	 	2023-06-19 15:17:45.73	bearbeta
bib15975090_18960128_148377_13_0002_alto.xml-78-13	bib11653806_18110501_145120_48_0002_alto.xml-6-32	Josefin_Kokkinakis	3.0	 	2023-06-19 15:18:13.794	bearbeta
bib19227462_18951012_147640_238_0004_alto.xml-95-2	bib13506739_18260228_144030_37_0001_alto.xml-1-39	Josefin_Kokkinakis	3.0	 	2023-06-19 15:19:50.02	bearbeta
bib19227462_18951012_147640_238_0004_alto.xml-95-2	bib13506739_18300604_144030_126_0001_alto.xml-17-14	Josefin_Kokkinakis	3.0	 	2023-06-19 15:20:07.216	bearbeta
bib19227462_18950619_147640_140_0005_alto.xml-115-16	bib15650837_18950110_146391_8_0001_alto.xml-3-14	Josefin_Kokkinakis	3.0	 	2023-06-19 15:20:44.053	bearbeta
bib13506739_18051115_144030_265_0005_alto.xml-4-54	bib13506739_18270201_144030_26_0002_alto.xml-1-20	Josefin_Kokkinakis	3.0	 	2023-06-19 15:21:12.911	bearbeta
bib11653790_18981104_145648_85_0008_alto.xml-17-2	bib15761570_18950815_146176_134_0004_alto.xml-102-18	Josefin_Kokkinakis	2.0	 	2023-06-19 15:22:20.707	bearbeta
bib19227462_18950515_147640_112_0003_alto.xml-141-22	bib11653790_18981104_145648_85_0008_alto.xml-17-2	Josefin_Kokkinakis	3.0	 	2023-06-19 15:26:14.171	bearbeta
bib11653838_19020815_147024_33_0003_alto.xml-107-2	bib11653828_18300330_144028_73_0004_alto.xml-1-28	Josefin_Kokkinakis	3.0	 	2023-06-19 15:31:16.795	bearbeta
bib11653823_18260524_144010_117_0002_alto.xml-5-16	bib19277277_18950426_147683_112_0004_alto.xml-129-14	Josefin_Kokkinakis	3.0	 	2023-06-19 15:31:36.306	bearbeta
bib11653828_18040706_144028_154_0001_alto.xml-2-5	bib19277277_18950220_147683_50_0003_alto.xml-160-19	Josefin_Kokkinakis	2.0	 	2023-06-19 15:32:22.434	bearbeta
bib19225758_18950911_144022_211_0002_alto.xml-163-12	bib15873936_18950810_147385_93_0003_alto.xml-4-76	Josefin_Kokkinakis	2.0	 	2023-06-19 15:32:37.462	bearbeta
bib19227462_18950809_147640_183_0003_alto.xml-236-6	bib15760600_18950129_146401_12_0003_alto.xml-84-13	Josefin_Kokkinakis	3.0	 	2023-06-19 15:32:52.355	bearbeta
bib11653811_18980810_145317_121_0003_alto.xml-146-49	bib15873936_18950502_147385_52_0003_alto.xml-98-8	Josefin_Kokkinakis	3.0	 	2023-06-19 15:33:30.011	bearbeta
bib11653828_18250715_144028_160_0004_alto.xml-1-59	bib11653823_18300809_144010_181_0001_alto.xml-14-8	Josefin_Kokkinakis	3.0	 	2023-06-19 15:34:09.064	bearbeta
bib11653815_18970409_146944_41_0002_alto.xml-59-38	bib19520388_18120729_147487_31_0003_alto.xml-8-8	Josefin_Kokkinakis	4.0	 	2023-06-19 15:34:42.881	bearbeta
bib11653828_18200502_144028_100_0003_alto.xml-15-13	bib15761570_18950815_146176_134_0004_alto.xml-102-18	Josefin_Kokkinakis	3.0	 	2023-06-19 15:35:38.049	bearbeta
bib13506739_18301224_144030_299_0003_alto.xml-4-11	bib19277277_18301213_147682_290_0001_alto.xml-31-13	Josefin_Kokkinakis	3.0	 	2023-06-19 15:36:02.52	bearbeta
bib15975087_18950105_145596_3_0001_alto.xml-22-36	bib15650814_18950911_146365_212_0003_alto.xml-137-15	Josefin_Kokkinakis	2.0	 	2023-06-19 15:36:38.382	bearbeta
bib11653830_18950311_146968_30_0002_alto.xml-137-30	bib19277277_18301213_147682_290_0001_alto.xml-31-13	Josefin_Kokkinakis	2.0	 	2023-06-19 15:36:50.816	bearbeta
bib11653828_18250525_144028_117_0001_alto.xml-8-7	bib19227462_18950628_147640_147_0003_alto.xml-214-30	Josefin_Kokkinakis	2.0	 	2023-06-19 15:36:55.789	bearbeta
bib11653815_18970409_146944_41_0002_alto.xml-59-38	bib11653828_18190206_144028_30_0003_alto.xml-5-11	Josefin_Kokkinakis	3.0	 	2023-06-19 15:38:51.016	bearbeta
bib19225758_18950803_144022_178_0006_alto.xml-10-15	bib11653828_18180520_144028_112_0003_alto.xml-4-27	Josefin_Kokkinakis	3.0	 	2023-06-19 15:42:56.826	bearbeta
bib11653828_18300610_144028_131_0002_alto.xml-11-114	bib15650837_18130922_146391_76_0002_alto.xml-4-29	Josefin_Kokkinakis	3.0	 	2023-06-19 15:43:33.911	bearbeta
bib19349359_18950312_148383_30_0001_alto.xml-15-28	bib13506739_18300820_144030_191_0001_alto.xml-34-19	Josefin_Kokkinakis	2.0	 	2023-06-19 15:44:56.249	bearbeta
bib11653828_18250113_144028_9_0002_alto.xml-1-7	bib19277277_18951031_147683_297_0003_alto.xml-70-31	Josefin_Kokkinakis	4.0	 	2023-06-19 15:45:53.98	bearbeta
bib19277277_18950220_147683_50_0003_alto.xml-160-19	bib11653790_19020422_145648_31_0003_alto.xml-106-5	Josefin_Kokkinakis	2.0	 	2023-06-19 15:46:45.487	bearbeta
bib11653828_18300501_144028_99_0001_alto.xml-12-16	bib15650837_18951228_146391_302_0006_alto.xml-14-55	Josefin_Kokkinakis	2.0	 	2023-06-19 15:46:55.848	bearbeta
bib13506739_18281106_144030_260_0001_alto.xml-15-64	bib19227462_18950406_147640_81_0005_alto.xml-80-9	Josefin_Kokkinakis	2.0	 	2023-06-19 15:52:34.885	bearbeta
bib11653828_18060801_144028_174_0003_alto.xml-15-0	bib11653828_18050926_144028_223_0002_alto.xml-3-1	Josefin_Kokkinakis	3.0	 	2023-06-19 15:52:49.614	bearbeta
bib11653828_18260128_144028_23_0004_alto.xml-3-17	bib11653830_18970902_146968_70_0001_alto.xml-42-54	Josefin_Kokkinakis	4.0	 	2023-06-19 15:53:39.079	bearbeta
bib15873936_18950502_147385_52_0003_alto.xml-98-8	bib11653815_18961125_146944_94_0003_alto.xml-82-3	Josefin_Kokkinakis	3.0	 	2023-06-19 15:54:07.467	bearbeta
bib19227462_18950405_147640_80_0003_alto.xml-261-6	bib19277277_18950902_147683_238_0007_alto.xml-133-5	Josefin_Kokkinakis	3.0	 	2023-06-19 15:54:15.753	bearbeta
bib11653828_18301113_144028_264_0001_alto.xml-1-35	bib13506739_18261101_144030_243_0004_alto.xml-0-14	Josefin_Kokkinakis	2.0	 	2023-06-19 15:55:08.807	bearbeta
bib15975090_18960104_148377_2_0002_alto.xml-169-29	bib19223423_17900430_145063_18_0002_alto.xml-3-8	Josefin_Kokkinakis	3.0	 	2023-06-19 15:55:49.114	bearbeta
bib19277277_18950529_147683_144_0010_alto.xml-62-3	bib19227462_18951212_147640_290_0006_alto.xml-9-9	Josefin_Kokkinakis	4.0	 	2023-06-19 15:56:06.524	bearbeta
bib19225758_18950803_144022_178_0006_alto.xml-10-15	bib11653825_18150105_145134_2_0005_alto.xml-4-9	Josefin_Kokkinakis	3.0	 	2023-06-19 15:56:22.808	bearbeta
bib19223423_18250212_145063_12_0002_alto.xml-8-9	bib11653828_18300501_144028_99_0001_alto.xml-12-16	Josefin_Kokkinakis	3.0	 	2023-06-19 15:57:28.517	bearbeta
bib11653811_19010629_145317_98_0004_alto.xml-66-20	bib15978012_18951128_148361_278_0002_alto.xml-49-15	Josefin_Kokkinakis	3.0	 	2023-06-19 15:57:42.71	bearbeta
bib11653823_18291219_0_295_0004_alto.xml-12-24	bib15760600_18950129_146401_12_0003_alto.xml-84-13	Josefin_Kokkinakis	2.0	 	2023-06-19 15:58:06.985	bearbeta
bib15760690_18951216_145050_194_0002_alto.xml-119-8	bib11653828_18220514_144028_111_0001_alto.xml-0-18	Josefin_Kokkinakis	3.0	 	2023-06-19 15:59:11.911	bearbeta
bib19225772_18241020_148004_121_0002_alto.xml-4-9	bib15978012_18951128_148361_278_0002_alto.xml-49-15	Josefin_Kokkinakis	3.0	 	2023-06-19 15:59:21.928	bearbeta
bib11653828_18190622_144028_141_0002_alto.xml-10-41	bib11653828_18300610_144028_131_0002_alto.xml-11-114	Josefin_Kokkinakis	3.0	 	2023-06-19 16:00:16.539	bearbeta
