identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib11653811_18971206_145317_189_0003_alto.xml-129-1	bib15650837_18950621_146391_142_0003_alto.xml-170-0	Benjamin	1.0	 	2023-06-25 13:44:03.849	beredning
bib19277277_18250209_147682_32_0002_alto.xml-5-3	bib19225758_18951122_144022_273_0002_alto.xml-317-29	Benjamin	1.0	 	2023-06-25 13:46:06.904	beredning
bib11653828_18031212_144028_284_0004_alto.xml-9-11	bib19223423_18080423_145063_33_0003_alto.xml-3-7	Benjamin	2.0	 	2023-06-25 13:47:16.301	beredning
bib13506739_18261108_144030_249_0004_alto.xml-7-6	bib13506739_17940729_144030_169_0001_alto.xml-5-30	Benjamin	4.0	 	2023-06-25 13:48:29.031	beredning
bib19225772_18301019_148004_119_0004_alto.xml-4-9	bib11653828_18010226_144028_47_0001_alto.xml-2-11	Benjamin	3.0	 	2023-06-25 13:49:55.383	beredning
bib19223423_18250615_145063_47_0004_alto.xml-0-8	bib19227462_18950123_147640_19_0002_alto.xml-13-25	Benjamin	1.0	 	2023-06-25 13:50:11.893	beredning
bib15873371_18950531_145112_146_0001_alto.xml-55-0	bib15869824_18961114_145700_91_0004_alto.xml-11-2	Benjamin	1.0	 	2023-06-25 13:50:24.409	beredning
bib19225758_18950215_144022_39_0002_alto.xml-237-2	bib11653823_18300816_144010_187_0004_alto.xml-3-26	Benjamin	1.0	 	2023-06-25 13:53:49.669	beredning
bib13506739_18290725_144030_169_0002_alto.xml-8-33	bib19223423_18250119_145063_5_0002_alto.xml-0-4	Benjamin	1.0	 	2023-06-25 13:54:16.236	beredning
bib19225772_18250722_148004_83_0003_alto.xml-4-0	bib19225758_18950517_144022_114_0003_alto.xml-4-8	Benjamin	1.0	 	2023-06-25 13:54:39.612	beredning
bib19225772_18221016_148004_119_0004_alto.xml-2-10	bib19225758_18950517_144022_114_0002_alto.xml-174-0	Benjamin	1.0	 	2023-06-25 13:54:53.574	beredning
bib11653838_19030515_147024_20_0003_alto.xml-105-61	bib15978012_18950312_148361_60_0004_alto.xml-17-9	Benjamin	2.0	 	2023-06-25 13:56:30.968	beredning
bib13506739_18260531_144030_112_0004_alto.xml-6-9	bib11653811_19020825_145317_129_0004_alto.xml-23-18	Benjamin	3.0	 	2023-06-25 13:57:19.635	beredning
bib11653806_18060206_145120_14_0008_alto.xml-10-39	bib11653811_18970618_145317_92_0001_alto.xml-25-15	Benjamin	1.0	 	2023-06-25 13:58:29.633	beredning
bib19223423_18110130_145063_9_0001_alto.xml-5-28	bib15869824_18961114_145700_91_0004_alto.xml-11-2	Benjamin	4.0	 	2023-06-25 13:59:08.702	beredning
bib13506739_18250604_144030_126_0006_alto.xml-7-11	bib19277277_18290225_147682_46_0002_alto.xml-23-63	Benjamin	1.0	 	2023-06-25 14:00:04.771	beredning
bib15873371_18950104_145112_3_0002_alto.xml-69-19	bib19225758_18950322_144022_69_0002_alto.xml-234-25	Benjamin	4.0	 	2023-06-25 14:02:06.547	beredning
bib11653811_19020811_145317_121_0004_alto.xml-90-10	bib11653790_18980902_145648_67_0008_alto.xml-62-10	Benjamin	1.0	 	2023-06-25 14:02:47.805	beredning
bib11653811_19010807_145317_120_0001_alto.xml-16-7	bib11653806_18031130_145120_130_0002_alto.xml-3-113	Benjamin	4.0	 	2023-06-25 14:03:35.392	beredning
bib13506739_18290725_144030_169_0002_alto.xml-8-33	bib11653790_19000629_145648_51_0001_alto.xml-28-8	Benjamin	1.0	 	2023-06-25 14:03:51.03	beredning
bib15975087_18951106_145596_172_0004_alto.xml-59-18	bib11653790_18980422_145648_30_0003_alto.xml-159-51	Benjamin	1.0	 	2023-06-25 14:04:17.985	beredning
bib11653811_19020124_145317_12_0004_alto.xml-13-3	bib15873371_18951122_145112_319_0002_alto.xml-171-29	Benjamin	4.0	 	2023-06-25 14:05:05.596	beredning
bib19227462_18950104_147640_3_0002_alto.xml-230-7	bib19277346_18160420_147394_16_0004_alto.xml-4-43	Benjamin	1.0	 	2023-06-25 14:06:08.33	beredning
bib19225772_18240907_148004_102_0002_alto.xml-7-16	bib11653790_19001127_145648_94_0001_alto.xml-75-12	Benjamin	1.0	 	2023-06-25 14:06:26.047	beredning
bib11653838_19020808_147024_32_0002_alto.xml-181-2	bib19225758_18950705_144022_153_0004_alto.xml-3-5	Benjamin	1.0	 	2023-06-25 14:07:51.087	beredning
bib15873371_18950104_145112_3_0002_alto.xml-69-19	bib11653811_19010807_145317_120_0001_alto.xml-16-7	Benjamin	1.0	 	2023-06-25 14:08:15.146	beredning
bib19277277_18951003_147683_269_0004_alto.xml-54-20	bib19225758_18950322_144022_69_0002_alto.xml-234-25	Benjamin	4.0	 	2023-06-25 14:08:38.653	beredning
bib15975087_18951106_145596_172_0004_alto.xml-59-18	bib13506739_18111231_144030_304_0012_alto.xml-2-14	Benjamin	1.0	 	2023-06-25 14:09:36.383	beredning
bib19223423_18090412_145063_29_0003_alto.xml-4-6	bib19349359_18950608_148383_67_0003_alto.xml-59-20	Benjamin	1.0	 	2023-06-25 14:10:16.542	beredning
bib13506739_18120430_144030_99_0008_alto.xml-2-8	bib11653823_18300518_144010_113_0001_alto.xml-12-13	Benjamin	1.0	 	2023-06-25 14:10:45.817	beredning
bib11653806_18010415_145120_41_0004_alto.xml-8-12	bib19277346_18151223_147394_51_0001_alto.xml-0-11	Benjamin	2.0	 	2023-06-25 14:11:08.766	beredning
bib15975087_18950520_145596_77_0005_alto.xml-34-32	bib13506739_18081111_144030_263_0003_alto.xml-3-36	Benjamin	4.0	 	2023-06-25 14:11:49.149	beredning
bib11653828_18050212_144028_36_0002_alto.xml-5-7	bib19225792_18121121_147359_47_0005_alto.xml-2-5	Benjamin	3.0	 	2023-06-25 14:13:31.4	beredning
