lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
bolagsstämma	 	1828	1	bib11653823_18280523_144010_119_0003_alto.xml-19-11	 	besinr, bedagade Hrr Aeneägare i Stockholms SjöförfäkiingSBolag sammanträda till allmän Bolagsstämma, som kommer a » hällas i gu ' a satt » pä Börsen, Lördagen d.	88:100	0:162
bolagsstämma	 	1830	1	bib11653823_18300419_144010_88_0003_alto.xml-14-4	 	Nädiga Regkeniente, Lagtima Bolagsstämma kommer att hällas i Stockholn!	28:40	0:71
bolagsstämma	 	1895	2	bib11653836_18951108_147011_45_0001_alto.xml-92-77	 	Som det nu tillvägagås, framtvingas af sig sjelf den frågan: skola härvidlag någon eller några af de större aktieegarne öfvertaga affären, helt visst till egen fördel, sedan kommunerna på grund af den en gång i bolagsordningen stipulerade“ solidariska ansvarigheten\" låtit förmå sig att skänka bort sina aktier, för så vidt det icke rent af är så, att den anonyme spekulanten sjelf kunnat genom högt röstetal inom kommunen och på bolagsstämma genomdrifva försälj ningsbesiutet?	430:442	0:477
bolagsstämma	 	1895	2	bib19277330_18950409_0_42_0001_alto.xml-22-4	 	behagade sammanträda till ordinarie bolagsstämma å Rådhuset i Upsala Lördagen ilen 27 April 1895 kl. 5 e. m.	36:48	0:108
bolagsstämma	 	1826	1	bib13506739_18260825_144030_185_0001_alto.xml-30-5	 	Till Me of det wid Bolagsstämman dcn 22 sistl. mZnad fattade besitt, bebagade Herrar Aktie-Ägare i Stvkkholins SlöförsäkringS Bolag enhälligt sammanträda i gnla Salen 8 Börsen Lördagen ben 2G dennes, klock.	19:32	0:206
bolagsstämma	 	1822	1	bib19225772_18220719_148004_81_0003_alto.xml-1-40	 	M Prytz ' s benägna löfte att, ä mina wagnar, wara ena mottagaren af sadan inbetalning af de Herdar Aktieägare, hwilka önsta att i Götheborg densamma fullgöra; men som enligt samrelige Herdar Aktieägares beflut, wid Bolagsstämma 1818 för sadan liqwidation annorstädes an i Stockholm, erfordras, akt de särffildt igenom Wal utse en af deras medel, som under gemensam answarighet med Canal Directeuren ä stäiiet besörjer emvitagningen och till StockHolm vfwersänder beloppet derföre, anhäller jag att Herdar Aktieägare, svin önsta begagna denna förman, äfwen behagade Tisdagen den 23 dennes kl. ia pa förmiddagen uti Stadens Herror Aiostes Rum malja, eller förena sig om, ett sadant Ombud.	216:228	0:687
bolagsstämma	 	1895	2	bib19277277_18950504_147683_120_0008_alto.xml-131-16	 	Brandförsäkring sbolaget Tor hade den 2 dennes i bolagets lokal, Klara Bergsgatan 23, ordinarie bolagsstämma under ordförandeskap af kontreamiralen 0.	96:108	0:150
bolagsstämma	 	1895	2	bib15978012_18950327_148361_72_0004_alto.xml-17-4	 	kallas härmed till ordinarie bolagsstämma, som hålles i n:r 7 Kalendegatan i Malmö torsdagen den elfte (li) april kl. li f. m., därvid förekommer fråga örn bolagets upplösning.	29:41	0:176
bolagsstämma	 	1827	1	bib13506739_18270511_144030_109_0002_alto.xml-2-39	 	Samtlige Herrar Ledamöter af Samfundet W. 6c W. behagade allmänt sammanlräda dag Fredag den it denncS, kl. precis 6 e. m. Direktlonen af Stockholm * SjöiSrsäkringS-Bolag lär härigenom anmoda Her » rar Aktie-Ägare att sammanträda till Allmän Bolagsstämma, som Särdagen den 12 nSjlfom.	241:253	0:283
bolagsstämma	 	1807	1	bib19520388_18070304_147487_8_0011_alto.xml-0-15	 	k Enligt samtelige närwarande LottägareS uti nya Warfs anläggningen härstädes, wid all » männ« Bolagsstämman den Z innewarande Februari tagne beslut.	95:108	0:149
bolagsstämma	 	1827	1	bib11653823_18270321_144010_67_0002_alto.xml-28-4	 	Till den wankiga ärkiga Bolagsstämman, behagade Interefenterne i Ångfartyget Föreningen sammanträda hos Grofihandlanden And.	24:37	0:124
bolagsstämma	 	1808	1	bib11653806_18080524_145120_57_0006_alto.xml-9-14	 	Skepps-Warfwet Gustaf Adolph i Landscrona bestämde termin i Iunii månad till betta ärs allmänna Bolagsstämma härstädes, har för mellankomne hinder mast utsättas till Fredagen den 1 iiästinstundsndc 3utii, kl. 9 förmidd., da jemwäl efter 4 §- wal förrättas lill ny efterträdare uti den afgående Föreståndarens ställe; hwilket till resp. Warfs Bokagclg underräkiclse kungöreS.	96:108	0:374
bolagsstämma	 	1807	1	bib13506739_18070704_144030_151_0004_alto.xml-15-14	 	detsamma belastadt; sä erinras Lottägarne, att wid den utaf Länets Bergmästare utsatta Bolagsstämman den 9 Oetober detta är wara beredda att betala den kostnad som till samma Rättegång ätflätt, och af underskrefwen blifwit förjkuten: med tillkännagifwande, det iag fördenstull som Part, hwarken wid Bolagsstämman, eller den 12 derpä följande Bergs-Ting, kan för andra Lottägare ätaga mig näflot Fullmägtigstap, utom instämda Mälet emot Notarien Jonsson att fullgöra Urtima Tings-Rattens Laga kraft wundne Dom, samt äterställa Brukets bomagne Handlingar.	87:100	0:553
bolagsstämma	 	1830	1	bib15650837_18300331_146391_26_0002_alto.xml-29-23	 	instundande April mänad hwarie SöcknedagS föriniddag frän kl. 1« till 12, att HoS undertecknad, sä wäl anteckna sig till den wid Bolagsstämman d.	129:142	0:145
bolagsstämma	 	1828	1	bib19225772_18280617_148004_68_0004_alto.xml-4-3	 	f Som wid Bolagsstämman i gör sö fö Jnteressenter infnnuo sig, anmodas Herrar ^ » teres senter att till allmän Bolagsstämma sammanttäda ö Warfwet Kusten den 10 dennes it in f m, anböllande Directionen, att de af Jnteressenterne, som icke äga särdeles förfall, wille sta lnffnna, helst flere frögor af wigt komma wid tillfället, att till afgörande föreläggas.	10:23	0:358
bolagsstämma	 	1826	1	bib11653823_18260503_144010_101_0003_alto.xml-1-14	 	fattade beflut, anmodas Hrr Lottägare r Stockholms SjöApecurancesallffap, att sammanträda till allmän Bolagsstämma, fvm Lördagen ' d. st nästk. Maj kl. half - o f. m. kommer att hällas i Gilla Sale » a.	102:114	0:202
bolagsstämma	 	1895	2	bib19277277_18950316_147683_74_0001_alto.xml-25-4	 	kallas härmed till ordinarie bolagsstämma å bolagets kontor här i staden Tisdagen den 2 nästinstundande April kl. 10 f. m.	29:41	0:122
bolagsstämma	 	1895	2	bib19225758_18950502_144022_101_0001_alto.xml-70-4	 	kallas härmed till ordinarie bolagsstämma å Rådhuset i Venersborg, måndagen den 10 nästkommande Juni klockan 1 på dagen; skolande talons till det antal aktier, för hvilka delegare önskar att vid stämman föra talan, samma dag klockan 10 — 12 f. m. nedsättas & bolagets kontor här i staden.	29:41	0:288
bolagsstämma	 	1895	2	bib19225758_18950308_144022_57_0001_alto.xml-30-4	 	kallas härigenom till ordinarie bolagsstämma å Grand Hotel Haglund härstädes lördagen d.	32:44	0:88
bolagsstämma	 	1897	2	bib19227291_18970102_145289_1_0003_alto.xml-12-3	 	ställe vid ordinarie bolagsstämma den 8 Maj 1896 till ledamöter i styrelsen blifvit invalde Handlanden Lars Johan Lundgren och Akademisekreteraren Johan Otto Ernberg, att ledamoten af styrelsen f. d.	21:33	0:199
