lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
bröllop	 	1792	1	bib19520388_17920321_147487_12_0002_alto.xml-4-16	 	anse, och nied nådigt wälbehag emottaga del anbud Riksens Släuber i underdånighet gora af en Bröllops-	93:102	0:102
bröllop	 	1830	1	bib15650837_18300529_146391_43_0003_alto.xml-3-13	 	tanken: min brud wantar i den kalla grafwen, der jag tillställt bröllopet, jagade honom frän den ena - qwalenS afgrund till den andra, och han lärde der, under nogsamt befinna, att man ej bör gäckas med en ostvldig flickas hierta och kärlek.	64:73	0:241
bröllop	 	1819	1	bib11653828_18190528_144028_121_0004_alto.xml-14-2	 	Dagen till bröllop blir utsatt; ben gamle Brudgummen, affkräckt	11:18	0:63
bröllop	 	1824	1	bib13506739_18240611_144030_133_0002_alto.xml-7-10	 	Djurgärden uppföres oälta Söndaa den 13 dennes: Resan till Bröllopet,	59:68	0:69
bröllop	 	1823	1	bib13506739_18231231_144030_302_0003_alto.xml-3-6	 	of flere kulörer; pr kade Bröllops- och Begrafnings-Kort; l!ni§rade vch clinierade Skrisböcker: en mängd diverse Skolböcker och Spräkläror, samt ett Ercinpl-ir af Bibeln i 4:to, inbunden i snyggt Band, med Doktor Luthers Porträtt i Silfwer utanpä Pärmen.	26:35	0:254
bröllop	 	1805	1	bib11653828_18051221_144028_296_0002_alto.xml-2-10	 	mycket: hon har i sin lefnad alldrig warit pä bröllop, och kunde nu hafwa tillfälle ali wisa sig i en ny klädning.	46:53	0:114
bröllop	 	1798	1	bib11653828_17980706_144028_152_0003_alto.xml-10-16	 	likwal mera wardera friheten, och mänge mänader gä förbi, utan at nian hörer et bröllop omtalas.	80:87	0:96
bröllop	 	1809	1	bib11653792_18090701_146919_26_0003_alto.xml-0-5	 	de det sä kallade Magdeburgsta Bröllopet förtjena ett rum.	31:40	0:58
bröllop	 	1803	1	bib13506739_18030323_144030_67_0003_alto.xml-1-2	 	4:0 Bachi Bröllop med sin Slicka som dansar Ryssa.	10:17	0:50
bröllop	 	1830	1	bib19277277_18301106_147682_258_0004_alto.xml-31-20	 	Ell Fruntimmer, som i siere år snsielsatt sig med matlagning, erbjuder si » tjenst i nämnde örke wid Bröllop samr större och mindre Kalaser; sparsambct och billigt pris msästeS.	101:108	0:177
bröllop	 	1899	2	bib11653811_18991007_145317_154_0003_alto.xml-43-4	 	När brudgummen strax före bröllopet af sina vänner b judes på » svensexa », hvarför skulle inte brudens väninnor kunna egna en liknande afskedsgärd.	26:35	0:148
bröllop	 	1794	1	bib11653792_17941213_146919_50_0008_alto.xml-3-4	 	— Wid Pehr Lindbergs Bröllop hos Herr Iohan Bergström pä Heden, til Laz.	21:28	0:72
bröllop	 	1803	1	bib13506739_18030324_144030_68_0003_alto.xml-4-2	 	4:0 Duchi Bröllop med sin Flicka som dansar Rysta.	10:17	0:50
bröllop	 	1895	2	bib19225758_18950822_144022_194_0002_alto.xml-243-6	 	hela den föregående tiden efter deras bröllop hade Bernhard haft nog karaktär att ej gå på en enda bjudning, där fruntimmer voro närvarande, då Lisette ej var bjuden med.	38:45	0:170
bröllop	 	1895	2	bib19227462_18950726_147640_171_0003_alto.xml-49-20	 	Full af komik åter och af lefDud-dust, blandad nied godmodig malice, är den första berättelsen, » Ett bröllop på Capri ».	102:109	0:121
bröllop	 	1903	2	bib11653811_19030323_145317_47_0004_alto.xml-29-11	 	Efter julen samma år återkom han dit för att fira sitt bröllop.	55:62	0:63
bröllop	 	1824	1	bib13506739_18241005_144030_231_0002_alto.xml-5-12	 	Stora Theatern uppföres i morgon Onsdag - den 6 denneZ: Figaros Bröllop, OperaComique	64:71	0:85
bröllop	 	1900	2	bib11653790_19000306_145648_19_0003_alto.xml-178-10	 	Troligen var man rädd för att komma för sent till bröllopet, men det var farligt att köra så fort på den dåliga vägen.	50:59	0:118
bröllop	 	1897	2	bib19227291_18970623_145289_75_0001_alto.xml-20-7	 	Formulär Kontrakt Diplomer Affischer Program Bjudningskort tili Bröllop och Begrafningar etc. Visitkcyt m. m.	64:71	0:109
bröllop	 	1895	2	bib15978012_18950918_148361_217_0001_alto.xml-49-0	 	Bröllopet skall vara litet och enkelt, familjen Krönen har ännu sorg.	0:9	0:69
bröllop	 	1895	2	bib19227462_18950129_147640_24_0003_alto.xml-180-8	 	län och haus maka 50:e årsdagen af sitt bröllop, i kretsen af barn ocb barnbarn.	40:47	0:80
bröllop	 	1895	2	bib15869824_18950807_145700_63_0002_alto.xml-89-10	 	Enskildt påstås, att ingeniör Berglund först 2 år efter bröllopet invigts i det hemska förtroendet.	56:65	0:99
bröllop	 	1826	1	bib11653828_18260615_144028_136_0002_alto.xml-0-9	 	— örn lif mina bekanta war nyligen pä ett bröllop, som här alktid firas i kyrkön.	42:49	0:81
bröllop	 	1796	1	bib11653792_17961022_146919_42_0003_alto.xml-6-1	 	Pä Bröllop hos Nämndeman Sundberg i Rog, til Laz.	3:10	0:49
bröllop	 	1895	2	bib15650835_18950906_146472_75_0002_alto.xml-71-1	 	Ett bröllop jrägick just i en gärd nära båtbryggan och ben unga, wackra bruden med hela sitt\" följe\" kom emot oh pä bryggan, dä ängaren nalkades, antagligen för att läka passagerarne se pä stäten.	4:11	0:196
bröllop	 	1817	1	bib19227291_18170924_145289_39_0002_alto.xml-9-8	 	nas för en rätt 5:0 Wid Begrasningar, Bröllop, Barnsöl och Kyrkogångsöl sär intet öfwcrflöd aga rum, utan stall wio sädane tillfällen möjligaste sparsamhet och måttlighet iakttagas.	38:45	0:181
bröllop	 	1895	2	bib15760690_18950807_145050_119_0003_alto.xml-75-25	 	Kristina Nilsson har redan äter lemnat Swerige, dit hon denna gäng kom icke sör att sjunga, utan endast sör att närwara wid ett bröllop.	128:135	0:136
bröllop	 	1895	2	bib15761570_18950619_146176_101_0003_alto.xml-40-15	 	emellertid under vinterns lopp bortsnattats af ordförandens vanartige son, som användt dem att vid bröllop och andra högtider i Östersund fästa ihop äldre beskådande damers kjortlar, föreslogs en uttaxering för att inköpa fångstmedel.	99:106	0:234
bröllop	 	1895	2	bib15873936_18950319_147385_34_0003_alto.xml-105-59	 	Samle sig dessa Guds kärleks strålar och sist till ett knippe Rikt och fullt utaf ljus, när aftonen skymmande kommer, Lyse Er väg — till Salems port, där väntande står Han, Som vill porten slå upp till det hus, hvars glans ej kan nämnas, Som vill fira med Eder för evigt ett gyllene bröllop, Som vill sluta i älskande famnen — guldbröllopsparet.	283:290	0:345
bröllop	 	1895	2	bib15650835_18951126_146472_99_0003_alto.xml-223-24	 	Hon kunde icke se en ung man och en ung flicka tillsammans, utan att genast tänka på en liten kärlekshistoria, slutande med bröllop.	124:131	0:132
bröllop	 	1806	1	bib15650837_18060611_146391_46_0002_alto.xml-11-7	 	Regeringen är 1611 till hjelp till sitt bröllop 24 tunnor	40:47	0:57
bröllop	 	1819	1	bib11653828_18190625_144028_143_0002_alto.xml-1-45	 	Men enklingen imellertid Gägs hemma tröst förbida: En flicka, ung och flön och blid, Satt nöjd inwio hans fida; För win och kysiar flydde bort All sorg, som kunnat störa; Man talte om, att innan kcrt Man stulle bröllop göra.	211:218	0:224
bröllop	 	1801	1	bib11653828_18011031_144028_249_0003_alto.xml-4-12	 	Han har sett ben unga Flickan, aftonen ' för sit lilämnade bröllop, trotsa döben » ned mera kall blod, än ben ryktbare d ' Estaing, om hwarö tapperhet och djerfhet Enropa är upfyldt af berättelser.	59:66	0:197
bröllop	 	1895	2	bib15760690_18950128_145050_16_0004_alto.xml-34-13	 	Med anledning af textens berättelse om att det warit brist pä win pä bröllopet i Kana och att Jesus der förwandlade watten till win talade predikanten ganska omständligt om bruket af win, berättar HemlandsPosten.	69:78	0:212
bröllop	 	1895	2	bib15873936_18950730_147385_88_0003_alto.xml-78-3	 	J. Nilssons- bröllop i Gårdsby kyrka, där biskop Lindström förrättade vigseln.	13:20	0:78
bröllop	 	1903	2	bib11653811_19030509_145317_71_0003_alto.xml-161-4	 	då vill jag hålla bröllop — eller af rättning.	18:25	0:46
bröllop	 	1830	1	bib19277277_18301117_147682_267_0006_alto.xml-49-19	 	Ett Fruntimmer, som i flere är fogeIfatt sia med matlagning, erbjuder sin tjenst i nämnde yrke wid Bröllop samt större och mitidre Kalaser; sparsamhet och billigt pri » utlästes.	99:106	0:178
bröllop	 	1895	2	bib11653815_18950625_146944_74_0004_alto.xml-28-34	 	Hon antog lord Johnnys frieri oell gitte sig med honom af pur förargelse elier trots, men på det hela taget var Ion » lycket lycklig, lion hade formligen njutit af sitt eget bröllop, hade uppfört sig slynaktigt mot sin mans högvälborna slägtingar, gjort narr af erkebiskopen midt för bans näsa,\" flirtat\" öppet oell påtagligt nied tvenne prinsar af blodet, ätit kolossala portioner af sin egen bröllopskaka oell nästan retat lil vet ur taute Jinny, oell lord Johnny bade åsett detta nied oblandad beundran oell m d en mili af stolt ogan 1 orätt.	174:181	0:545
bröllop	 	1896	2	bib19227291_18960714_145289_84_0002_alto.xml-123-8	 	Hr Bern hade just i Eslöf firat sitt bröllop och befann sig på bröllopsfärd med sin unga mana ombord å ångaren“ Svea11.	37:44	0:119
bröllop	 	1895	2	bib19227462_18950912_147640_212_0004_alto.xml-92-0	 	Bröllop, I går sammattvigdes å Näfveqvarns bruk ingeniören E.	0:7	0:61
bröllop	 	1813	1	bib19227291_18130109_145289_2_0004_alto.xml-2-79	 	— Skulle likwLl nägon Yusbvnde eller Matmoder hofwa Rom eller Bränwin i sitt hnj bör nägon främmande ekler utom gärds, därmed wanligtwis icke utan mat » rokteros, utan endast nyttjas till buSbehof pä det sätt, att, w&gt; d inga andra än tzögtideliga tillfallen, däraf toges eller meddelas mer Ln en sup till hwärle verson wid niällider, vch bör detta gälla L ' wcn o » & gt; gillen och gästabud, Bröllop, Birndvp, Kyrkogångar vch Begrafningar, sä framt denna stärka och stadeliga dryck icke stär att alldeles attLggas, hwilket likwLl Lr de stäste Församlingens Ledamöters bnstan; Dock warder bär under icke begripet den händelse da nägon enskilt wän eller stäktinge kommer ott göra besök, den man will med inåt och dryck » » dfägna.	396:403	0:732
bröllop	 	1827	1	bib11653823_18270510_144010_108_0004_alto.xml-12-3	 	utur Op. Figaros Bröllop af Mozarr: Den är borra, ack!	17:24	0:54
bröllop	 	1805	1	bib19225772_18050920_148004_108_0002_alto.xml-11-2	 	bllvistar nägol bröllop eller stär\" fadder, och alt han alltid undflyr def } sallffap pa alla salt m. m. SallstapetS högsta bemödande stall ock » vara att rädda deras ära som bliswit w^nryktade och att inom sig införa cn liberal sällskapston.	16:23	0:242
bröllop	 	1895	2	bib19227291_18950723_145289_87_0002_alto.xml-116-13	 	dotter till fabrikör Schander och hans nu aflidna maka, född Skoog, Bröllopet, som var utsatt till Kristina- dagen, den 24 dennes, har till följd af den hastigt inträffade djupa sorgen uppskjutits till den 27 dennes, och kommer vigseln då att ske i den trängre familjekretsen.	68:77	0:276
bröllop	 	1897	2	bib11653790_18971217_145648_99_0008_alto.xml-0-19	 	såsom alla för handel och industri beköfliga blanketter, järnvägsfraktsedlar och adresslappar; papper och kuvert med firmastämpllng; bröllops- och begrafningskort, visitkort och nyårskort m. m.	133:142	0:193
bröllop	 	1895	2	bib19227291_18950117_145289_7_0004_alto.xml-4-7	 	Formulär Kontrakt Diplomer Affischer Program Bjudningskort tm Bröllop och Begrafningar etc.	62:69	0:91
bröllop	 	1791	1	bib13506739_17910813_144030_185_0003_alto.xml-4-6	 	Julii blef wid tilfälle af et Bröllop ä Söder och stora Glasbruksgatan bortbytt en Kittais	30:37	0:90
