identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib15650837_18951218_146391_295_0002_alto.xml-94-5	bib19277277_18270514_147682_111_0004_alto.xml-41-26	Josefin_Kokkinakis	4.0	 	2023-06-25 13:07:48.277	by
bib11653823_18220729_144010_173_0002_alto.xml-10-12	bib19277349_18951128_147403_150_0004_alto.xml-56-5	Josefin_Kokkinakis	4.0	 	2023-06-25 13:07:52.107	by
bib15650837_18160522_146391_41_0004_alto.xml-3-13	bib11653825_18080530_145134_64_0010_alto.xml-0-8	Josefin_Kokkinakis	4.0	 	2023-06-25 13:10:01.856	by
bib19277277_18950519_147683_135_0002_alto.xml-52-12	bib11653790_19030925_12541_75_0003_alto.xml-100-3	Josefin_Kokkinakis	2.0	 	2023-06-25 13:10:11.47	by
bib15650837_18951024_146391_248_0003_alto.xml-87-12	bib19277277_18270514_147682_111_0004_alto.xml-41-26	Josefin_Kokkinakis	4.0	 	2023-06-25 13:10:46.179	by
bib19227291_18150524_145289_41_0004_alto.xml-0-16	bib11653811_19000806_145317_120_0003_alto.xml-134-7	Josefin_Kokkinakis	4.0	 	2023-06-25 13:12:04.208	by
bib11653790_19000626_145648_50_0004_alto.xml-95-6	bib19227291_18150524_145289_41_0004_alto.xml-0-16	Josefin_Kokkinakis	4.0	 	2023-06-25 13:12:08.647	by
bib19277330_18950302_0_26_0002_alto.xml-55-13	bib19277349_18951128_147403_150_0004_alto.xml-56-5	Josefin_Kokkinakis	4.0	 	2023-06-25 13:12:13.492	by
bib15650837_18300918_146391_75_0002_alto.xml-9-3	bib11653828_18080126_144028_20_0003_alto.xml-9-12	Josefin_Kokkinakis	4.0	 	2023-06-25 13:13:10.866	by
bib11653823_18250808_144010_180_0003_alto.xml-6-0	bib11653838_19020704_147024_27_0002_alto.xml-29-4	Josefin_Kokkinakis	1.0	 	2023-06-25 13:13:42.248	by
bib11653828_18110709_144028_156_0002_alto.xml-2-17	bib19277301_18961203_145146_100_0002_alto.xml-34-10	Josefin_Kokkinakis	4.0	 	2023-06-25 13:13:47.127	by
bib13506739_18290213_144030_36_0003_alto.xml-11-7	bib15761570_18951211_146176_205_0003_alto.xml-38-14	Josefin_Kokkinakis	4.0	 	2023-06-25 13:14:17.576	by
bib11653825_18190918_145134_111_0009_alto.xml-1-9	bib11653790_18991110_145648_88_0003_alto.xml-24-5	Josefin_Kokkinakis	4.0	 	2023-06-25 13:14:24.405	by
bib15650814_18950910_146365_211_0004_alto.xml-72-15	bib11653838_19020704_147024_27_0002_alto.xml-29-4	Josefin_Kokkinakis	4.0	 	2023-06-25 13:14:36.244	by
