identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib13506739_18291223_144030_298_0008_alto.xml-21-7	bib15761570_18950820_146176_136_0004_alto.xml-9-23	Josefin_Kokkinakis	4.0	 	2023-06-18 16:43:53.481	färg
bib11653830_18960416_146968_31_0001_alto.xml-28-8	bib19227306_18291118_147700_46_0004_alto.xml-9-4	Josefin_Kokkinakis	4.0	 	2023-06-18 16:44:45.319	färg
bib19227462_18951022_147640_246_0006_alto.xml-34-14	bib13506739_18090617_144030_138_0006_alto.xml-3-10	Josefin_Kokkinakis	3.0	 	2023-06-18 16:48:56.446	färg
bib15650835_18950409_146472_32_0004_alto.xml-59-12	bib11653792_18160727_146919_30_0001_alto.xml-1-22	Josefin_Kokkinakis	4.0	 	2023-06-18 16:49:12.776	färg
bib19225772_18051016_148004_119_0002_alto.xml-1-17	bib19277330_18950316_0_32_0006_alto.xml-21-12	Josefin_Kokkinakis	4.0	 	2023-06-18 16:49:37.987	färg
bib13506739_18201222_144030_298_0008_alto.xml-3-7	bib15975087_18950225_145596_32_0004_alto.xml-68-15	Josefin_Kokkinakis	4.0	 	2023-06-18 16:54:32.691	färg
bib19227462_18950401_147640_76_0002_alto.xml-115-28	bib19225772_18201124_148004_138_0004_alto.xml-1-14	Josefin_Kokkinakis	4.0	 	2023-06-18 16:56:50.319	färg
bib13506739_18240428_144030_97_0002_alto.xml-8-74	bib19277277_18270924_147682_223_0002_alto.xml-6-8	Josefin_Kokkinakis	4.0	 	2023-06-18 16:57:29.43	färg
bib11653811_18981216_145317_194_0003_alto.xml-13-18	bib15978012_18950420_148361_91_0003_alto.xml-42-8	Josefin_Kokkinakis	3.0	 	2023-06-18 17:00:19.637	färg
bib11653828_18071208_144028_285_0002_alto.xml-8-25	bib11653790_19000713_145648_55_0003_alto.xml-98-26	Josefin_Kokkinakis	4.0	 	2023-06-18 17:01:46.006	färg
bib11653838_19010809_147024_32_0002_alto.xml-85-8	bib11653830_18960416_146968_31_0001_alto.xml-28-8	Josefin_Kokkinakis	3.0	 	2023-06-18 17:02:13.465	färg
bib19225772_18080203_148004_13_0004_alto.xml-14-14	bib15760690_18951016_145050_159_0003_alto.xml-147-42	Josefin_Kokkinakis	4.0	 	2023-06-18 17:03:35.92	färg
bib13506739_18050219_144030_42_0003_alto.xml-4-12	bib13506739_18090525_144030_118_0012_alto.xml-11-12	Josefin_Kokkinakis	4.0	 	2023-06-18 17:04:26.924	färg
bib19520388_18020414_147487_15_0007_alto.xml-1-41	bib11653792_17951212_146919_50_0005_alto.xml-2-35	Josefin_Kokkinakis	1.0	 	2023-06-18 17:06:56.326	färg
bib19277277_18270924_147682_223_0002_alto.xml-6-8	bib19277277_18240825_147682_196_0002_alto.xml-32-23	Josefin_Kokkinakis	4.0	 	2023-06-18 17:07:03.613	färg
bib13506739_18050219_144030_42_0003_alto.xml-4-12	bib11653792_18160727_146919_30_0001_alto.xml-1-22	Josefin_Kokkinakis	3.0	 	2023-06-18 17:08:27.017	färg
bib13506739_18240221_144030_43_0006_alto.xml-3-11	bib13506739_18071123_144030_272_0004_alto.xml-2-8	Josefin_Kokkinakis	4.0	 	2023-06-18 17:08:53.259	färg
bib15975090_18951010_148377_120_0003_alto.xml-206-9	bib11653790_18960717_145648_29_0002_alto.xml-118-35	Josefin_Kokkinakis	4.0	 	2023-06-18 17:09:07.484	färg
bib13506739_18080722_144030_167_0012_alto.xml-8-21	bib15761570_18950820_146176_136_0004_alto.xml-9-23	Josefin_Kokkinakis	4.0	 	2023-06-18 17:15:48.478	färg
bib11653830_18971018_146968_83_0004_alto.xml-18-9	bib11653830_18950429_146968_49_0003_alto.xml-118-22	Josefin_Kokkinakis	4.0	 	2023-06-18 17:32:50.282	färg
bib13506739_18050219_144030_42_0003_alto.xml-4-12	bib15873371_18950107_145112_6_0003_alto.xml-14-31	Josefin_Kokkinakis	4.0	 	2023-06-18 17:33:14.294	färg
bib11653838_19020110_147024_2_0004_alto.xml-55-6	bib13506739_18161113_144030_265_0007_alto.xml-15-10	Josefin_Kokkinakis	4.0	 	2023-06-18 17:33:30.46	färg
bib15873371_18950107_145112_6_0003_alto.xml-14-31	bib11653811_19011228_145317_201_0002_alto.xml-47-39	Josefin_Kokkinakis	4.0	 	2023-06-18 17:33:56.596	färg
bib13506739_17990918_144030_214_0005_alto.xml-1-44	bib13506739_18241103_144030_256_0011_alto.xml-4-7	Josefin_Kokkinakis	4.0	 	2023-06-18 17:34:32.936	färg
bib15873936_18960709_147385_78_0003_alto.xml-57-2	bib13506739_18241103_144030_256_0011_alto.xml-4-7	Josefin_Kokkinakis	2.0	 	2023-06-18 17:34:54.686	färg
bib11653830_18951118_146968_133_0002_alto.xml-46-21	bib11653815_18970616_146944_67_0003_alto.xml-90-12	Josefin_Kokkinakis	4.0	 	2023-06-18 17:36:35.926	färg
bib13506739_18171113_144030_263_0003_alto.xml-6-10	bib19223423_18120523_145063_41_0003_alto.xml-8-40	Josefin_Kokkinakis	4.0	 	2023-06-18 17:37:28.936	färg
bib11653838_19000914_147024_37_0002_alto.xml-85-7	bib13506739_18200410_144030_81_0005_alto.xml-0-8	Josefin_Kokkinakis	2.0	 	2023-06-18 17:38:14.839	färg
bib19277277_18951209_147683_336_0002_alto.xml-67-4	bib11653811_18990510_145317_70_0003_alto.xml-162-9	Josefin_Kokkinakis	1.0	 	2023-06-18 17:40:15.621	färg
bib11653828_18071208_144028_285_0002_alto.xml-8-25	bib19277277_18951222_147683_349_0003_alto.xml-42-20	Josefin_Kokkinakis	4.0	 	2023-06-18 17:41:15.653	färg
bib13506739_18240320_144030_67_0006_alto.xml-10-7	bib11653830_18960615_146968_48_0001_alto.xml-23-71	Josefin_Kokkinakis	4.0	 	2023-06-18 18:16:02.683	färg
bib13506739_18240221_144030_43_0006_alto.xml-3-11	bib11653830_18960615_146968_48_0001_alto.xml-23-71	Josefin_Kokkinakis	4.0	 	2023-06-18 18:17:12.525	färg
bib19277277_18950804_147683_209_0003_alto.xml-151-16	bib13506739_18180606_144030_127_0007_alto.xml-4-8	Josefin_Kokkinakis	4.0	 	2023-06-18 18:19:15.295	färg
bib19277277_18250419_147682_88_0003_alto.xml-6-9	bib11653811_18990510_145317_70_0003_alto.xml-162-9	Josefin_Kokkinakis	1.0	 	2023-06-18 18:19:33.936	färg
bib11653790_19030811_12541_62_0004_alto.xml-124-29	bib19227462_18951022_147640_246_0006_alto.xml-34-14	Josefin_Kokkinakis	3.0	 	2023-06-18 18:22:19.222	färg
bib13506739_18200205_144030_29_0005_alto.xml-6-14	bib15650837_18060910_146391_72_0004_alto.xml-2-29	Josefin_Kokkinakis	4.0	 	2023-06-18 18:24:19.163	färg
bib19277277_18250419_147682_88_0003_alto.xml-6-9	bib19225792_18060913_147359_37_0005_alto.xml-3-22	Josefin_Kokkinakis	1.0	 	2023-06-18 18:24:52.756	färg
bib15975090_18951010_148377_120_0003_alto.xml-206-9	bib11653828_17940627_144028_142_0003_alto.xml-9-18	Josefin_Kokkinakis	4.0	 	2023-06-18 18:25:42.681	färg
bib11653790_18980510_145648_35_0004_alto.xml-59-19	bib11653811_18990130_145317_16_0003_alto.xml-18-6	Josefin_Kokkinakis	4.0	 	2023-06-18 18:25:53.384	färg
