identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib19225772_18281021_148004_121_0001_alto.xml-6-18	bib19225758_18950529_144022_123_0004_alto.xml-130-35	Josefin_Kokkinakis	4.0	 	2023-07-02 18:22:53.506	förhandling
bib19227291_18290722_145289_30_0001_alto.xml-3-4	bib15761570_18950911_146176_149_0002_alto.xml-42-28	Josefin_Kokkinakis	4.0	 	2023-07-02 18:23:04.864	förhandling
bib19277277_18950508_147683_124_0007_alto.xml-15-11	bib11653823_18301221_144010_296_0001_alto.xml-22-6	Josefin_Kokkinakis	4.0	 	2023-07-02 18:24:14.738	förhandling
bib11653830_18950626_146968_71_0004_alto.xml-8-6	bib13506739_18300403_144030_77_0002_alto.xml-0-3	Josefin_Kokkinakis	4.0	 	2023-07-02 18:24:26.603	förhandling
bib19225772_18250831_148004_100_0001_alto.xml-6-12	bib13506739_18300420_144030_89_0001_alto.xml-1-18	Josefin_Kokkinakis	4.0	 	2023-07-02 18:24:34.038	förhandling
bib15650837_18291114_146391_91_0002_alto.xml-15-8	bib15761570_18950109_146176_6_0003_alto.xml-150-11	Josefin_Kokkinakis	4.0	 	2023-07-02 18:24:38.908	förhandling
bib19225772_18300219_148004_20_0002_alto.xml-1-2	bib15873371_18950808_145112_213_0001_alto.xml-24-28	Josefin_Kokkinakis	4.0	 	2023-07-02 18:25:14.574	förhandling
bib13506739_18290519_144030_114_0006_alto.xml-37-26	bib19277277_18950608_147683_153_0006_alto.xml-13-5	Josefin_Kokkinakis	4.0	 	2023-07-02 18:25:51.855	förhandling
bib19277277_18950819_147683_224_0005_alto.xml-168-12	bib11653811_18970127_145317_14_0003_alto.xml-6-2	Josefin_Kokkinakis	4.0	 	2023-07-02 18:27:22.267	förhandling
bib11653815_18950319_146944_33_0002_alto.xml-39-7	bib15761570_18950109_146176_6_0003_alto.xml-150-11	Josefin_Kokkinakis	4.0	 	2023-07-02 18:27:25.158	förhandling
bib11653815_18950319_146944_33_0002_alto.xml-39-7	bib19277277_18950306_147683_64_0003_alto.xml-59-1	Josefin_Kokkinakis	4.0	 	2023-07-02 18:27:27.814	förhandling
bib15760600_18950709_146401_80_0002_alto.xml-18-9	bib19277277_18950909_147683_245_0006_alto.xml-0-39	Josefin_Kokkinakis	4.0	 	2023-07-02 18:27:32.852	förhandling
bib15975090_18950806_148377_92_0002_alto.xml-71-36	bib11653811_18961214_145317_193_0002_alto.xml-71-33	Josefin_Kokkinakis	4.0	 	2023-07-02 18:27:42.676	förhandling
bib19277277_18280108_147682_6_0001_alto.xml-6-11	bib19277277_18290207_147682_31_0002_alto.xml-16-8	Josefin_Kokkinakis	4.0	 	2023-07-02 18:27:56.015	förhandling
bib13506739_18290519_144030_114_0006_alto.xml-37-26	bib15873936_18960305_147385_27_0003_alto.xml-83-27	Josefin_Kokkinakis	4.0	 	2023-07-02 18:28:09.156	förhandling
bib19225772_18300430_148004_48_0002_alto.xml-9-0	bib19227291_18950803_145289_92_0002_alto.xml-26-34	Josefin_Kokkinakis	4.0	 	2023-07-02 18:28:18.055	förhandling
bib19277277_18950212_147683_42_0003_alto.xml-21-11	bib19227462_18951105_147640_258_0003_alto.xml-133-30	Josefin_Kokkinakis	4.0	 	2023-07-02 18:28:22.939	förhandling
bib11653823_18301221_144010_296_0001_alto.xml-22-6	bib15873371_18950808_145112_213_0001_alto.xml-24-28	Josefin_Kokkinakis	4.0	 	2023-07-02 18:28:44.976	förhandling
bib11653830_18970902_146968_70_0004_alto.xml-22-7	bib13506739_18301220_144030_295_0004_alto.xml-5-1	Josefin_Kokkinakis	4.0	 	2023-07-02 18:29:01.718	förhandling
bib13506739_18290807_144030_180_0006_alto.xml-31-53	bib19227462_18951001_147640_228_0002_alto.xml-121-31	Josefin_Kokkinakis	4.0	 	2023-07-02 18:29:36.368	förhandling
bib15760600_18950917_146401_110_0002_alto.xml-1-20	bib19225772_17951211_148003_99_0001_alto.xml-1-19	Josefin_Kokkinakis	4.0	 	2023-07-02 18:31:22.549	förhandling
bib15975087_18950405_145596_53_0002_alto.xml-36-5	bib11653823_18291023_0_246_0001_alto.xml-13-25	Josefin_Kokkinakis	4.0	 	2023-07-02 18:31:35.094	förhandling
bib13506739_18270927_144030_226_0001_alto.xml-0-40	bib13506739_18290119_144030_14_0001_alto.xml-14-17	Josefin_Kokkinakis	4.0	 	2023-07-02 18:31:40.686	förhandling
bib11653790_18981104_145648_85_0003_alto.xml-54-1	bib19227291_18290722_145289_30_0001_alto.xml-3-4	Josefin_Kokkinakis	4.0	 	2023-07-02 18:31:49.065	förhandling
bib15650814_18950417_146365_89_0003_alto.xml-147-10	bib11653823_18301221_144010_296_0001_alto.xml-22-6	Josefin_Kokkinakis	4.0	 	2023-07-02 18:31:51.732	förhandling
bib19225772_18280723_148004_83_0002_alto.xml-5-29	bib15761097_18950402_145020_39_0003_alto.xml-88-2	Josefin_Kokkinakis	4.0	 	2023-07-02 18:31:59.454	förhandling
bib11653790_18970223_145648_15_0002_alto.xml-99-3	bib19225772_18290825_148004_95_0003_alto.xml-0-10	Josefin_Kokkinakis	4.0	 	2023-07-02 18:32:06.272	förhandling
bib19225758_18950529_144022_123_0004_alto.xml-130-35	bib11653811_18961214_145317_193_0002_alto.xml-71-33	Josefin_Kokkinakis	4.0	 	2023-07-02 18:32:10.951	förhandling
bib13506739_18291202_144030_280_0004_alto.xml-21-27	bib19277277_18950306_147683_64_0003_alto.xml-59-1	Benjamin	4.0	 	2023-06-30 20:21:19.411	förhandling
bib19277277_18950710_147683_184_0003_alto.xml-24-17	bib19277277_18280108_147682_6_0001_alto.xml-6-11	Benjamin	4.0	 	2023-06-30 20:21:34.783	förhandling
bib15975087_18950405_145596_53_0002_alto.xml-36-5	bib13506739_18290402_144030_76_0001_alto.xml-13-2	Benjamin	4.0	 	2023-06-30 20:23:38.509	förhandling
bib19227462_18950220_147640_43_0002_alto.xml-9-42	bib19225758_18950225_144022_47_0002_alto.xml-143-0	Benjamin	4.0	 	2023-06-30 20:23:50.966	förhandling
bib19227462_18951105_147640_258_0003_alto.xml-133-30	bib19277277_18290309_147682_56_0001_alto.xml-9-12	Benjamin	4.0	 	2023-06-30 20:24:04.647	förhandling
bib19225772_18231121_148004_134_0002_alto.xml-12-10	bib19225772_18270613_148004_67_0001_alto.xml-2-7	Benjamin	4.0	 	2023-06-30 20:24:29.263	förhandling
bib15650814_18950919_146365_219_0002_alto.xml-160-10	bib19225772_18301103_148004_126_0001_alto.xml-5-10	Benjamin	4.0	 	2023-06-30 20:24:37.528	förhandling
