identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib13506739_18270612_144030_134_0001_alto.xml-16-2	bib11653828_18240303_144028_52_0002_alto.xml-7-2	Benjamin	4.0	 	2023-07-02 14:22:27.536	motiv
bib13506739_18291107_144030_259_0008_alto.xml-20-7	bib13506739_18300127_144030_21_0004_alto.xml-29-9	Benjamin	4.0	 	2023-07-02 14:20:29.987	motiv
bib13506739_18290409_144030_82_0002_alto.xml-8-9	bib11653828_18260609_144028_131_0004_alto.xml-7-25	Benjamin	3.0	 	2023-07-02 14:21:27.818	motiv
bib11653828_18300731_144028_174_0002_alto.xml-0-41	bib11653828_18260224_144028_46_0003_alto.xml-9-29	Benjamin	2.0	 	2023-07-02 14:22:05.289	motiv
bib15650835_18950802_146472_65_0003_alto.xml-195-8	bib11653823_18250316_144010_62_0002_alto.xml-2-7	Benjamin	3.0	 	2023-07-02 14:23:03.12	motiv
bib13506739_18281125_144030_276_0001_alto.xml-19-8	bib11653828_18190209_144028_32_0003_alto.xml-11-28	Benjamin	4.0	 	2023-07-02 14:23:24.089	motiv
bib13506739_18290113_144030_9_0001_alto.xml-2-9	bib11653838_19020425_147024_17_0003_alto.xml-50-51	Benjamin	3.0	 	2023-07-02 14:25:41.631	motiv
bib19277277_18281220_147682_298_0001_alto.xml-1-34	bib19227291_18960905_145289_107_0002_alto.xml-136-23	Benjamin	3.0	 	2023-07-02 14:26:17.103	motiv
bib11653828_18300731_144028_174_0002_alto.xml-0-41	bib15650837_18951009_146391_235_0005_alto.xml-90-30	Benjamin	3.0	 	2023-07-02 14:27:22.693	motiv
bib11653790_18990324_145648_23_0008_alto.xml-82-4	bib15975090_18960901_148377_109_0002_alto.xml-150-17	Benjamin	4.0	 	2023-07-02 14:27:40.022	motiv
bib11653828_18220920_144028_219_0004_alto.xml-10-2	bib11653825_18080827_145134_103_0002_alto.xml-1-68	Benjamin	3.0	 	2023-07-02 14:28:02.975	motiv
bib15873936_18950326_147385_37_0003_alto.xml-135-5	bib11653828_18151111_144028_263_0004_alto.xml-5-17	Benjamin	3.0	 	2023-07-02 14:29:16.523	motiv
bib11653790_19020117_145648_5_0003_alto.xml-51-23	bib11653828_18260224_144028_46_0003_alto.xml-9-29	Benjamin	2.0	 	2023-07-02 14:29:29.688	motiv
bib11653830_18951025_146968_123_0003_alto.xml-152-1	bib11653828_17990408_144028_79_0002_alto.xml-1-25	Benjamin	3.0	 	2023-07-02 14:30:14.453	motiv
bib11653838_19020620_147024_25_0002_alto.xml-177-7	bib11653811_19010330_145317_50_0002_alto.xml-66-37	Benjamin	4.0	 	2023-07-02 14:30:36.312	motiv
bib15650814_18950521_146365_118_0001_alto.xml-3-3	bib15978012_18950227_148361_49_0001_alto.xml-2-13	Benjamin	4.0	 	2023-07-02 14:31:41.741	motiv
bib15650814_18950521_146365_118_0001_alto.xml-3-3	bib11653830_18950710_146968_77_0001_alto.xml-44-17	Benjamin	4.0	 	2023-07-02 14:31:52.04	motiv
bib19227462_18950315_147640_63_0003_alto.xml-2-31	bib19277277_18290629_147682_146_0004_alto.xml-20-78	Benjamin	3.0	 	2023-07-02 14:32:14.062	motiv
bib11653828_18190209_144028_32_0003_alto.xml-11-28	bib19277277_18950616_147683_161_0003_alto.xml-108-7	Benjamin	2.0	 	2023-07-02 14:32:47.353	motiv
bib11653811_19010508_145317_70_0002_alto.xml-66-11	bib11653828_18260612_144028_133_0003_alto.xml-6-14	Benjamin	3.0	 	2023-07-02 14:33:39.141	motiv
bib19225772_18070429_148004_47_0003_alto.xml-5-12	bib11653828_18250930_144028_226_0002_alto.xml-16-35	Benjamin	4.0	 	2023-07-02 14:34:50.607	motiv
bib19227462_18950326_147640_71_0003_alto.xml-64-0	bib15650837_18951009_146391_235_0005_alto.xml-90-30	Benjamin	3.0	 	2023-07-02 14:35:09.025	motiv
bib11653828_18300731_144028_174_0002_alto.xml-0-41	bib19227306_18290408_147700_14_0001_alto.xml-4-3	Benjamin	4.0	 	2023-07-02 14:39:35.459	motiv
bib11653828_18301111_144028_262_0003_alto.xml-5-9	bib15760690_18951224_145050_199_0003_alto.xml-27-34	Benjamin	4.0	 	2023-07-02 14:40:09.061	motiv
bib11653828_18221010_144028_236_0002_alto.xml-6-16	bib15975087_18950713_145596_106_0001_alto.xml-34-27	Benjamin	4.0	 	2023-07-02 14:40:24.574	motiv
bib11653828_18151111_144028_263_0003_alto.xml-6-0	bib19227462_18950326_147640_71_0003_alto.xml-64-0	Benjamin	3.0	 	2023-07-02 14:41:02.433	motiv
bib11653790_19020307_145648_19_0002_alto.xml-124-0	bib19277349_18951231_147403_164_0003_alto.xml-59-18	Benjamin	4.0	 	2023-07-02 14:42:30.467	motiv
bib15650837_18951106_146391_259_0002_alto.xml-112-6	bib19225758_18951017_144022_242_0002_alto.xml-100-21	Benjamin	4.0	 	2023-07-02 14:42:59.202	motiv
bib13506739_18281125_144030_276_0001_alto.xml-19-8	bib15978012_18950227_148361_49_0001_alto.xml-2-13	Benjamin	3.0	 	2023-07-02 14:43:24.918	motiv
bib11653828_18161218_144028_295_0003_alto.xml-14-38	bib11653828_18290323_144028_68_0002_alto.xml-12-29	Benjamin	4.0	 	2023-07-02 14:43:38.239	motiv
bib19225772_18290721_148004_80_0003_alto.xml-6-28	bib13506739_18290323_144030_68_0008_alto.xml-17-27	Benjamin	4.0	 	2023-07-02 14:44:42.515	motiv
bib11653828_18210929_144028_228_0003_alto.xml-10-17	bib11653828_18240303_144028_52_0002_alto.xml-7-2	Benjamin	4.0	 	2023-07-02 14:47:49.664	motiv
bib11653828_18180620_144028_139_0001_alto.xml-0-27	bib11653811_18990531_145317_81_0002_alto.xml-89-7	Benjamin	4.0	 	2023-07-02 14:48:04.637	motiv
bib19227462_18951126_147640_276_0003_alto.xml-235-2	bib13506739_18300427_144030_95_0004_alto.xml-25-41	Benjamin	3.0	 	2023-07-02 14:48:17.578	motiv
bib11653811_18950413_145317_57_0002_alto.xml-96-6	bib13506739_18290113_144030_9_0001_alto.xml-2-9	Benjamin	3.0	 	2023-07-02 14:50:25.721	motiv
bib11653828_18201229_144028_302_0001_alto.xml-2-4	bib15978012_18950131_148361_26_0002_alto.xml-63-15	Benjamin	2.0	 	2023-07-02 14:50:41.533	motiv
bib11653828_18240914_144028_213_0004_alto.xml-7-8	bib11653828_18280115_144028_12_0002_alto.xml-1-12	Benjamin	4.0	 	2023-07-02 14:51:17.789	motiv
bib11653828_18210929_144028_228_0003_alto.xml-10-17	bib19227462_18950529_147640_123_0003_alto.xml-119-0	Benjamin	4.0	 	2023-07-02 14:51:39.791	motiv
bib11653811_19021001_145317_150_0002_alto.xml-115-29	bib11653815_18970125_146944_9_0003_alto.xml-26-0	Benjamin	4.0	 	2023-07-02 14:51:50.498	motiv
bib11653811_19020809_145317_120_0002_alto.xml-175-3	bib11653828_18181016_144028_239_0002_alto.xml-12-13	Benjamin	4.0	 	2023-07-02 14:52:13.7	motiv
bib11653790_18960522_145648_21_0003_alto.xml-25-23	bib11653828_18040802_144028_177_0002_alto.xml-6-50	Benjamin	4.0	 	2023-07-02 14:52:24.153	motiv
bib11653828_18181216_144028_291_0002_alto.xml-12-2	bib11653828_18250609_144028_130_0004_alto.xml-4-12	Benjamin	4.0	 	2023-07-02 14:52:33.177	motiv
bib11653828_18151111_144028_263_0004_alto.xml-5-17	bib11653828_18191013_144028_237_0002_alto.xml-3-0	Benjamin	4.0	 	2023-07-02 14:52:46.199	motiv
bib19225758_18951017_144022_242_0002_alto.xml-100-21	bib11653828_18260609_144028_131_0004_alto.xml-7-25	Benjamin	3.0	 	2023-07-02 14:52:56.178	motiv
bib11653811_19000526_145317_80_0002_alto.xml-31-34	bib15650835_18951224_146472_113_0001_alto.xml-55-15	Benjamin	2.0	 	2023-07-02 14:53:23.388	motiv
bib13506739_18250902_144030_202_0004_alto.xml-32-109	bib11653828_18190209_144028_32_0003_alto.xml-11-28	Benjamin	4.0	 	2023-07-02 14:53:55.001	motiv
bib11653828_18170313_144028_60_0004_alto.xml-14-30	bib11653815_18970104_146944_1_0003_alto.xml-6-12	Benjamin	4.0	 	2023-07-02 14:54:20.91	motiv
bib13506739_18300127_144030_21_0004_alto.xml-29-9	bib11653811_18991104_145317_170_0002_alto.xml-48-0	Benjamin	4.0	 	2023-07-02 14:54:28.032	motiv
bib11653828_18170313_144028_60_0004_alto.xml-14-30	bib11653828_17950428_144028_94_0001_alto.xml-9-48	Benjamin	4.0	 	2023-07-02 14:55:06.391	motiv
bib11653830_18950710_146968_77_0001_alto.xml-44-17	bib11653828_18151118_144028_269_0001_alto.xml-6-11	Benjamin	0.0	Sentence 2 not understandable	2023-07-02 14:55:40.422	motiv
bib13506739_18300427_144030_95_0004_alto.xml-25-41	bib15761097_18951119_145020_137_0003_alto.xml-44-14	Benjamin	1.0	 	2023-07-02 14:55:59.81	motiv
bib11653828_18161218_144028_295_0003_alto.xml-14-38	bib19277277_18290629_147682_146_0004_alto.xml-20-78	Benjamin	4.0	 	2023-07-02 14:56:11.585	motiv
bib19227291_18201004_145289_40_0006_alto.xml-3-19	bib15650837_18950509_146391_107_0002_alto.xml-79-3	Benjamin	4.0	 	2023-07-02 14:58:04.486	motiv
bib15975090_18960505_148377_56_0003_alto.xml-64-3	bib19227462_18950315_147640_63_0003_alto.xml-2-31	Benjamin	3.0	 	2023-07-02 14:58:59.644	motiv
bib11653828_18151111_144028_263_0003_alto.xml-6-0	bib19225772_18301029_148004_124_0001_alto.xml-4-10	Benjamin	3.0	 	2023-07-02 14:59:36.65	motiv
bib11653815_18960923_146944_76_0003_alto.xml-33-8	bib19225772_18070429_148004_47_0003_alto.xml-5-12	Benjamin	1.0	 	2023-07-02 14:59:59.814	motiv
bib11653811_18980611_145317_88_0002_alto.xml-82-26	bib11653790_19020117_145648_5_0003_alto.xml-51-23	Benjamin	1.0	 	2023-07-02 15:01:36.543	motiv
bib11653828_18151129_144028_278_0002_alto.xml-3-25	bib11653828_18280809_144028_180_0003_alto.xml-7-8	Benjamin	4.0	 	2023-07-02 15:01:58.184	motiv
bib13506739_18281125_144030_276_0001_alto.xml-19-8	bib15873936_18950326_147385_37_0003_alto.xml-135-5	Benjamin	4.0	 	2023-07-02 15:03:20.865	motiv
bib13506739_18111231_144030_304_0049_alto.xml-6-19	bib13506739_18271215_144030_294_0008_alto.xml-30-153	Benjamin	1.0	 	2023-07-02 15:03:48.806	motiv
bib15650835_18951224_146472_113_0001_alto.xml-55-15	bib11653828_18280809_144028_180_0003_alto.xml-7-8	Benjamin	1.0	 	2023-07-02 15:04:00.69	motiv
bib11653830_18950329_146968_37_0002_alto.xml-120-5	bib11653828_18200203_144028_27_0002_alto.xml-6-13	Benjamin	1.0	 	2023-07-02 15:06:22.686	motiv
