identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib11653811_19031017_145317_161_0002_alto.xml-36-21	bib11653830_18970318_146968_22_0003_alto.xml-151-4	Benjamin	1.0	 	2023-07-02 20:13:36.017	studie
bib15975087_18950424_145596_62_0002_alto.xml-0-8	bib19225758_18950307_144022_56_0002_alto.xml-111-19	Benjamin	4.0	 	2023-07-02 20:14:16.368	studie
bib11653792_18020717_146919_28_0002_alto.xml-1-25	bib19227462_18950520_147640_116_0004_alto.xml-48-4	Benjamin	4.0	 	2023-07-02 20:14:39.876	studie
bib19227462_18950520_147640_116_0004_alto.xml-48-4	bib15873371_18950216_145112_47_0002_alto.xml-65-24	Benjamin	4.0	 	2023-07-02 20:14:50.635	studie
bib15650837_18950529_146391_123_0002_alto.xml-49-6	bib15650814_18951004_146365_232_0003_alto.xml-86-14	Benjamin	4.0	 	2023-07-02 20:15:04.742	studie
bib11653828_18130902_144028_202_0004_alto.xml-6-6	bib15873936_18951203_147385_142_0003_alto.xml-47-6	Benjamin	4.0	 	2023-07-02 20:15:13.782	studie
bib19225758_18950307_144022_56_0002_alto.xml-111-19	bib15650837_18950410_146391_84_0001_alto.xml-38-11	Benjamin	4.0	 	2023-07-02 20:15:26.914	studie
bib11653811_18980309_145317_38_0003_alto.xml-123-63	bib13506739_18180314_144030_61_0004_alto.xml-5-6	Benjamin	4.0	 	2023-07-02 20:15:38.804	studie
bib15760690_18950817_145050_125_0003_alto.xml-126-7	bib11653823_18260616_144010_137_0001_alto.xml-11-4	Benjamin	4.0	 	2023-07-02 20:15:50.147	studie
bib15975087_18951213_145596_193_0002_alto.xml-91-23	bib15650814_18951004_146365_232_0003_alto.xml-86-14	Benjamin	4.0	 	2023-07-02 20:16:03.497	studie
bib19277277_18951206_147683_333_0005_alto.xml-48-34	bib11653828_18090626_144028_144_0001_alto.xml-1-56	Benjamin	4.0	 	2023-07-02 20:21:31.199	studie
bib11653815_18970531_146944_61_0003_alto.xml-6-2	bib13506739_17990118_144030_15_0008_alto.xml-6-11	Benjamin	4.0	 	2023-07-02 20:21:45.806	studie
bib11653806_18040829_145120_97_0003_alto.xml-1-45	bib13506739_18160501_144030_100_0011_alto.xml-9-16	Benjamin	4.0	 	2023-07-02 20:22:04.087	studie
