identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib11653823_18221111_144010_263_0002_alto.xml-14-16	bib11653811_19010211_145317_24_0004_alto.xml-75-8	Benjamin	3.0	 	2023-07-02 21:18:23.966	undertrycka
bib11653828_17900713_144028_158_0002_alto.xml-4-0	bib19225772_18301117_148004_132_0001_alto.xml-5-18	Benjamin	4.0	 	2023-07-02 21:19:26.446	undertrycka
bib11653825_18040512_145134_57_0001_alto.xml-5-15	bib11653811_18990405_145317_50_0003_alto.xml-1-27	Benjamin	4.0	 	2023-07-02 21:19:59.549	undertrycka
bib11653825_18100604_145134_66_0001_alto.xml-4-27	bib11653811_18990719_145317_108_0003_alto.xml-138-6	Benjamin	1.0	 	2023-07-02 21:20:54.928	undertrycka
bib11653838_19011101_147024_44_0003_alto.xml-143-15	bib11653838_19010809_147024_32_0004_alto.xml-167-6	Benjamin	4.0	 	2023-07-02 21:21:36.398	undertrycka
bib11653811_18960120_145317_10_0002_alto.xml-120-10	bib13506739_18291107_144030_259_0008_alto.xml-39-19	Benjamin	3.0	 	2023-07-02 21:22:01.024	undertrycka
bib19277277_18951205_147683_332_0002_alto.xml-10-10	bib11653811_19020120_145317_10_0003_alto.xml-33-12	Benjamin	1.0	 	2023-07-02 21:22:20.337	undertrycka
bib19225772_18220821_148004_95_0001_alto.xml-7-3	bib19227306_18281210_147700_50_0002_alto.xml-9-26	Benjamin	3.0	 	2023-07-02 21:23:05.915	undertrycka
bib19227462_18951005_147640_232_0009_alto.xml-90-6	bib11653811_18970306_145317_36_0002_alto.xml-3-7	Benjamin	4.0	 	2023-07-02 21:23:23.753	undertrycka
bib11653790_19020411_145648_28_0003_alto.xml-106-8	bib19277277_18281115_147682_268_0001_alto.xml-7-103	Benjamin	4.0	 	2023-07-02 21:24:07.885	undertrycka
bib11653828_18020527_144028_118_0002_alto.xml-5-7	bib11653838_19021121_147024_47_0004_alto.xml-144-23	Benjamin	2.0	 	2023-07-02 21:24:38.099	undertrycka
bib11653811_19030513_145317_73_0003_alto.xml-79-14	bib11653811_18990719_145317_108_0003_alto.xml-138-6	Benjamin	1.0	 	2023-07-02 21:25:00.169	undertrycka
bib15975087_18950330_145596_50_0002_alto.xml-42-8	bib11653823_18300114_144010_10_0002_alto.xml-19-14	Benjamin	4.0	 	2023-07-02 21:25:37.393	undertrycka
bib19277301_18960618_145146_49_0002_alto.xml-32-9	bib15650835_18960916_146472_145_0004_alto.xml-26-8	Benjamin	1.0	 	2023-07-02 21:25:59.987	undertrycka
bib19225758_18950321_144022_68_0002_alto.xml-157-48	bib11653815_18970531_146944_61_0003_alto.xml-22-21	Benjamin	1.0	 	2023-07-02 21:26:13.833	undertrycka
bib19520388_17991218_147487_51_0003_alto.xml-3-23	bib19225772_18291106_148004_127_0002_alto.xml-16-29	Benjamin	4.0	 	2023-07-02 21:26:26.557	undertrycka
bib11653828_18020527_144028_118_0002_alto.xml-5-7	bib15873371_18950117_145112_16_0003_alto.xml-120-74	Benjamin	1.0	 	2023-07-02 21:26:52.417	undertrycka
bib15873936_18960711_147385_79_0004_alto.xml-31-8	bib13506739_18270804_144030_180_0001_alto.xml-16-27	Benjamin	3.0	 	2023-07-02 21:27:21.218	undertrycka
bib19225792_17940517_147359_20_0001_alto.xml-2-43	bib19225758_18950518_144022_115_0006_alto.xml-119-16	Benjamin	4.0	 	2023-07-02 21:27:57.646	undertrycka
bib11653828_18160112_144028_9_0003_alto.xml-2-95	bib13506739_18280827_144030_199_0001_alto.xml-30-9	Benjamin	3.0	 	2023-07-02 21:28:34.339	undertrycka
bib11653811_19030131_145317_18_0003_alto.xml-222-1	bib11653823_18250317_144010_63_0001_alto.xml-4-23	Benjamin	4.0	 	2023-07-02 21:28:40.807	undertrycka
bib13506739_18011105_144030_253_0013_alto.xml-1-70	bib19227462_18951129_147640_279_0002_alto.xml-37-13	Benjamin	1.0	 	2023-07-02 21:28:58.719	undertrycka
bib15650814_18950823_146365_196_0003_alto.xml-114-1	bib19225772_17921221_148003_101_0002_alto.xml-13-15	Benjamin	1.0	 	2023-07-02 21:29:33.536	undertrycka
bib11653828_18050621_144028_141_0001_alto.xml-4-65	bib19225772_18301231_148004_151_0001_alto.xml-0-13	Benjamin	4.0	 	2023-07-02 21:30:19.638	undertrycka
bib13506739_18100713_144030_161_0002_alto.xml-15-18	bib15650837_17930309_146391_20_0002_alto.xml-2-41	Benjamin	3.0	 	2023-07-02 21:30:54.568	undertrycka
bib11653811_19020120_145317_10_0003_alto.xml-33-12	bib11653828_17940929_144028_222_0004_alto.xml-2-8	Benjamin	4.0	 	2023-07-02 21:31:12.139	undertrycka
bib19277277_18951003_147683_269_0002_alto.xml-32-4	bib11653823_18210910_144010_211_0003_alto.xml-0-24	Benjamin	3.0	 	2023-07-02 21:31:50.65	undertrycka
bib19225758_18950330_144022_75_0002_alto.xml-91-30	bib11653825_18201113_145134_129_0002_alto.xml-5-56	Benjamin	4.0	 	2023-07-02 21:32:23.172	undertrycka
bib19225772_17921221_148003_101_0002_alto.xml-13-15	bib11653828_18210130_144028_24_0002_alto.xml-17-31	Benjamin	3.0	 	2023-07-02 21:32:38.237	undertrycka
bib19225772_17921221_148003_101_0002_alto.xml-13-15	bib11653828_18100714_144028_162_0001_alto.xml-10-4	Benjamin	3.0	 	2023-07-02 21:32:48.958	undertrycka
bib19227291_18240128_145289_4_0002_alto.xml-6-43	bib15873371_18950117_145112_16_0003_alto.xml-120-74	Benjamin	1.0	 	2023-07-02 21:33:03.779	undertrycka
bib11653790_19020801_145648_59_0003_alto.xml-86-29	bib11653811_18960314_145317_41_0003_alto.xml-77-5	Benjamin	1.0	 	2023-07-02 21:33:23.837	undertrycka
bib13506739_17950115_144030_11_0001_alto.xml-3-0	bib11653811_19020725_145317_111_0004_alto.xml-47-8	Benjamin	1.0	 	2023-07-02 21:33:58.527	undertrycka
bib15975090_18951019_148377_124_0002_alto.xml-158-25	bib19223423_18250309_145063_19_0002_alto.xml-13-28	Benjamin	2.0	 	2023-07-02 21:35:43.907	undertrycka
bib11653811_18990405_145317_50_0003_alto.xml-1-27	bib19225758_18951116_144022_268_0002_alto.xml-65-8	Benjamin	3.0	 	2023-07-02 21:36:53.832	undertrycka
bib15650837_17930309_146391_20_0002_alto.xml-2-41	bib13506739_18291103_144030_255_0005_alto.xml-17-6	Benjamin	3.0	 	2023-07-02 21:39:13.985	undertrycka
bib13506739_18270322_144030_68_0001_alto.xml-18-37	bib19277277_18950529_147683_144_0006_alto.xml-100-16	Benjamin	3.0	 	2023-07-02 21:39:25.16	undertrycka
bib19225758_18950330_144022_75_0002_alto.xml-91-30	bib11653823_18300914_144010_212_0002_alto.xml-7-10	Benjamin	4.0	 	2023-07-02 21:39:34.68	undertrycka
bib15873371_18950419_145112_105_0002_alto.xml-128-40	bib19227462_18950720_147640_166_0006_alto.xml-218-22	Benjamin	3.0	 	2023-07-02 21:40:25.333	undertrycka
bib13506739_18270322_144030_68_0001_alto.xml-18-37	bib11653828_17911108_144028_259_0002_alto.xml-9-26	Benjamin	3.0	 	2023-07-02 21:40:35.549	undertrycka
bib19225758_18950330_144022_75_0002_alto.xml-91-30	bib19223423_18250309_145063_19_0002_alto.xml-13-28	Benjamin	4.0	 	2023-07-02 21:40:52.51	undertrycka
bib11653828_17910222_144028_43_0002_alto.xml-8-16	bib15975087_18951206_145596_189_0003_alto.xml-109-1	Benjamin	1.0	 	2023-07-02 21:41:09.884	undertrycka
bib13506739_18291107_144030_259_0008_alto.xml-39-19	bib19277277_18950309_147683_67_0010_alto.xml-13-128	Benjamin	4.0	 	2023-07-02 21:41:16.236	undertrycka
bib13506739_18290227_144030_48_0002_alto.xml-6-18	bib15761097_18950806_145020_92_0003_alto.xml-27-22	Benjamin	2.0	 	2023-07-02 21:41:30.015	undertrycka
bib19225772_18121117_148004_131_0001_alto.xml-6-32	bib19227291_18301013_145289_41_0002_alto.xml-23-36	Benjamin	4.0	 	2023-07-02 21:41:39.035	undertrycka
bib11653828_18060303_144028_50_0003_alto.xml-7-24	bib11653825_18120512_145134_55_0002_alto.xml-1-33	Benjamin	1.0	 	2023-07-02 21:42:10.463	undertrycka
bib19225772_18220821_148004_95_0001_alto.xml-7-3	bib15650837_18101208_146391_98_0002_alto.xml-6-75	Benjamin	3.0	 	2023-07-02 21:42:33.754	undertrycka
bib11653823_18301019_144010_242_0002_alto.xml-7-4	bib11653811_18970609_145317_87_0003_alto.xml-135-108	Benjamin	1.0	 	2023-07-02 21:42:46.945	undertrycka
bib15975090_18951019_148377_124_0002_alto.xml-158-25	bib11653823_18301019_144010_242_0002_alto.xml-7-4	Benjamin	3.0	 	2023-07-02 21:42:55.292	undertrycka
bib11653828_17940327_144028_70_0002_alto.xml-3-15	bib15650837_18140907_146391_71_0001_alto.xml-5-21	Benjamin	3.0	 	2023-07-02 21:43:05.403	undertrycka
bib19520388_17991218_147487_51_0003_alto.xml-3-23	bib11653828_17930530_144028_120_0002_alto.xml-10-8	Benjamin	1.0	 	2023-07-02 21:43:54.384	undertrycka
bib11653823_18250820_144010_191_0002_alto.xml-4-48	bib19225772_18301231_148004_151_0001_alto.xml-0-13	Benjamin	4.0	 	2023-07-02 21:44:21.852	undertrycka
bib15650837_17940716_146391_56_0001_alto.xml-1-11	bib11653838_19010809_147024_32_0004_alto.xml-167-6	Benjamin	1.0	 	2023-07-02 21:44:37.122	undertrycka
bib15650814_18950823_146365_196_0003_alto.xml-114-1	bib11653790_18980225_145648_16_0008_alto.xml-50-19	Benjamin	1.0	 	2023-07-02 21:45:02.155	undertrycka
bib15650837_17930309_146391_20_0002_alto.xml-2-41	bib11653811_18960120_145317_10_0002_alto.xml-120-10	Benjamin	3.0	 	2023-07-02 21:46:06.357	undertrycka
bib15650835_18950719_146472_61_0002_alto.xml-102-25	bib11653830_18960831_146968_70_0004_alto.xml-174-2	Benjamin	4.0	 	2023-07-02 21:46:16.656	undertrycka
bib19227462_18950211_147640_35_0002_alto.xml-68-21	bib19225772_18270808_148004_91_0001_alto.xml-3-18	Benjamin	4.0	 	2023-07-02 21:46:24.315	undertrycka
bib11653828_17951231_144028_299_0002_alto.xml-7-8	bib11653828_17940929_144028_222_0004_alto.xml-2-8	Benjamin	3.0	 	2023-07-02 21:47:11.312	undertrycka
bib19277277_18280617_147682_139_0001_alto.xml-16-38	bib13506739_18291002_144030_228_0001_alto.xml-6-23	Benjamin	4.0	 	2023-07-02 21:47:42.283	undertrycka
bib11653815_18970903_146944_101_0003_alto.xml-31-38	bib11653828_18020405_144028_76_0002_alto.xml-1-12	Benjamin	0.0	Sentence 2 not complete	2023-07-02 21:48:15.738	undertrycka
bib11653828_17911108_144028_259_0002_alto.xml-9-26	bib19225772_18270523_148004_59_0001_alto.xml-4-19	Benjamin	2.0	 	2023-07-02 21:49:06.465	undertrycka
bib11653830_18950419_146968_45_0004_alto.xml-17-20	bib11653825_18141201_145134_138_0003_alto.xml-0-10	Benjamin	3.0	 	2023-07-02 21:56:06.257	undertrycka
bib13506739_17950115_144030_11_0001_alto.xml-3-0	bib11653811_18990719_145317_108_0003_alto.xml-138-6	Benjamin	1.0	 	2023-07-02 21:56:13.334	undertrycka
bib15869824_18961202_145700_96_0002_alto.xml-2-12	bib11653828_18190120_144028_15_0002_alto.xml-7-47	Benjamin	1.0	 	2023-07-02 21:57:36.837	undertrycka
bib19225772_18121117_148004_131_0001_alto.xml-6-32	bib15650837_18950914_146391_214_0006_alto.xml-73-20	Benjamin	4.0	 	2023-07-02 21:58:16.196	undertrycka
bib19277277_18951003_147683_269_0002_alto.xml-32-4	bib19227291_18951114_145289_136_0004_alto.xml-52-5	Benjamin	4.0	 	2023-07-02 21:58:39.7	undertrycka
bib11653792_17930511_146919_19_0003_alto.xml-1-45	bib19225772_17921221_148003_101_0002_alto.xml-13-15	Benjamin	3.0	 	2023-07-02 21:59:02.017	undertrycka
bib11653811_18990405_145317_50_0003_alto.xml-1-27	bib15873936_18951224_147385_151_0004_alto.xml-92-9	Benjamin	3.0	 	2023-07-02 21:59:14.969	undertrycka
bib11653823_18271127_144010_278_0001_alto.xml-15-10	bib11653828_18020527_144028_118_0002_alto.xml-5-7	Benjamin	1.0	 	2023-07-02 21:59:33.211	undertrycka
bib19227306_18281210_147700_50_0002_alto.xml-9-26	bib19225772_17930222_148003_15_0002_alto.xml-1-11	Benjamin	1.0	 	2023-07-02 22:00:55.862	undertrycka
bib11653825_18120512_145134_55_0002_alto.xml-1-33	bib19227291_18951123_145289_140_0004_alto.xml-3-22	Benjamin	1.0	 	2023-07-02 22:01:06.362	undertrycka
bib11653815_18950924_146944_113_0004_alto.xml-4-31	bib13506739_18291002_144030_228_0001_alto.xml-6-23	Benjamin	3.0	 	2023-07-02 22:01:33.86	undertrycka
bib11653823_18300826_144010_196_0002_alto.xml-1-18	bib19225772_18261115_148004_133_0001_alto.xml-3-14	Benjamin	1.0	 	2023-07-02 22:02:04.888	undertrycka
bib15650837_18270519_146391_40_0009_alto.xml-4-37	bib11653828_17951231_144028_299_0002_alto.xml-7-8	Benjamin	1.0	 	2023-07-02 22:02:18.649	undertrycka
