identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib13506739_18051017_144030_241_0008_alto.xml-13-10	bib19225772_18070821_148004_94_0004_alto.xml-0-21	Benjamin	3.0	 	2023-07-03 19:40:44.907	uppläggning
bib13506739_18090224_144030_46_0009_alto.xml-12-2	bib13506739_18270514_144030_111_0004_alto.xml-19-7	Benjamin	4.0	 	2023-07-03 19:41:10.262	uppläggning
bib19225792_18100519_147359_20_0006_alto.xml-6-10	bib19277277_18950426_147683_112_0007_alto.xml-35-59	Benjamin	4.0	 	2023-07-03 19:41:29.577	uppläggning
bib15650835_18950215_146472_13_0001_alto.xml-9-69	bib19225792_18101027_147359_43_0005_alto.xml-3-2	Benjamin	4.0	 	2023-07-03 19:42:06.424	uppläggning
bib11653790_18960124_145648_4_0001_alto.xml-55-4	bib19227291_18951210_145289_147_0003_alto.xml-25-15	Benjamin	2.0	 	2023-07-03 19:42:30.983	uppläggning
bib19225772_18120318_148004_32_0004_alto.xml-2-18	bib13506739_18170512_144030_108_0009_alto.xml-4-29	Benjamin	4.0	 	2023-07-03 20:05:13.65	uppläggning
bib13506739_18160815_144030_188_0007_alto.xml-18-44	bib15873936_18960901_147385_101_0004_alto.xml-74-14	Benjamin	2.0	 	2023-07-03 19:43:21.208	uppläggning
bib15650835_18950212_146472_12_0004_alto.xml-172-5	bib19277277_18240315_147682_62_0006_alto.xml-7-21	Benjamin	1.0	 	2023-07-03 19:43:58.445	uppläggning
bib15650835_18950212_146472_12_0004_alto.xml-172-5	bib13506739_18180216_144030_38_0005_alto.xml-18-18	Benjamin	1.0	 	2023-07-03 19:44:43.064	uppläggning
bib15975087_18951207_145596_190_0002_alto.xml-114-12	bib15650835_18950104_146472_1_0001_alto.xml-19-73	Benjamin	2.0	 	2023-07-03 19:45:16.585	uppläggning
bib19225772_18100828_148004_97_0004_alto.xml-2-48	bib19225772_18030629_148004_73_0003_alto.xml-13-33	Benjamin	4.0	 	2023-07-03 19:45:38.495	uppläggning
bib13506739_18080302_144030_51_0007_alto.xml-7-12	bib13506739_18210620_144030_141_0012_alto.xml-9-16	Benjamin	4.0	 	2023-07-03 19:47:21.131	uppläggning
bib13506739_18270514_144030_111_0004_alto.xml-19-7	bib15650814_18951203_146365_283_0004_alto.xml-83-14	Benjamin	3.0	 	2023-07-03 19:48:21.996	uppläggning
bib15761097_18950910_145020_107_0001_alto.xml-21-1	bib19225758_18950816_144022_189_0004_alto.xml-171-15	Benjamin	4.0	 	2023-07-03 19:49:40.431	uppläggning
bib13506739_18160815_144030_188_0007_alto.xml-18-44	bib19227462_18950528_147640_122_0003_alto.xml-193-6	Benjamin	3.0	 	2023-07-03 19:50:06.243	uppläggning
bib19277277_18950119_147683_18_0007_alto.xml-40-19	bib19225772_18170409_148004_38_0003_alto.xml-4-46	Benjamin	4.0	 	2023-07-03 19:51:54.544	uppläggning
bib19225758_18950508_144022_106_0001_alto.xml-17-17	bib19225792_18070620_147359_25_0007_alto.xml-3-18	Benjamin	4.0	 	2023-07-03 19:52:13.26	uppläggning
bib19277277_18950426_147683_112_0007_alto.xml-35-59	bib19225792_18260715_147359_26_0004_alto.xml-4-65	Benjamin	4.0	 	2023-07-03 19:52:40.531	uppläggning
bib13506739_18051022_144030_244_0007_alto.xml-3-10	bib19225772_18070429_148004_47_0001_alto.xml-3-62	Benjamin	4.0	 	2023-07-03 19:52:55.053	uppläggning
bib19227462_18950921_147640_220_0006_alto.xml-28-29	bib19225772_18260705_148004_76_0003_alto.xml-13-92	Benjamin	4.0	 	2023-07-03 19:53:24.166	uppläggning
bib19277277_18261218_147682_294_0004_alto.xml-35-19	bib19227462_18950820_147640_192_0004_alto.xml-70-9	Benjamin	4.0	 	2023-07-03 19:53:58.213	uppläggning
bib19225772_18300416_148004_42_0007_alto.xml-8-8	bib19225772_18071009_148004_115_0004_alto.xml-4-13	Benjamin	4.0	 	2023-07-03 19:54:24.828	uppläggning
bib19277277_18950610_147683_155_0007_alto.xml-16-15	bib19227462_18950913_147640_213_0003_alto.xml-181-187	Benjamin	3.0	 	2023-07-03 19:55:19.772	uppläggning
bib15873371_18950527_145112_142_0004_alto.xml-133-4	bib19225758_18950520_144022_116_0004_alto.xml-82-8	Benjamin	2.0	 	2023-07-03 19:55:54.299	uppläggning
bib19225772_18210501_148004_49_0003_alto.xml-0-47	bib13506739_18210620_144030_141_0012_alto.xml-9-16	Benjamin	4.0	 	2023-07-03 19:56:12.109	uppläggning
bib13506739_18050930_144030_226_0007_alto.xml-19-2	bib13506739_18090926_144030_223_0005_alto.xml-5-6	Benjamin	1.0	 	2023-07-03 19:57:07.238	uppläggning
bib19225792_18260715_147359_26_0004_alto.xml-4-65	bib15650814_18951203_146365_283_0004_alto.xml-83-14	Benjamin	1.0	 	2023-07-03 19:57:29.527	uppläggning
bib11653811_19030313_145317_41_0002_alto.xml-59-18	bib15873371_18950429_145112_115_0002_alto.xml-247-58	Benjamin	4.0	 	2023-07-03 19:59:48.662	uppläggning
bib19277277_18261218_147682_294_0004_alto.xml-35-19	bib13506739_18090517_144030_112_0010_alto.xml-14-29	Benjamin	4.0	 	2023-07-03 20:00:50.598	uppläggning
bib19227291_18951210_145289_147_0003_alto.xml-25-15	bib19225772_18150614_148004_67_0004_alto.xml-5-14	Benjamin	1.0	 	2023-07-03 20:01:06.027	uppläggning
bib13506739_18090926_144030_223_0005_alto.xml-5-6	bib19225792_18210428_147359_16_0005_alto.xml-1-47	Benjamin	1.0	 	2023-07-03 20:01:15.676	uppläggning
bib13506739_18051022_144030_244_0007_alto.xml-3-10	bib15873371_18950909_145112_245_0004_alto.xml-74-4	Benjamin	4.0	 	2023-07-03 20:01:50.459	uppläggning
bib19225772_18030701_148004_74_0004_alto.xml-0-33	bib19225772_18100828_148004_97_0004_alto.xml-2-48	Benjamin	4.0	 	2023-07-03 20:04:44.021	uppläggning
bib13506739_18170512_144030_108_0009_alto.xml-4-29	bib15650835_18950215_146472_13_0001_alto.xml-9-69	Benjamin	3.0	 	2023-07-03 20:05:06.717	uppläggning
bib15873936_18960314_147385_31_0001_alto.xml-34-4	bib15873371_18951216_145112_343_0004_alto.xml-113-4	Benjamin	1.0	 	2023-07-03 20:05:27.622	uppläggning
bib19225772_18041218_148004_147_0003_alto.xml-4-9	bib19225772_18040919_148004_109_0003_alto.xml-4-46	Benjamin	4.0	 	2023-07-03 20:06:10.249	uppläggning
bib13506739_18090517_144030_112_0010_alto.xml-14-29	bib19227462_18950321_147640_68_0004_alto.xml-186-10	Benjamin	4.0	 	2023-07-03 20:06:53.703	uppläggning
bib19225758_18950510_144022_108_0004_alto.xml-52-8	bib15873371_18950923_145112_259_0004_alto.xml-55-4	Benjamin	1.0	 	2023-07-03 20:07:04.131	uppläggning
bib19227462_18951125_147640_275_0004_alto.xml-209-9	bib19225772_18150614_148004_67_0004_alto.xml-5-14	Benjamin	4.0	 	2023-07-03 20:07:29.734	uppläggning
bib15873371_18950204_145112_34_0004_alto.xml-9-5	bib13506739_18180319_144030_65_0006_alto.xml-21-17	Benjamin	3.0	 	2023-07-03 20:08:38.879	uppläggning
bib11653811_19000418_145317_58_0003_alto.xml-133-14	bib19277277_18950914_147683_250_0007_alto.xml-6-113	Benjamin	4.0	 	2023-07-03 20:08:58.831	uppläggning
bib19225772_18150616_148004_68_0004_alto.xml-10-13	bib13506739_18180316_144030_62_0006_alto.xml-3-17	Benjamin	3.0	 	2023-07-03 20:09:27.952	uppläggning
bib19225772_18030701_148004_74_0004_alto.xml-0-33	bib15873371_18950207_145112_37_0004_alto.xml-2-8	Benjamin	1.0	 	2023-07-03 20:09:44.328	uppläggning
bib19225772_18070617_148004_67_0004_alto.xml-5-18	bib19225792_18040218_147359_7_0005_alto.xml-2-13	Benjamin	4.0	 	2023-07-03 20:10:13.405	uppläggning
bib19277277_18950128_147683_27_0010_alto.xml-95-2	bib19227462_18950321_147640_68_0004_alto.xml-186-10	Benjamin	1.0	 	2023-07-03 20:11:12.403	uppläggning
bib11653811_18980216_145317_26_0004_alto.xml-84-6	bib11653806_18070609_145120_61_0003_alto.xml-7-54	Benjamin	3.0	 	2023-07-03 20:13:04.414	uppläggning
bib19225792_18081001_147359_40_0005_alto.xml-2-12	bib19225772_18260712_148004_79_0003_alto.xml-4-66	Benjamin	4.0	 	2023-07-03 20:14:24.484	uppläggning
bib15873371_18950916_145112_252_0004_alto.xml-85-4	bib15873371_18950923_145112_259_0004_alto.xml-55-4	Benjamin	4.0	 	2023-07-03 20:14:36.565	uppläggning
bib13506739_18170517_144030_112_0005_alto.xml-4-29	bib15650835_18950215_146472_13_0001_alto.xml-9-69	Benjamin	3.0	 	2023-07-03 20:14:54.425	uppläggning
bib19225792_18250423_147359_16_0006_alto.xml-0-22	bib11653811_19021011_145317_156_0003_alto.xml-143-16	Benjamin	1.0	 	2023-07-03 20:17:36.844	uppläggning
bib15650835_18950226_146472_17_0004_alto.xml-191-5	bib19225758_18950520_144022_116_0004_alto.xml-82-8	Benjamin	1.0	 	2023-07-03 20:18:09.422	uppläggning
bib19225772_18170409_148004_38_0003_alto.xml-4-46	bib15978012_18950121_148361_17_0002_alto.xml-26-12	Benjamin	1.0	 	2023-07-03 20:18:28.298	uppläggning
bib19225758_18950508_144022_106_0004_alto.xml-58-2	bib19225772_18131005_148004_114_0008_alto.xml-7-21	Benjamin	4.0	 	2023-07-03 20:18:36.009	uppläggning
bib19227462_18950405_147640_80_0002_alto.xml-39-5	bib19227462_18950913_147640_213_0003_alto.xml-181-187	Benjamin	1.0	 	2023-07-03 20:18:50.56	uppläggning
bib19225772_18090606_148004_62_0004_alto.xml-4-6	bib19225758_18950610_144022_132_0004_alto.xml-120-12	Benjamin	1.0	 	2023-07-03 20:20:05.446	uppläggning
bib13506739_18170517_144030_112_0005_alto.xml-4-29	bib19277277_18950608_147683_153_0005_alto.xml-66-10	Benjamin	4.0	 	2023-07-03 20:20:46.475	uppläggning
bib19225772_18100828_148004_97_0004_alto.xml-2-48	bib15873936_18960901_147385_101_0004_alto.xml-74-14	Benjamin	4.0	 	2023-07-03 20:20:54.466	uppläggning
bib15650814_18951126_146365_277_0004_alto.xml-35-9	bib15873371_18950916_145112_252_0004_alto.xml-85-4	Benjamin	1.0	 	2023-07-03 20:21:00.459	uppläggning
bib13506739_18210510_144030_108_0009_alto.xml-5-9	bib19277277_18240312_147682_60_0006_alto.xml-11-27	Benjamin	4.0	 	2023-07-03 20:21:48.711	uppläggning
bib19225772_18260630_148004_74_0005_alto.xml-6-30	bib19225772_18100620_148004_68_0002_alto.xml-5-87	Benjamin	4.0	 	2023-07-03 20:22:03.683	uppläggning
bib13506739_18111019_144030_244_0005_alto.xml-7-24	bib15761097_18950910_145020_107_0001_alto.xml-21-1	Benjamin	4.0	 	2023-07-03 20:23:53.531	uppläggning
bib19225772_18051023_148004_122_0004_alto.xml-4-68	bib15873371_18950211_145112_41_0004_alto.xml-11-4	Benjamin	4.0	 	2023-07-03 20:24:38.558	uppläggning
bib15873371_18951216_145112_343_0004_alto.xml-113-4	bib19225758_18950520_144022_116_0004_alto.xml-82-8	Benjamin	1.0	 	2023-07-03 20:24:50.216	uppläggning
bib19225792_18070620_147359_25_0007_alto.xml-3-18	bib19227462_18951205_147640_284_0003_alto.xml-159-11	Benjamin	1.0	 	2023-07-03 20:27:52.882	uppläggning
