identifier	cluster
Angesicht-c1-i68	0
Angesicht-c1-i93	5
Angesicht-c1-i96	0
Angesicht-c1-i54	0
Angesicht-c1-i56	4
Angesicht-c1-i16	6
Angesicht-c1-i23	0
Angesicht-c1-i77	0
Angesicht-c1-i78	0
Angesicht-c1-i95	0
Angesicht-c1-i37	0
Angesicht-c1-i13	0
Angesicht-c1-i51	0
Angesicht-c1-i58	0
Angesicht-c1-i8	7
Angesicht-c1-i97	3
Angesicht-c1-i82	-1
Angesicht-c1-i57	0
Angesicht-c1-i20	0
Angesicht-c1-i14	0
Angesicht-c1-i26	8
Angesicht-c1-i46	0
Angesicht-c1-i63	0
Angesicht-c1-i4	0
Angesicht-c1-i70	0
Angesicht-c2-i29	1
Angesicht-c2-i91	0
Angesicht-c2-i55	1
Angesicht-c2-i15	2
Angesicht-c2-i1	0
Angesicht-c2-i25	0
Angesicht-c2-i37	0
Angesicht-c2-i49	1
Angesicht-c2-i32	1
Angesicht-c2-i12	0
Angesicht-c2-i19	0
Angesicht-c2-i36	1
Angesicht-c2-i79	2
Angesicht-c2-i31	0
Angesicht-c2-i90	3
Angesicht-c2-i75	2
Angesicht-c2-i69	0
Angesicht-c2-i82	4
Angesicht-c2-i20	0
Angesicht-c2-i44	0
Angesicht-c2-i68	-1
Angesicht-c2-i18	2
Angesicht-c2-i76	1
Angesicht-c2-i54	2
Angesicht-c2-i50	3
