identifier	cluster
Arbeitsbedingung-c1-i52	0
Arbeitsbedingung-c1-i54	0
Arbeitsbedingung-c1-i43	0
Arbeitsbedingung-c1-i60	0
Arbeitsbedingung-c1-i65	0
Arbeitsbedingung-c1-i5	0
Arbeitsbedingung-c1-i25	0
Arbeitsbedingung-c1-i66	0
Arbeitsbedingung-c1-i20	0
Arbeitsbedingung-c1-i16	0
Arbeitsbedingung-c1-i9	0
Arbeitsbedingung-c1-i36	0
Arbeitsbedingung-c1-i58	0
Arbeitsbedingung-c1-i63	0
Arbeitsbedingung-c1-i55	0
Arbeitsbedingung-c1-i40	0
Arbeitsbedingung-c1-i47	0
Arbeitsbedingung-c1-i6	0
Arbeitsbedingung-c1-i45	0
Arbeitsbedingung-c1-i67	1
Arbeitsbedingung-c1-i3	0
Arbeitsbedingung-c1-i42	0
Arbeitsbedingung-c1-i7	0
Arbeitsbedingung-c1-i37	0
Arbeitsbedingung-c1-i0	0
Arbeitsbedingung-c2-i49	0
Arbeitsbedingung-c2-i66	0
Arbeitsbedingung-c2-i55	-1
Arbeitsbedingung-c2-i90	0
Arbeitsbedingung-c2-i93	0
Arbeitsbedingung-c2-i70	0
Arbeitsbedingung-c2-i4	0
Arbeitsbedingung-c2-i19	0
Arbeitsbedingung-c2-i13	0
Arbeitsbedingung-c2-i68	0
Arbeitsbedingung-c2-i99	0
Arbeitsbedingung-c2-i8	0
Arbeitsbedingung-c2-i32	0
Arbeitsbedingung-c2-i71	0
Arbeitsbedingung-c2-i77	0
Arbeitsbedingung-c2-i46	0
Arbeitsbedingung-c2-i2	0
Arbeitsbedingung-c2-i69	0
Arbeitsbedingung-c2-i52	0
Arbeitsbedingung-c2-i50	0
Arbeitsbedingung-c2-i34	0
Arbeitsbedingung-c2-i92	0
Arbeitsbedingung-c2-i62	0
Arbeitsbedingung-c2-i1	0
Arbeitsbedingung-c2-i36	0
