identifier	cluster
Aussterben-c1-i86	0
Aussterben-c1-i1	0
Aussterben-c1-i78	0
Aussterben-c1-i44	0
Aussterben-c1-i0	0
Aussterben-c1-i80	0
Aussterben-c1-i91	0
Aussterben-c1-i74	0
Aussterben-c1-i18	0
Aussterben-c1-i49	0
Aussterben-c1-i4	0
Aussterben-c1-i40	0
Aussterben-c1-i71	0
Aussterben-c1-i5	0
Aussterben-c1-i88	0
Aussterben-c1-i85	0
Aussterben-c1-i32	0
Aussterben-c1-i51	0
Aussterben-c1-i67	0
Aussterben-c1-i59	0
Aussterben-c1-i13	0
Aussterben-c1-i2	1
Aussterben-c1-i28	0
Aussterben-c1-i50	0
Aussterben-c1-i25	0
Aussterben-c2-i59	0
Aussterben-c2-i13	0
Aussterben-c2-i97	0
Aussterben-c2-i1	0
Aussterben-c2-i41	0
Aussterben-c2-i14	0
Aussterben-c2-i18	0
Aussterben-c2-i72	0
Aussterben-c2-i82	0
Aussterben-c2-i54	0
Aussterben-c2-i50	0
Aussterben-c2-i20	0
Aussterben-c2-i55	0
Aussterben-c2-i25	1
Aussterben-c2-i68	0
Aussterben-c2-i70	0
Aussterben-c2-i44	0
Aussterben-c2-i85	0
Aussterben-c2-i98	0
Aussterben-c2-i35	0
Aussterben-c2-i75	1
Aussterben-c2-i74	0
Aussterben-c2-i29	-1
Aussterben-c2-i94	0
Aussterben-c2-i52	0
