identifier	cluster
Fischerei-c1-i93	0
Fischerei-c1-i70	0
Fischerei-c1-i44	0
Fischerei-c1-i65	0
Fischerei-c1-i38	0
Fischerei-c1-i82	0
Fischerei-c1-i97	0
Fischerei-c1-i94	0
Fischerei-c1-i3	1
Fischerei-c1-i75	0
Fischerei-c1-i99	0
Fischerei-c1-i14	0
Fischerei-c1-i88	0
Fischerei-c1-i2	0
Fischerei-c1-i27	0
Fischerei-c1-i15	0
Fischerei-c1-i22	0
Fischerei-c1-i17	0
Fischerei-c1-i76	0
Fischerei-c1-i69	0
Fischerei-c1-i87	0
Fischerei-c1-i79	0
Fischerei-c1-i12	0
Fischerei-c1-i25	0
Fischerei-c1-i78	0
Fischerei-c2-i17	0
Fischerei-c2-i33	0
Fischerei-c2-i21	0
Fischerei-c2-i48	0
Fischerei-c2-i85	0
Fischerei-c2-i75	0
Fischerei-c2-i54	0
Fischerei-c2-i35	0
Fischerei-c2-i96	0
Fischerei-c2-i49	0
Fischerei-c2-i13	0
Fischerei-c2-i83	0
Fischerei-c2-i90	0
Fischerei-c2-i52	0
Fischerei-c2-i61	0
Fischerei-c2-i9	0
Fischerei-c2-i7	0
Fischerei-c2-i69	0
Fischerei-c2-i40	0
Fischerei-c2-i60	0
Fischerei-c2-i79	0
Fischerei-c2-i95	0
Fischerei-c2-i44	0
Fischerei-c2-i34	0
Fischerei-c2-i76	2
