identifier	cluster
Hauptfrage-c1-i23	0
Hauptfrage-c1-i82	0
Hauptfrage-c1-i45	0
Hauptfrage-c1-i37	0
Hauptfrage-c1-i20	0
Hauptfrage-c1-i84	0
Hauptfrage-c1-i94	0
Hauptfrage-c1-i4	0
Hauptfrage-c1-i99	0
Hauptfrage-c1-i43	0
Hauptfrage-c1-i25	0
Hauptfrage-c1-i71	0
Hauptfrage-c1-i30	0
Hauptfrage-c1-i3	0
Hauptfrage-c1-i54	0
Hauptfrage-c1-i49	0
Hauptfrage-c1-i40	0
Hauptfrage-c1-i8	0
Hauptfrage-c1-i53	0
Hauptfrage-c1-i16	0
Hauptfrage-c1-i75	0
Hauptfrage-c1-i60	0
Hauptfrage-c1-i81	0
Hauptfrage-c1-i15	0
Hauptfrage-c1-i85	0
Hauptfrage-c2-i24	0
Hauptfrage-c2-i9	0
Hauptfrage-c2-i40	0
Hauptfrage-c2-i93	0
Hauptfrage-c2-i38	0
Hauptfrage-c2-i26	0
Hauptfrage-c2-i61	0
Hauptfrage-c2-i55	0
Hauptfrage-c2-i25	0
Hauptfrage-c2-i18	0
Hauptfrage-c2-i22	0
Hauptfrage-c2-i73	0
Hauptfrage-c2-i56	0
Hauptfrage-c2-i57	0
Hauptfrage-c2-i64	0
Hauptfrage-c2-i94	0
Hauptfrage-c2-i60	0
Hauptfrage-c2-i7	0
Hauptfrage-c2-i47	0
Hauptfrage-c2-i17	0
Hauptfrage-c2-i67	0
Hauptfrage-c2-i11	0
Hauptfrage-c2-i85	0
Hauptfrage-c2-i42	0
Hauptfrage-c2-i68	0
