identifier	cluster
Königreich-c1-i86	0
Königreich-c1-i58	0
Königreich-c1-i79	0
Königreich-c1-i13	0
Königreich-c1-i49	0
Königreich-c1-i66	0
Königreich-c1-i17	0
Königreich-c1-i38	0
Königreich-c1-i37	0
Königreich-c1-i50	0
Königreich-c1-i46	0
Königreich-c1-i9	0
Königreich-c1-i55	-1
Königreich-c1-i80	0
Königreich-c1-i54	0
Königreich-c1-i0	0
Königreich-c1-i5	0
Königreich-c1-i35	0
Königreich-c1-i63	0
Königreich-c1-i3	0
Königreich-c1-i2	0
Königreich-c1-i82	0
Königreich-c1-i47	0
Königreich-c1-i57	0
Königreich-c1-i27	0
Königreich-c2-i49	0
Königreich-c2-i41	0
Königreich-c2-i30	0
Königreich-c2-i97	0
Königreich-c2-i15	0
Königreich-c2-i32	0
Königreich-c2-i4	0
Königreich-c2-i45	0
Königreich-c2-i17	0
Königreich-c2-i89	0
Königreich-c2-i71	0
Königreich-c2-i46	0
Königreich-c2-i16	0
Königreich-c2-i58	0
Königreich-c2-i39	0
Königreich-c2-i80	0
Königreich-c2-i26	0
Königreich-c2-i67	0
Königreich-c2-i24	0
Königreich-c2-i22	0
Königreich-c2-i85	0
Königreich-c2-i81	0
Königreich-c2-i65	0
Königreich-c2-i52	0
Königreich-c2-i1	0
