identifier	cluster
Kunde-c1-i93	1
Kunde-c1-i32	1
Kunde-c1-i58	0
Kunde-c1-i92	1
Kunde-c1-i15	-1
Kunde-c1-i3	1
Kunde-c1-i89	1
Kunde-c1-i14	1
Kunde-c1-i73	1
Kunde-c1-i61	1
Kunde-c1-i99	1
Kunde-c1-i26	1
Kunde-c1-i95	1
Kunde-c1-i75	1
Kunde-c1-i37	1
Kunde-c1-i29	1
Kunde-c1-i41	1
Kunde-c1-i63	1
Kunde-c1-i17	1
Kunde-c1-i60	1
Kunde-c1-i82	1
Kunde-c1-i47	1
Kunde-c1-i65	1
Kunde-c1-i23	1
Kunde-c1-i53	1
Kunde-c2-i83	0
Kunde-c2-i14	0
Kunde-c2-i50	0
Kunde-c2-i36	0
Kunde-c2-i33	0
Kunde-c2-i24	0
Kunde-c2-i3	0
Kunde-c2-i62	0
Kunde-c2-i95	0
Kunde-c2-i45	0
Kunde-c2-i80	0
Kunde-c2-i13	0
Kunde-c2-i81	0
Kunde-c2-i30	0
Kunde-c2-i52	0
Kunde-c2-i75	0
Kunde-c2-i53	0
Kunde-c2-i29	0
Kunde-c2-i43	0
Kunde-c2-i20	0
Kunde-c2-i79	0
Kunde-c2-i1	0
Kunde-c2-i32	0
Kunde-c2-i19	0
Kunde-c2-i66	0
