identifier	cluster
Rädelsführer-c1-i70	0
Rädelsführer-c1-i28	0
Rädelsführer-c1-i6	0
Rädelsführer-c1-i40	0
Rädelsführer-c1-i0	0
Rädelsführer-c1-i9	0
Rädelsführer-c1-i55	0
Rädelsführer-c1-i60	0
Rädelsführer-c1-i48	0
Rädelsführer-c1-i71	0
Rädelsführer-c1-i53	0
Rädelsführer-c1-i45	0
Rädelsführer-c1-i11	0
Rädelsführer-c1-i18	0
Rädelsführer-c1-i26	0
Rädelsführer-c1-i51	0
Rädelsführer-c1-i15	0
Rädelsführer-c1-i36	0
Rädelsführer-c1-i46	0
Rädelsführer-c1-i21	0
Rädelsführer-c1-i31	0
Rädelsführer-c1-i20	0
Rädelsführer-c1-i38	0
Rädelsführer-c1-i41	0
Rädelsführer-c1-i59	0
Rädelsführer-c2-i85	0
Rädelsführer-c2-i68	0
Rädelsführer-c2-i59	0
Rädelsführer-c2-i35	0
Rädelsführer-c2-i1	0
Rädelsführer-c2-i18	0
Rädelsführer-c2-i88	0
Rädelsführer-c2-i32	0
Rädelsführer-c2-i71	0
Rädelsführer-c2-i8	0
Rädelsführer-c2-i67	0
Rädelsführer-c2-i66	0
Rädelsführer-c2-i2	0
Rädelsführer-c2-i28	0
Rädelsführer-c2-i10	0
Rädelsführer-c2-i0	0
Rädelsführer-c2-i70	0
Rädelsführer-c2-i62	0
Rädelsführer-c2-i84	0
Rädelsführer-c2-i45	0
Rädelsführer-c2-i27	0
Rädelsführer-c2-i72	1
Rädelsführer-c2-i19	0
Rädelsführer-c2-i33	0
Rädelsführer-c2-i38	0
