identifier	cluster
Überflutung-c1-i32	1
Überflutung-c1-i11	0
Überflutung-c1-i27	0
Überflutung-c1-i30	1
Überflutung-c1-i5	1
Überflutung-c1-i1	0
Überflutung-c1-i34	0
Überflutung-c1-i25	1
Überflutung-c1-i15	0
Überflutung-c1-i22	1
Überflutung-c1-i37	0
Überflutung-c1-i24	1
Überflutung-c1-i33	1
Überflutung-c1-i9	0
Überflutung-c1-i13	1
Überflutung-c1-i6	1
Überflutung-c1-i40	0
Überflutung-c1-i26	0
Überflutung-c1-i36	0
Überflutung-c1-i38	1
Überflutung-c1-i0	0
Überflutung-c1-i23	1
Überflutung-c1-i10	0
Überflutung-c1-i21	0
Überflutung-c1-i4	1
Überflutung-c2-i27	1
Überflutung-c2-i40	0
Überflutung-c2-i67	0
Überflutung-c2-i65	0
Überflutung-c2-i60	0
Überflutung-c2-i41	0
Überflutung-c2-i70	0
Überflutung-c2-i46	0
Überflutung-c2-i24	0
Überflutung-c2-i4	0
Überflutung-c2-i5	0
Überflutung-c2-i10	0
Überflutung-c2-i58	0
Überflutung-c2-i45	0
Überflutung-c2-i7	0
Überflutung-c2-i48	1
Überflutung-c2-i71	0
Überflutung-c2-i6	0
Überflutung-c2-i2	0
Überflutung-c2-i11	0
Überflutung-c2-i38	0
Überflutung-c2-i23	0
Überflutung-c2-i22	0
Überflutung-c2-i55	0
Überflutung-c2-i28	0
