identifier	cluster
Vernichtungskrieg-c1-i6	0
Vernichtungskrieg-c1-i26	3
Vernichtungskrieg-c1-i41	0
Vernichtungskrieg-c1-i13	4
Vernichtungskrieg-c1-i27	0
Vernichtungskrieg-c1-i17	0
Vernichtungskrieg-c1-i24	1
Vernichtungskrieg-c1-i18	1
Vernichtungskrieg-c1-i39	5
Vernichtungskrieg-c1-i5	0
Vernichtungskrieg-c1-i42	0
Vernichtungskrieg-c1-i3	0
Vernichtungskrieg-c1-i11	0
Vernichtungskrieg-c1-i23	1
Vernichtungskrieg-c1-i37	0
Vernichtungskrieg-c1-i8	0
Vernichtungskrieg-c1-i15	0
Vernichtungskrieg-c1-i32	0
Vernichtungskrieg-c1-i46	1
Vernichtungskrieg-c1-i25	2
Vernichtungskrieg-c1-i4	2
Vernichtungskrieg-c1-i7	0
Vernichtungskrieg-c1-i49	0
Vernichtungskrieg-c1-i16	0
Vernichtungskrieg-c1-i36	0
Vernichtungskrieg-c2-i41	0
Vernichtungskrieg-c2-i63	0
Vernichtungskrieg-c2-i6	0
Vernichtungskrieg-c2-i1	0
Vernichtungskrieg-c2-i37	0
Vernichtungskrieg-c2-i22	0
Vernichtungskrieg-c2-i24	0
Vernichtungskrieg-c2-i62	0
Vernichtungskrieg-c2-i61	0
Vernichtungskrieg-c2-i32	0
Vernichtungskrieg-c2-i57	1
Vernichtungskrieg-c2-i14	0
Vernichtungskrieg-c2-i53	0
Vernichtungskrieg-c2-i54	0
Vernichtungskrieg-c2-i46	0
Vernichtungskrieg-c2-i5	0
Vernichtungskrieg-c2-i38	0
Vernichtungskrieg-c2-i42	0
Vernichtungskrieg-c2-i33	0
Vernichtungskrieg-c2-i51	0
Vernichtungskrieg-c2-i21	0
Vernichtungskrieg-c2-i4	0
Vernichtungskrieg-c2-i56	0
Vernichtungskrieg-c2-i35	0
Vernichtungskrieg-c2-i64	0
