identifier	cluster
Warschauer-c1-i15	1
Warschauer-c1-i9	1
Warschauer-c1-i6	1
Warschauer-c1-i3	2
Warschauer-c1-i24	1
Warschauer-c1-i29	1
Warschauer-c1-i43	1
Warschauer-c1-i5	1
Warschauer-c1-i2	4
Warschauer-c1-i38	1
Warschauer-c1-i47	1
Warschauer-c1-i22	5
Warschauer-c1-i8	1
Warschauer-c1-i41	1
Warschauer-c1-i26	3
Warschauer-c1-i49	0
Warschauer-c1-i40	1
Warschauer-c1-i45	2
Warschauer-c1-i0	1
Warschauer-c1-i20	1
Warschauer-c1-i21	1
Warschauer-c1-i28	1
Warschauer-c1-i30	1
Warschauer-c1-i31	1
Warschauer-c1-i48	0
Warschauer-c2-i18	1
Warschauer-c2-i65	0
Warschauer-c2-i38	0
Warschauer-c2-i3	0
Warschauer-c2-i98	0
Warschauer-c2-i2	0
Warschauer-c2-i70	0
Warschauer-c2-i57	0
Warschauer-c2-i49	0
Warschauer-c2-i6	0
Warschauer-c2-i53	0
Warschauer-c2-i66	0
Warschauer-c2-i26	0
Warschauer-c2-i1	0
Warschauer-c2-i37	0
Warschauer-c2-i64	0
Warschauer-c2-i78	0
Warschauer-c2-i79	0
Warschauer-c2-i51	1
Warschauer-c2-i60	0
Warschauer-c2-i8	0
Warschauer-c2-i4	1
Warschauer-c2-i11	3
Warschauer-c2-i33	0
Warschauer-c2-i88	0
