identifier	cluster
Zehner-c1-i1	3
Zehner-c1-i13	0
Zehner-c1-i26	4
Zehner-c1-i7	0
Zehner-c1-i18	-1
Zehner-c1-i21	0
Zehner-c1-i11	0
Zehner-c1-i4	0
Zehner-c1-i19	0
Zehner-c1-i5	0
Zehner-c1-i30	0
Zehner-c1-i17	0
Zehner-c1-i29	0
Zehner-c1-i15	0
Zehner-c1-i34	5
Zehner-c1-i31	0
Zehner-c1-i23	0
Zehner-c1-i9	0
Zehner-c1-i6	0
Zehner-c1-i33	0
Zehner-c1-i20	2
Zehner-c1-i3	0
Zehner-c1-i16	0
Zehner-c1-i24	0
Zehner-c1-i8	0
Zehner-c2-i15	6
Zehner-c2-i16	1
Zehner-c2-i59	1
Zehner-c2-i31	1
Zehner-c2-i29	1
Zehner-c2-i48	1
Zehner-c2-i30	-1
Zehner-c2-i24	1
Zehner-c2-i58	-1
Zehner-c2-i57	1
Zehner-c2-i56	1
Zehner-c2-i8	1
Zehner-c2-i17	1
Zehner-c2-i22	7
Zehner-c2-i12	2
Zehner-c2-i60	1
Zehner-c2-i25	-1
Zehner-c2-i7	1
Zehner-c2-i21	1
Zehner-c2-i6	1
Zehner-c2-i52	1
Zehner-c2-i18	8
Zehner-c2-i61	1
Zehner-c2-i14	1
Zehner-c2-i50	1
