identifier	cluster
Zurückgebleibene-c1-i16	0
Zurückgebleibene-c1-i25	0
Zurückgebleibene-c1-i48	0
Zurückgebleibene-c1-i52	1
Zurückgebleibene-c1-i29	0
Zurückgebleibene-c1-i15	0
Zurückgebleibene-c1-i50	0
Zurückgebleibene-c1-i3	0
Zurückgebleibene-c1-i40	0
Zurückgebleibene-c1-i17	0
Zurückgebleibene-c1-i9	1
Zurückgebleibene-c1-i27	0
Zurückgebleibene-c1-i37	0
Zurückgebleibene-c1-i6	0
Zurückgebleibene-c1-i32	0
Zurückgebleibene-c1-i20	0
Zurückgebleibene-c1-i43	0
Zurückgebleibene-c1-i38	0
Zurückgebleibene-c1-i42	0
Zurückgebleibene-c1-i49	1
Zurückgebleibene-c1-i4	0
Zurückgebleibene-c1-i36	1
Zurückgebleibene-c1-i0	0
Zurückgebleibene-c1-i5	0
Zurückgebleibene-c1-i7	0
Zurückgebleibene-c2-i3	0
Zurückgebleibene-c2-i15	0
Zurückgebleibene-c2-i50	0
Zurückgebleibene-c2-i7	0
Zurückgebleibene-c2-i51	0
Zurückgebleibene-c2-i18	0
Zurückgebleibene-c2-i40	0
Zurückgebleibene-c2-i25	0
Zurückgebleibene-c2-i23	0
Zurückgebleibene-c2-i26	0
Zurückgebleibene-c2-i38	0
Zurückgebleibene-c2-i4	0
Zurückgebleibene-c2-i6	0
Zurückgebleibene-c2-i0	0
Zurückgebleibene-c2-i31	0
Zurückgebleibene-c2-i2	0
Zurückgebleibene-c2-i39	-1
Zurückgebleibene-c2-i46	0
Zurückgebleibene-c2-i20	0
Zurückgebleibene-c2-i28	0
Zurückgebleibene-c2-i14	0
Zurückgebleibene-c2-i45	0
Zurückgebleibene-c2-i47	0
Zurückgebleibene-c2-i10	0
Zurückgebleibene-c2-i33	0
