identifier	cluster
angeregt-c1-i89	2
angeregt-c1-i54	0
angeregt-c1-i64	0
angeregt-c1-i22	1
angeregt-c1-i93	0
angeregt-c1-i11	0
angeregt-c1-i67	0
angeregt-c1-i2	1
angeregt-c1-i92	1
angeregt-c1-i59	0
angeregt-c1-i61	0
angeregt-c1-i45	0
angeregt-c1-i13	0
angeregt-c1-i39	0
angeregt-c1-i84	0
angeregt-c1-i63	0
angeregt-c1-i37	0
angeregt-c1-i83	0
angeregt-c1-i6	0
angeregt-c1-i51	0
angeregt-c1-i32	0
angeregt-c1-i36	0
angeregt-c1-i43	0
angeregt-c1-i46	0
angeregt-c1-i5	0
angeregt-c2-i97	1
angeregt-c2-i88	1
angeregt-c2-i9	1
angeregt-c2-i32	1
angeregt-c2-i90	1
angeregt-c2-i17	0
angeregt-c2-i39	1
angeregt-c2-i21	1
angeregt-c2-i31	0
angeregt-c2-i3	1
angeregt-c2-i2	1
angeregt-c2-i45	1
angeregt-c2-i67	1
angeregt-c2-i56	1
angeregt-c2-i12	1
angeregt-c2-i74	0
angeregt-c2-i25	1
angeregt-c2-i4	0
angeregt-c2-i96	1
angeregt-c2-i42	1
angeregt-c2-i48	1
angeregt-c2-i85	0
angeregt-c2-i76	1
angeregt-c2-i14	1
angeregt-c2-i18	0
