identifier	cluster
anpflanzen-c1-i66	0
anpflanzen-c1-i73	0
anpflanzen-c1-i36	0
anpflanzen-c1-i45	2
anpflanzen-c1-i83	0
anpflanzen-c1-i18	0
anpflanzen-c1-i79	0
anpflanzen-c1-i60	1
anpflanzen-c1-i40	0
anpflanzen-c1-i56	0
anpflanzen-c1-i51	0
anpflanzen-c1-i49	3
anpflanzen-c1-i55	0
anpflanzen-c1-i38	0
anpflanzen-c1-i16	1
anpflanzen-c1-i81	0
anpflanzen-c1-i26	1
anpflanzen-c1-i35	0
anpflanzen-c1-i3	1
anpflanzen-c1-i14	0
anpflanzen-c1-i41	4
anpflanzen-c1-i76	0
anpflanzen-c1-i22	0
anpflanzen-c1-i1	0
anpflanzen-c1-i33	0
anpflanzen-c2-i90	0
anpflanzen-c2-i84	0
anpflanzen-c2-i77	0
anpflanzen-c2-i39	0
anpflanzen-c2-i41	0
anpflanzen-c2-i97	0
anpflanzen-c2-i75	0
anpflanzen-c2-i33	0
anpflanzen-c2-i88	0
anpflanzen-c2-i92	-1
anpflanzen-c2-i50	0
anpflanzen-c2-i35	0
anpflanzen-c2-i49	0
anpflanzen-c2-i80	0
anpflanzen-c2-i87	0
anpflanzen-c2-i96	0
anpflanzen-c2-i56	0
anpflanzen-c2-i69	0
anpflanzen-c2-i71	0
anpflanzen-c2-i9	0
anpflanzen-c2-i47	0
anpflanzen-c2-i82	0
anpflanzen-c2-i15	0
anpflanzen-c2-i86	0
anpflanzen-c2-i99	0
