identifier	cluster
ausbilden-c1-i12	1
ausbilden-c1-i52	3
ausbilden-c1-i26	2
ausbilden-c1-i37	4
ausbilden-c1-i28	1
ausbilden-c1-i48	1
ausbilden-c1-i66	0
ausbilden-c1-i64	1
ausbilden-c1-i40	0
ausbilden-c1-i92	2
ausbilden-c1-i98	1
ausbilden-c1-i29	1
ausbilden-c1-i3	2
ausbilden-c1-i78	1
ausbilden-c1-i45	0
ausbilden-c1-i89	1
ausbilden-c1-i13	0
ausbilden-c1-i94	0
ausbilden-c1-i72	1
ausbilden-c1-i57	1
ausbilden-c1-i0	1
ausbilden-c1-i58	1
ausbilden-c1-i8	5
ausbilden-c1-i83	6
ausbilden-c1-i90	1
ausbilden-c2-i76	0
ausbilden-c2-i13	0
ausbilden-c2-i30	0
ausbilden-c2-i58	0
ausbilden-c2-i0	0
ausbilden-c2-i14	0
ausbilden-c2-i5	0
ausbilden-c2-i4	7
ausbilden-c2-i44	0
ausbilden-c2-i51	0
ausbilden-c2-i64	0
ausbilden-c2-i71	0
ausbilden-c2-i42	0
ausbilden-c2-i22	0
ausbilden-c2-i57	0
ausbilden-c2-i90	0
ausbilden-c2-i80	0
ausbilden-c2-i49	0
ausbilden-c2-i98	0
ausbilden-c2-i99	0
ausbilden-c2-i23	0
ausbilden-c2-i62	0
ausbilden-c2-i53	0
ausbilden-c2-i48	0
ausbilden-c2-i7	0
