identifier	cluster
durchdenken-c1-i18	0
durchdenken-c1-i30	0
durchdenken-c1-i46	0
durchdenken-c1-i36	0
durchdenken-c1-i13	0
durchdenken-c1-i49	0
durchdenken-c1-i43	0
durchdenken-c1-i17	0
durchdenken-c1-i23	0
durchdenken-c1-i12	0
durchdenken-c1-i10	0
durchdenken-c1-i14	0
durchdenken-c1-i51	0
durchdenken-c1-i53	0
durchdenken-c1-i44	1
durchdenken-c1-i16	0
durchdenken-c1-i2	0
durchdenken-c1-i21	0
durchdenken-c1-i50	0
durchdenken-c1-i8	0
durchdenken-c1-i45	0
durchdenken-c1-i32	0
durchdenken-c1-i27	0
durchdenken-c1-i22	0
durchdenken-c1-i0	0
durchdenken-c2-i32	0
durchdenken-c2-i39	0
durchdenken-c2-i45	0
durchdenken-c2-i27	0
durchdenken-c2-i81	0
durchdenken-c2-i80	0
durchdenken-c2-i26	0
durchdenken-c2-i67	0
durchdenken-c2-i46	0
durchdenken-c2-i62	0
durchdenken-c2-i98	0
durchdenken-c2-i85	0
durchdenken-c2-i12	0
durchdenken-c2-i36	0
durchdenken-c2-i8	0
durchdenken-c2-i25	0
durchdenken-c2-i95	0
durchdenken-c2-i33	0
durchdenken-c2-i13	0
durchdenken-c2-i56	0
durchdenken-c2-i24	0
durchdenken-c2-i84	0
durchdenken-c2-i77	0
durchdenken-c2-i70	0
durchdenken-c2-i1	0
