identifier	cluster
einmünden-c1-i33	3
einmünden-c1-i27	2
einmünden-c1-i68	2
einmünden-c1-i57	3
einmünden-c1-i16	2
einmünden-c1-i5	1
einmünden-c1-i42	3
einmünden-c1-i9	4
einmünden-c1-i75	2
einmünden-c1-i50	1
einmünden-c1-i74	1
einmünden-c1-i88	2
einmünden-c1-i36	1
einmünden-c1-i13	2
einmünden-c1-i43	1
einmünden-c1-i44	1
einmünden-c1-i94	1
einmünden-c1-i56	1
einmünden-c1-i58	1
einmünden-c1-i17	2
einmünden-c1-i77	2
einmünden-c1-i89	1
einmünden-c1-i0	1
einmünden-c1-i52	5
einmünden-c1-i85	3
einmünden-c2-i53	0
einmünden-c2-i56	0
einmünden-c2-i37	3
einmünden-c2-i9	0
einmünden-c2-i42	2
einmünden-c2-i39	0
einmünden-c2-i30	2
einmünden-c2-i23	1
einmünden-c2-i54	0
einmünden-c2-i24	1
einmünden-c2-i31	0
einmünden-c2-i2	2
einmünden-c2-i6	0
einmünden-c2-i25	0
einmünden-c2-i41	0
einmünden-c2-i44	0
einmünden-c2-i57	0
einmünden-c2-i36	0
einmünden-c2-i61	0
einmünden-c2-i58	2
einmünden-c2-i43	0
einmünden-c2-i19	0
einmünden-c2-i49	0
einmünden-c2-i5	0
einmünden-c2-i0	0
