identifier	cluster
eintreten-c1-i27	0
eintreten-c1-i57	3
eintreten-c1-i19	2
eintreten-c1-i74	5
eintreten-c1-i46	2
eintreten-c1-i31	2
eintreten-c1-i86	0
eintreten-c1-i17	0
eintreten-c1-i82	0
eintreten-c1-i70	4
eintreten-c1-i21	0
eintreten-c1-i20	7
eintreten-c1-i45	0
eintreten-c1-i54	0
eintreten-c1-i73	2
eintreten-c1-i35	4
eintreten-c1-i83	2
eintreten-c1-i41	2
eintreten-c1-i90	2
eintreten-c1-i55	6
eintreten-c1-i2	0
eintreten-c1-i65	0
eintreten-c1-i87	3
eintreten-c1-i30	0
eintreten-c1-i23	3
eintreten-c2-i62	1
eintreten-c2-i94	1
eintreten-c2-i33	0
eintreten-c2-i19	0
eintreten-c2-i15	1
eintreten-c2-i44	1
eintreten-c2-i52	1
eintreten-c2-i11	8
eintreten-c2-i97	5
eintreten-c2-i21	9
eintreten-c2-i64	0
eintreten-c2-i20	0
eintreten-c2-i16	1
eintreten-c2-i63	1
eintreten-c2-i58	3
eintreten-c2-i7	1
eintreten-c2-i80	3
eintreten-c2-i43	1
eintreten-c2-i82	1
eintreten-c2-i96	4
eintreten-c2-i17	10
eintreten-c2-i40	6
eintreten-c2-i68	1
eintreten-c2-i34	1
eintreten-c2-i53	3
