identifier	cluster
erlauben-c1-i6	1
erlauben-c1-i43	2
erlauben-c1-i80	0
erlauben-c1-i89	0
erlauben-c1-i42	3
erlauben-c1-i4	0
erlauben-c1-i84	0
erlauben-c1-i85	0
erlauben-c1-i2	0
erlauben-c1-i16	0
erlauben-c1-i92	0
erlauben-c1-i24	0
erlauben-c1-i46	0
erlauben-c1-i78	0
erlauben-c1-i14	0
erlauben-c1-i87	0
erlauben-c1-i0	0
erlauben-c1-i55	0
erlauben-c1-i28	0
erlauben-c1-i13	0
erlauben-c1-i67	0
erlauben-c1-i81	0
erlauben-c1-i54	0
erlauben-c1-i59	0
erlauben-c1-i34	0
erlauben-c2-i59	0
erlauben-c2-i90	0
erlauben-c2-i25	0
erlauben-c2-i33	0
erlauben-c2-i10	0
erlauben-c2-i12	0
erlauben-c2-i34	0
erlauben-c2-i46	0
erlauben-c2-i31	2
erlauben-c2-i4	0
erlauben-c2-i43	0
erlauben-c2-i62	0
erlauben-c2-i9	0
erlauben-c2-i94	0
erlauben-c2-i52	0
erlauben-c2-i60	0
erlauben-c2-i39	0
erlauben-c2-i35	1
erlauben-c2-i32	0
erlauben-c2-i1	0
erlauben-c2-i73	0
erlauben-c2-i15	0
erlauben-c2-i84	0
erlauben-c2-i37	0
erlauben-c2-i55	0
