identifier	cluster
greifend-c1-i45	1
greifend-c1-i44	0
greifend-c1-i69	2
greifend-c1-i46	1
greifend-c1-i79	2
greifend-c1-i47	4
greifend-c1-i18	5
greifend-c1-i51	6
greifend-c1-i68	1
greifend-c1-i88	0
greifend-c1-i8	3
greifend-c1-i90	2
greifend-c1-i85	7
greifend-c1-i58	0
greifend-c1-i93	1
greifend-c1-i4	8
greifend-c1-i60	4
greifend-c1-i54	1
greifend-c1-i42	1
greifend-c1-i15	3
greifend-c1-i22	2
greifend-c1-i97	0
greifend-c1-i25	0
greifend-c1-i75	2
greifend-c1-i29	0
greifend-c2-i0	0
greifend-c2-i46	3
greifend-c2-i45	-1
greifend-c2-i43	0
greifend-c2-i57	0
greifend-c2-i66	0
greifend-c2-i77	0
greifend-c2-i97	3
greifend-c2-i56	0
greifend-c2-i69	0
greifend-c2-i29	0
greifend-c2-i32	0
greifend-c2-i54	3
greifend-c2-i70	1
greifend-c2-i71	1
greifend-c2-i52	0
greifend-c2-i82	4
greifend-c2-i93	-1
greifend-c2-i31	2
greifend-c2-i38	4
greifend-c2-i67	0
greifend-c2-i33	1
greifend-c2-i14	9
greifend-c2-i26	0
greifend-c2-i36	0
