identifier	cluster
helfen-c1-i11	0
helfen-c1-i67	0
helfen-c1-i4	0
helfen-c1-i5	0
helfen-c1-i98	0
helfen-c1-i18	0
helfen-c1-i70	0
helfen-c1-i46	0
helfen-c1-i64	-1
helfen-c1-i28	0
helfen-c1-i74	0
helfen-c1-i77	0
helfen-c1-i69	0
helfen-c1-i41	0
helfen-c1-i89	0
helfen-c1-i34	0
helfen-c1-i62	0
helfen-c1-i52	0
helfen-c1-i87	1
helfen-c1-i63	2
helfen-c1-i40	0
helfen-c1-i7	0
helfen-c1-i43	3
helfen-c1-i58	0
helfen-c1-i45	0
helfen-c2-i27	0
helfen-c2-i39	0
helfen-c2-i38	0
helfen-c2-i63	0
helfen-c2-i14	0
helfen-c2-i68	0
helfen-c2-i40	0
helfen-c2-i43	0
helfen-c2-i34	0
helfen-c2-i41	0
helfen-c2-i25	0
helfen-c2-i5	0
helfen-c2-i64	0
helfen-c2-i7	0
helfen-c2-i90	0
helfen-c2-i42	0
helfen-c2-i73	0
helfen-c2-i45	0
helfen-c2-i91	0
helfen-c2-i33	0
helfen-c2-i74	0
helfen-c2-i50	0
helfen-c2-i55	0
helfen-c2-i75	0
helfen-c2-i78	0
