identifier	cluster
nebensächlich-c1-i66	0
nebensächlich-c1-i13	0
nebensächlich-c1-i79	0
nebensächlich-c1-i47	0
nebensächlich-c1-i6	1
nebensächlich-c1-i32	0
nebensächlich-c1-i57	0
nebensächlich-c1-i97	0
nebensächlich-c1-i44	0
nebensächlich-c1-i52	0
nebensächlich-c1-i14	0
nebensächlich-c1-i19	0
nebensächlich-c1-i54	0
nebensächlich-c1-i64	0
nebensächlich-c1-i62	0
nebensächlich-c1-i49	0
nebensächlich-c1-i30	0
nebensächlich-c1-i4	0
nebensächlich-c1-i68	0
nebensächlich-c1-i81	0
nebensächlich-c1-i23	0
nebensächlich-c1-i25	0
nebensächlich-c1-i3	0
nebensächlich-c1-i43	0
nebensächlich-c1-i34	0
nebensächlich-c2-i15	0
nebensächlich-c2-i57	0
nebensächlich-c2-i36	0
nebensächlich-c2-i58	0
nebensächlich-c2-i20	0
nebensächlich-c2-i5	0
nebensächlich-c2-i42	0
nebensächlich-c2-i68	0
nebensächlich-c2-i62	0
nebensächlich-c2-i51	0
nebensächlich-c2-i14	0
nebensächlich-c2-i43	0
nebensächlich-c2-i44	0
nebensächlich-c2-i32	0
nebensächlich-c2-i75	0
nebensächlich-c2-i38	0
nebensächlich-c2-i26	0
nebensächlich-c2-i77	0
nebensächlich-c2-i72	0
nebensächlich-c2-i21	0
nebensächlich-c2-i2	0
nebensächlich-c2-i23	0
nebensächlich-c2-i31	0
nebensächlich-c2-i39	0
nebensächlich-c2-i8	0
