identifier	cluster
niederschlagen-c1-i81	2
niederschlagen-c1-i94	3
niederschlagen-c1-i93	4
niederschlagen-c1-i54	5
niederschlagen-c1-i88	7
niederschlagen-c1-i76	3
niederschlagen-c1-i75	1
niederschlagen-c1-i95	2
niederschlagen-c1-i43	4
niederschlagen-c1-i23	2
niederschlagen-c1-i2	0
niederschlagen-c1-i12	0
niederschlagen-c1-i53	4
niederschlagen-c1-i99	0
niederschlagen-c1-i62	3
niederschlagen-c1-i70	8
niederschlagen-c1-i17	9
niederschlagen-c1-i28	4
niederschlagen-c1-i55	10
niederschlagen-c1-i5	3
niederschlagen-c1-i42	11
niederschlagen-c1-i6	12
niederschlagen-c1-i72	13
niederschlagen-c1-i8	5
niederschlagen-c1-i91	2
niederschlagen-c2-i77	0
niederschlagen-c2-i22	0
niederschlagen-c2-i98	6
niederschlagen-c2-i5	0
niederschlagen-c2-i71	0
niederschlagen-c2-i45	3
niederschlagen-c2-i47	0
niederschlagen-c2-i25	0
niederschlagen-c2-i44	2
niederschlagen-c2-i8	6
niederschlagen-c2-i48	0
niederschlagen-c2-i79	1
niederschlagen-c2-i13	0
niederschlagen-c2-i97	1
niederschlagen-c2-i43	1
niederschlagen-c2-i10	2
niederschlagen-c2-i23	1
niederschlagen-c2-i14	3
niederschlagen-c2-i66	1
niederschlagen-c2-i27	5
niederschlagen-c2-i87	1
niederschlagen-c2-i57	1
niederschlagen-c2-i53	1
niederschlagen-c2-i83	0
niederschlagen-c2-i88	2
