identifier	cluster
preisgeben-c1-i99	4
preisgeben-c1-i81	0
preisgeben-c1-i60	0
preisgeben-c1-i35	0
preisgeben-c1-i28	0
preisgeben-c1-i69	1
preisgeben-c1-i57	1
preisgeben-c1-i58	0
preisgeben-c1-i85	2
preisgeben-c1-i2	5
preisgeben-c1-i87	0
preisgeben-c1-i0	0
preisgeben-c1-i5	0
preisgeben-c1-i15	0
preisgeben-c1-i83	0
preisgeben-c1-i96	0
preisgeben-c1-i75	3
preisgeben-c1-i7	0
preisgeben-c1-i84	0
preisgeben-c1-i70	0
preisgeben-c1-i38	0
preisgeben-c1-i27	1
preisgeben-c1-i39	0
preisgeben-c1-i34	0
preisgeben-c1-i6	0
preisgeben-c2-i95	1
preisgeben-c2-i58	1
preisgeben-c2-i79	0
preisgeben-c2-i9	1
preisgeben-c2-i63	1
preisgeben-c2-i47	0
preisgeben-c2-i42	1
preisgeben-c2-i17	0
preisgeben-c2-i36	0
preisgeben-c2-i86	1
preisgeben-c2-i72	0
preisgeben-c2-i65	1
preisgeben-c2-i69	3
preisgeben-c2-i73	1
preisgeben-c2-i66	0
preisgeben-c2-i94	1
preisgeben-c2-i40	1
preisgeben-c2-i76	2
preisgeben-c2-i35	0
preisgeben-c2-i6	1
preisgeben-c2-i26	2
preisgeben-c2-i13	1
preisgeben-c2-i1	3
preisgeben-c2-i27	1
preisgeben-c2-i78	0
