identifier	cluster
regulär-c1-i77	1
regulär-c1-i57	1
regulär-c1-i52	1
regulär-c1-i86	1
regulär-c1-i17	3
regulär-c1-i85	1
regulär-c1-i1	2
regulär-c1-i71	1
regulär-c1-i55	1
regulär-c1-i53	0
regulär-c1-i74	-1
regulär-c1-i81	1
regulär-c1-i19	1
regulär-c1-i75	1
regulär-c1-i54	1
regulär-c1-i8	1
regulär-c1-i97	1
regulär-c1-i98	0
regulär-c1-i93	0
regulär-c1-i29	1
regulär-c1-i11	1
regulär-c1-i46	0
regulär-c1-i89	1
regulär-c1-i47	0
regulär-c1-i62	0
regulär-c2-i20	2
regulär-c2-i52	0
regulär-c2-i96	0
regulär-c2-i99	0
regulär-c2-i53	0
regulär-c2-i3	2
regulär-c2-i29	0
regulär-c2-i7	0
regulär-c2-i33	0
regulär-c2-i86	1
regulär-c2-i40	0
regulär-c2-i95	2
regulär-c2-i74	0
regulär-c2-i16	0
regulär-c2-i45	0
regulär-c2-i85	0
regulär-c2-i91	3
regulär-c2-i36	-1
regulär-c2-i90	0
regulär-c2-i30	0
regulär-c2-i51	0
regulär-c2-i24	0
regulär-c2-i31	0
regulär-c2-i75	1
regulär-c2-i93	2
