identifier	cluster
unbedenklich-c1-i98	0
unbedenklich-c1-i99	0
unbedenklich-c1-i17	0
unbedenklich-c1-i45	0
unbedenklich-c1-i86	0
unbedenklich-c1-i26	3
unbedenklich-c1-i83	1
unbedenklich-c1-i12	0
unbedenklich-c1-i15	0
unbedenklich-c1-i5	0
unbedenklich-c1-i67	0
unbedenklich-c1-i40	0
unbedenklich-c1-i63	0
unbedenklich-c1-i27	0
unbedenklich-c1-i94	0
unbedenklich-c1-i25	0
unbedenklich-c1-i18	0
unbedenklich-c1-i0	0
unbedenklich-c1-i72	2
unbedenklich-c1-i2	0
unbedenklich-c1-i34	0
unbedenklich-c1-i43	0
unbedenklich-c1-i22	0
unbedenklich-c1-i13	0
unbedenklich-c1-i61	0
unbedenklich-c2-i8	2
unbedenklich-c2-i31	0
unbedenklich-c2-i21	0
unbedenklich-c2-i46	0
unbedenklich-c2-i42	0
unbedenklich-c2-i39	1
unbedenklich-c2-i35	0
unbedenklich-c2-i30	1
unbedenklich-c2-i17	0
unbedenklich-c2-i33	0
unbedenklich-c2-i2	0
unbedenklich-c2-i34	1
unbedenklich-c2-i40	0
unbedenklich-c2-i13	0
unbedenklich-c2-i10	2
unbedenklich-c2-i38	0
unbedenklich-c2-i9	1
unbedenklich-c2-i3	0
unbedenklich-c2-i11	4
unbedenklich-c2-i25	2
unbedenklich-c2-i41	0
unbedenklich-c2-i18	0
unbedenklich-c2-i14	0
unbedenklich-c2-i22	1
unbedenklich-c2-i27	1
