identifier	cluster
überwintern-c1-i93	0
überwintern-c1-i19	1
überwintern-c1-i1	0
überwintern-c1-i64	1
überwintern-c1-i17	0
überwintern-c1-i52	0
überwintern-c1-i63	0
überwintern-c1-i25	0
überwintern-c1-i31	0
überwintern-c1-i51	0
überwintern-c1-i68	0
überwintern-c1-i27	0
überwintern-c1-i53	0
überwintern-c1-i47	0
überwintern-c1-i83	0
überwintern-c1-i85	0
überwintern-c1-i54	0
überwintern-c1-i28	1
überwintern-c1-i8	0
überwintern-c1-i96	0
überwintern-c1-i57	0
überwintern-c1-i65	0
überwintern-c1-i18	0
überwintern-c1-i0	0
überwintern-c1-i66	0
überwintern-c2-i32	0
überwintern-c2-i62	0
überwintern-c2-i1	0
überwintern-c2-i21	3
überwintern-c2-i26	0
überwintern-c2-i56	0
überwintern-c2-i22	0
überwintern-c2-i28	0
überwintern-c2-i46	1
überwintern-c2-i53	1
überwintern-c2-i11	0
überwintern-c2-i37	0
überwintern-c2-i48	0
überwintern-c2-i55	0
überwintern-c2-i27	1
überwintern-c2-i17	2
überwintern-c2-i7	0
überwintern-c2-i20	0
überwintern-c2-i39	2
überwintern-c2-i33	0
überwintern-c2-i61	0
überwintern-c2-i45	0
überwintern-c2-i29	0
überwintern-c2-i44	-1
überwintern-c2-i41	0
