identifier	cluster
wuchernd-c1-i68	0
wuchernd-c1-i70	0
wuchernd-c1-i85	0
wuchernd-c1-i84	0
wuchernd-c1-i82	0
wuchernd-c1-i51	0
wuchernd-c1-i21	0
wuchernd-c1-i97	0
wuchernd-c1-i79	1
wuchernd-c1-i62	0
wuchernd-c1-i24	0
wuchernd-c1-i64	1
wuchernd-c1-i86	0
wuchernd-c1-i26	0
wuchernd-c1-i46	1
wuchernd-c1-i91	1
wuchernd-c1-i18	0
wuchernd-c1-i58	0
wuchernd-c1-i60	0
wuchernd-c1-i77	0
wuchernd-c1-i37	0
wuchernd-c1-i3	0
wuchernd-c1-i59	2
wuchernd-c1-i74	0
wuchernd-c1-i55	0
wuchernd-c2-i21	0
wuchernd-c2-i12	1
wuchernd-c2-i10	1
wuchernd-c2-i43	1
wuchernd-c2-i32	0
wuchernd-c2-i35	0
wuchernd-c2-i34	0
wuchernd-c2-i7	1
wuchernd-c2-i18	3
wuchernd-c2-i29	0
wuchernd-c2-i24	0
wuchernd-c2-i15	0
wuchernd-c2-i4	0
wuchernd-c2-i47	0
wuchernd-c2-i22	0
wuchernd-c2-i36	0
wuchernd-c2-i3	0
wuchernd-c2-i20	0
wuchernd-c2-i45	0
wuchernd-c2-i14	0
wuchernd-c2-i1	4
wuchernd-c2-i31	1
wuchernd-c2-i39	1
wuchernd-c2-i40	1
wuchernd-c2-i9	1
