identifier	cluster
zurückwerfen-c1-i25	1
zurückwerfen-c1-i23	0
zurückwerfen-c1-i69	4
zurückwerfen-c1-i71	5
zurückwerfen-c1-i43	2
zurückwerfen-c1-i9	0
zurückwerfen-c1-i51	2
zurückwerfen-c1-i18	1
zurückwerfen-c1-i19	1
zurückwerfen-c1-i1	1
zurückwerfen-c1-i5	1
zurückwerfen-c1-i73	2
zurückwerfen-c1-i59	4
zurückwerfen-c1-i58	0
zurückwerfen-c1-i81	0
zurückwerfen-c1-i46	1
zurückwerfen-c1-i78	3
zurückwerfen-c1-i14	1
zurückwerfen-c1-i52	3
zurückwerfen-c1-i99	0
zurückwerfen-c1-i29	1
zurückwerfen-c1-i76	1
zurückwerfen-c1-i22	2
zurückwerfen-c1-i24	3
zurückwerfen-c1-i38	6
zurückwerfen-c2-i52	0
zurückwerfen-c2-i42	0
zurückwerfen-c2-i82	0
zurückwerfen-c2-i34	0
zurückwerfen-c2-i68	1
zurückwerfen-c2-i77	0
zurückwerfen-c2-i26	7
zurückwerfen-c2-i98	0
zurückwerfen-c2-i84	0
zurückwerfen-c2-i6	2
zurückwerfen-c2-i0	2
zurückwerfen-c2-i25	0
zurückwerfen-c2-i1	1
zurückwerfen-c2-i95	0
zurückwerfen-c2-i93	1
zurückwerfen-c2-i55	0
zurückwerfen-c2-i37	2
zurückwerfen-c2-i69	2
zurückwerfen-c2-i13	2
zurückwerfen-c2-i4	0
zurückwerfen-c2-i59	8
zurückwerfen-c2-i86	0
zurückwerfen-c2-i78	0
zurückwerfen-c2-i72	2
zurückwerfen-c2-i8	9
