lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
abspalten	1_2	50	25	25	[27, 23]	[24, 1]	[3, 22]	[0.54, 0.46]	[0.96, 0.04]	[0.12, 0.88]	1	1	0	0.7807380557109639	1	3	1	3	3.2746478873239435	3.1307692307692307	2.216535433070866
Ächtung	1_2	50	25	25	[48]	[23]	[25]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.681159420289855	3.9166666666666665	2.90625
angeregt	1_2	50	25	25	[27, 22, 1]	[21, 3, 1]	[6, 19, 0]	[0.54, 0.44, 0.02]	[0.84, 0.12, 0.04]	[0.24, 0.76, 0.0]	0	0	0	0.5783509829132878	1	3	1	3	3.1515151515151514	3.2291666666666665	2.5193370165745854
Angesicht	1_2	50	25	25	[28, 6, 5, 3, 2, 1, 1, 1, 1]	[18, 0, 0, 1, 1, 1, 1, 1, 1]	[10, 6, 5, 2, 1, 0, 0, 0, 0]	[0.583, 0.125, 0.104, 0.062, 0.042, 0.021, 0.021, 0.021, 0.021]	[0.75, 0.0, 0.0, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042]	[0.417, 0.25, 0.208, 0.083, 0.042, 0.0, 0.0, 0.0, 0.0]	1	1	0	0.5936663213852202	1	3	1	3	2.892156862745098	2.6666666666666665	2.565
Angriffswaffe	1_2	50	25	25	[48, 1]	[23, 1]	[25, 0]	[0.98, 0.02]	[0.958, 0.042]	[1.0, 0.0]	0	0	0	0.14544106608363203	1	3	1	3	3.5786516853932584	3.5380434782608696	3.1335078534031413
anpflanzen	1_2	50	25	25	[42, 4, 1, 1, 1]	[18, 4, 1, 1, 1]	[24, 0, 0, 0, 0]	[0.857, 0.082, 0.02, 0.02, 0.02]	[0.72, 0.16, 0.04, 0.04, 0.04]	[1.0, 0.0, 0.0, 0.0, 0.0]	1	0	1	0.3956177528407826	1	3	1	3	2.99645390070922	3.904255319148936	3.326923076923077
Arbeitsbedingung	1_2	50	25	25	[48, 1]	[24, 1]	[24, 0]	[0.98, 0.02]	[0.96, 0.04]	[1.0, 0.0]	0	0	0	0.1424585834571342	1	3	1	3	3.375	3.9909090909090907	3.5103092783505154
Aufkommen	1_2	50	25	25	[25, 21, 1, 1, 1, 1]	[23, 0, 1, 1, 0, 0]	[2, 21, 0, 0, 1, 1]	[0.5, 0.42, 0.02, 0.02, 0.02, 0.02]	[0.92, 0.0, 0.04, 0.04, 0.0, 0.0]	[0.08, 0.84, 0.0, 0.0, 0.04, 0.04]	1	1	0	0.8938178812816755	1	3	1	3	3.423469387755102	3.0309278350515463	1.6657754010695187
Aufrichtung	1_2	50	25	25	[32, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1]	[9, 4, 3, 3, 1, 1, 1, 1, 1, 1, 0]	[23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]	[0.64, 0.08, 0.08, 0.06, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]	[0.36, 0.16, 0.12, 0.12, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.0]	[0.92, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04]	1	0	1	0.6217095383610514	1	3	1	3	2.36	3.5526315789473686	2.3545454545454545
aufstrebend	1_2	50	25	25	[37, 9, 1, 1]	[17, 7, 1, 0]	[20, 2, 0, 1]	[0.771, 0.188, 0.021, 0.021]	[0.68, 0.28, 0.04, 0.0]	[0.87, 0.087, 0.0, 0.043]	0	0	0	0.29776181223626624	1	3	1	3	2.5863636363636364	3.0714285714285716	2.7995391705069124
ausbilden	1_2	50	25	25	[29, 13, 3, 1, 1, 1, 1, 1]	[5, 13, 3, 1, 1, 1, 1, 0]	[24, 0, 0, 0, 0, 0, 0, 1]	[0.58, 0.26, 0.06, 0.02, 0.02, 0.02, 0.02, 0.02]	[0.2, 0.52, 0.12, 0.04, 0.04, 0.04, 0.04, 0.0]	[0.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04]	1	0	1	0.7844398209301332	1	3	1	3	2.5833333333333335	3.803030303030303	1.6733333333333333
Ausrufung	1_2	50	25	25	[25, 21, 1]	[1, 21, 1]	[24, 0, 0]	[0.532, 0.447, 0.021]	[0.043, 0.913, 0.043]	[1.0, 0.0, 0.0]	1	1	1	0.9325377364086475	1	3	1	3	3.3698630136986303	3.669811320754717	1.7098765432098766
