identifier	cluster
grimm_meistergesang_1811-478-13	0
beyer_poetik01_1882-17319-55	0
grimm_meistergesang_1811-1993-54	0
beyer_poetik03_1884-2034-4	0
beyer_poetik01_1882-14241-24	0
wilamowitz_aristoteles02_1893-1605-313	1
beyer_poetik01_1882-17668-12	0
grimm_meistergesang_1811-536-11	0
beyer_poetik01_1882-16991-19	0
grimm_meistergesang_1811-2067-37	0
grimm_meistergesang_1811-1748-43	0
vischer_poetik_1857-2423-19	0
beyer_poetik01_1882-17300-7	0
grimm_meistergesang_1811-705-35	0
beyer_poetik01_1882-15784-15	0
grimm_meistergesang_1811-1974-30	0
grimm_meistergesang_1811-479-17	0
wilamowitz_aristoteles02_1893-1614-163	0
grimm_meistergesang_1811-385-48	0
beyer_poetik03_1884-2036-5	0
beyer_poetik03_1884-2033-7	0
beyer_poetik01_1882-15790-28	0
beyer_poetik01_1882-17006-22	0
beyer_poetik01_1882-17319-30	0
grimm_meistergesang_1811-433-16	0
beyer_poetik01_1882-17723-37	0
beyer_poetik03_1884-2863-10	0
wilamowitz_aristoteles02_1893-1605-361	0
grimm_meistergesang_1811-2157-70	0
wilamowitz_aristoteles02_1893-1605-234	0
wilamowitz_aristoteles02_1893-1605-362	0
beyer_poetik03_1884-3642-10	0
beyer_poetik01_1882-19964-31	0
grimm_meistergesang_1811-1530-18	0
beyer_poetik01_1882-18197-7	0
grimm_meistergesang_1811-1993-45	0
wolff_poetik_1899-3988-17	0
grimm_meistergesang_1811-555-29	0
beyer_poetik01_1882-17299-37	0
beyer_poetik01_1882-19724-21	0
beyer_poetik01_1882-3724-6	0
grimm_meistergesang_1811-707-36	0
beyer_poetik01_1882-18235-27	0
beyer_poetik01_1882-17625-13	0
beyer_poetik01_1882-15759-37	0
vischer_aesthetik030205_1857-2377-19	0
beyer_poetik01_1882-18176-6	0
grimm_meistergesang_1811-2062-12	0
beyer_poetik01_1882-17007-22	0
beyer_poetik01_1882-15788-3	0
wilamowitz_aristoteles02_1893-1615-168	0
grimm_meistergesang_1811-1525-24	1
grimm_meistergesang_1811-437-33	0
gottschall_poetik_1858-3887-10	0
beyer_poetik03_1884-2876-49	0
wilamowitz_aristoteles02_1893-1615-116	0
grimm_meistergesang_1811-487-32	0
beyer_poetik01_1882-17040-22	0
beyer_poetik01_1882-17063-16	0
grimm_meistergesang_1811-467-12	0
beyer_poetik01_1882-14734-18	0
grimm_meistergesang_1811-705-60	0
grimm_meistergesang_1811-681-55	0
beyer_poetik01_1882-17617-19	0
beyer_poetik01_1882-17041-6	0
beyer_poetik01_1882-17247-77	0
beyer_poetik01_1882-18180-43	0
beyer_poetik01_1882-15106-33	0
grimm_meistergesang_1811-530-5	0
beyer_poetik01_1882-17005-6	0
wilamowitz_aristoteles02_1893-1605-94	0
beyer_poetik01_1882-17000-24	0
grimm_meistergesang_1811-1993-32	0
beyer_poetik01_1882-17976-10	0
beyer_poetik01_1882-17004-33	0
grimm_meistergesang_1811-702-32	0
grimm_meistergesang_1811-489-9	0
grimm_meistergesang_1811-710-26	0
beyer_poetik01_1882-17039-17	0
beyer_poetik01_1882-17724-28	0
beyer_poetik01_1882-17319-103	0
beyer_poetik03_1884-4076-12	0
grimm_meistergesang_1811-384-1	0
grimm_meistergesang_1811-381-26	0
grimm_meistergesang_1811-1611-19	0
beyer_poetik01_1882-17923-12	0
beyer_poetik01_1882-17299-47	0
grimm_meistergesang_1811-705-105	0
grimm_meistergesang_1811-385-75	0
beyer_poetik01_1882-17292-19	0
beyer_poetik01_1882-17710-19	0
grimm_meistergesang_1811-702-55	0
beyer_poetik01_1882-15789-24	0
beyer_poetik01_1882-14304-21	0
grimm_meistergesang_1811-757-20	0
grimm_meistergesang_1811-475-24	0
grimm_meistergesang_1811-1993-16	0
beyer_poetik03_1884-4074-23	0
beyer_poetik01_1882-18181-6	0
grimm_meistergesang_1811-561-16	0
26120215_1958_01_16_01_281.tcf.xml-9-2	2
2532889X_1980-08-20_01_192.tcf.xml-2-4	1
26120215_1988_04_23_01_075.tcf.xml-5-25	1
26120215_1985_09_26_01_090.tcf.xml-33-14	1
26120215_1960_04_12_01_107.tcf.xml-3-23	1
2532889X_1962-08-04_01_020.tcf.xml-27-2	1
26120215_1951_09_02_01_034.tcf.xml-3-22	1
2532889X_1960-11-10_01_118.tcf.xml-12-1	0
2532889X_1975-11-15_01_312.tcf.xml-10-74	0
2532889X_1964-04-15_01_017.tcf.xml-6-1	1
26120215_1967_04_23_01_072.tcf.xml-31-25	2
26120215_1953_09_25_01_140.tcf.xml-20-11	3
26120215_1952_03_16_01_388.tcf.xml-7-16	2
2532889X_1962-07-19_01_070.tcf.xml-28-23	1
2532889X_1965-02-12_01_185.tcf.xml-14-11	1
26120215_1950_05_21_01_370.tcf.xml-12-15	-1
26120215_1961_01_05_01_106.tcf.xml-2-10	3
26120215_1980_03_01_01_489.tcf.xml-3-5	-1
2532889X_1950-06-06_01_033.tcf.xml-51-23	1
2532889X_1990-06-05_01_224.tcf.xml-40-7	1
26120215_1989_11_17_01_084.tcf.xml-9-18	1
26120215_1968_06_10_01_056.tcf.xml-21-38	0
26120215_1971_03_23_01_027.tcf.xml-14-3	1
26120215_1965_08_29_01_224.tcf.xml-12-15	3
26120215_1965_01_09_01_103.tcf.xml-7-11	-1
2532889X_1989-08-11_01_133.tcf.xml-36-9	1
2532889X_1988-12-23_01_100.tcf.xml-26-6	1
2532889X_1990-03-22_01_077.tcf.xml-9-0	3
26120215_1951_07_03_01_194.tcf.xml-25-6	3
26120215_1957_05_16_01_256.tcf.xml-27-15	1
2532889X_1984-06-09_01_343.tcf.xml-24-15	1
26120215_1955_03_10_01_234.tcf.xml-14-16	2
2532889X_1966-11-28_01_141.tcf.xml-12-1	0
26120215_1990_03_10_01_570.tcf.xml-2-8	1
26120215_1960_02_03_01_306.tcf.xml-10-5	3
26120215_1965_11_19_01_006.tcf.xml-16-19	1
26120215_1964_02_04_01_177.tcf.xml-12-13	1
26120215_1988_12_20_01_107.tcf.xml-29-10	0
2532889X_1973-10-26_01_046.tcf.xml-10-22	1
26120215_1956_07_22_02_192.tcf.xml-7-0	3
2532889X_1987-11-14_01_073.tcf.xml-17-30	1
26120215_1974_07_31_01_200.tcf.xml-145-4	1
26120215_1951_01_21_01_028.tcf.xml-61-22	4
26120215_1952_02_03_01_263.tcf.xml-9-17	0
26120215_1964_08_02_01_129.tcf.xml-29-30	2
26120215_1990_08_28_01_380.tcf.xml-7-3	-1
26120215_1975_06_27_01_111.tcf.xml-3-13	0
26120215_1962_01_17_01_314.tcf.xml-18-19	1
2532889X_1959-05-19_01_064.tcf.xml-7-9	1
26120215_1990_10_13_01_206.tcf.xml-2-5	1
26120215_1990_07_07_01_176.tcf.xml-9-7	0
26120215_1975_06_07_01_379.tcf.xml-1-19	2
26120215_1958_07_10_01_274.tcf.xml-27-2	3
2532889X_1987-12-15_01_094.tcf.xml-36-10	1
2532889X_1965-11-20_01_009.tcf.xml-8-33	1
2532889X_1985-04-13_01_060.tcf.xml-46-40	1
26120215_1962_03_18_01_103.tcf.xml-13-28	1
2532889X_1988-05-13_01_094.tcf.xml-27-11	1
2532889X_1961-03-30_01_045.tcf.xml-6-9	1
26120215_1989_07_15_01_461.tcf.xml-75-23	-1
26120215_1969_08_31_01_321.tcf.xml-8-24	0
26120215_1948_08_31_01_041.tcf.xml-2-21	1
26120215_1989_10_21_01_225.tcf.xml-11-1	2
26120215_1961_05_27_01_236.tcf.xml-24-17	0
26120215_1965_05_14_01_407.tcf.xml-35-4	1
2532889X_1952-07-03_01_121.tcf.xml-66-12	1
26120215_1985_06_18_01_080.tcf.xml-16-19	1
26120215_1962_10_21_01_158.tcf.xml-51-15	2
2532889X_1946-06-09_01_061.tcf.xml-35-2	0
26120215_1947_02_18_01_055.tcf.xml-24-52	1
2532889X_1984-05-10_01_074.tcf.xml-23-31	1
2532889X_1990-10-01_01_102.tcf.xml-13-1	1
26120215_1957_09_05_01_242.tcf.xml-27-1	3
26120215_1979_12_19_01_098.tcf.xml-26-9	1
26120215_1961_01_05_01_106.tcf.xml-25-20	1
2532889X_1989-02-16_01_153.tcf.xml-5-20	1
26120215_1958_03_23_02_304.tcf.xml-30-18	2
26120215_1959_07_15_01_133.tcf.xml-19-25	1
26120215_1964_10_11_01_148.tcf.xml-4-1	1
26120215_1955_07_06_01_015.tcf.xml-5-14	2
2532889X_1981-04-01_01_117.tcf.xml-19-25	1
2532889X_1990-08-08_01_298.tcf.xml-11-8	1
26120215_1955_04_21_01_208.tcf.xml-18-17	2
2532889X_1990-03-24_01_553.tcf.xml-19-5	1
2532889X_1988-11-11_01_091.tcf.xml-4-24	1
26120215_1975_11_29_01_366.tcf.xml-27-12	0
26120215_1990_08_27_01_423.tcf.xml-4-6	1
26120215_1954_07_22_01_073.tcf.xml-7-14	2
2532889X_1990-04-30_01_076.tcf.xml-10-9	1
2532889X_1975-10-08_01_036.tcf.xml-17-9	2
26120215_1989_03_02_01_136.tcf.xml-18-2	1
26120215_1971_08_06_01_395.tcf.xml-5-17	1
26120215_1982_09_22_01_066.tcf.xml-17-4	1
26120215_1952_04_13_01_426.tcf.xml-16-21	0
26120215_1987_01_17_01_130.tcf.xml-17-20	1
26120215_1947_01_04_01_282.tcf.xml-20-12	0
26120215_1947_11_16_01_038.tcf.xml-4-24	0
26120215_1990_12_18_01_315.tcf.xml-34-3	0
26120215_1952_01_06_01_236.tcf.xml-16-24	2
26120215_1989_05_26_01_048.tcf.xml-10-3	1
