identifier	cluster
treitschke_geschichte04_1889-9927-22	0
vischer_aesthetik030205_1857-3552-48	0
vischer_aesthetik030201_1852-999-44	0
vischer_poetik_1857-3598-48	0
fontane_brandenburg04_1882-3285-49	0
vischer_aesthetik030202_1853-1767-20	0
menzel_literatur02_1828-2303-2	0
boelsche_liebesleben01_1898-6334-13	0
wackernagel_poetik_1873-2038-21	0
beck_eisen01_1884-7269-3	0
nn_maehrisches166_1893-356-13	0
nn_maehrisches166_1893-355-14	0
vischer_aesthetik030202_1853-626-37	0
boerne_paris05_1834-918-7	0
treitschke_geschichte03_1885-7349-2	0
peschel_voelkerkunde_1874-5878-6	0
laube_europa0101_1833-574-4	1
baumgart_poetik_1887-4462-4	0
mommsen_roemische01_1854-1772-24	0
beck_eisen01_1884-7268-12	0
wilamowitz_aristoteles02_1893-63-174	0
brunn_griechen01_1853-1238-14	0
curtius_alterthum01_1875-2334-75	0
treitschke_geschichte02_1882-542-20	0
nn_maehrisches271_1898-246-20	0
nn_maehrisches271_1898-247-1	0
curtius_alterthum01_1875-1090-17	0
humboldt_kosmos01_1845-3053-33	0
wackernagel_poetik_1873-2055-14	0
gottschalck_sagen_1814-440-24	0
droysen_alexander_1833-2158-11	0
beck_eisen01_1884-8362-68	0
wilamowitz_tragoedie_1889-63-52	0
mueller_hellenische03_1824-4417-23	0
varnhagen_rahel02_1834-3764-15	0
steinen_naturvoelker_1894-6787-36	0
beck_eisen01_1884-7276-2	0
justi_velazquez01_1888-168-14	0
bauer_buehnenleben_1871-1040-5	0
fontane_brandenburg03_1873-6567-7	0
vischer_aesthetik030202_1853-1745-15	0
curtius_alterthum01_1875-2666-12	0
curtius_alterthum01_1875-1899-19	0
fontane_kinderjahre_1894-748-21	0
beck_eisen01_1884-7274-8	0
bastian_voelkergedanke_1881-1068-2	0
mueller_kunst_1830-1688-16	0
rohde_psyche_1894-7308-29	0
fontane_brandenburg01_1862-3224-55	0
wilamowitz_tragoedie_1889-337-204	0
26120215_1961_02_09_01_071.tcf.xml-3-6	0
26120215_1946_07_13_01_029.tcf.xml-21-14	0
26120215_1962_07_28_01_076.tcf.xml-10-6	0
2532889X_1982-12-08_01_033.tcf.xml-4-8	0
2532889X_1990-09-20_01_250.tcf.xml-31-15	0
26120215_1962_07_24_01_171.tcf.xml-131-8	0
2532889X_1953-08-20_01_067.tcf.xml-10-2	0
2532889X_1970-06-04_01_194.tcf.xml-12-5	0
26120215_1978_03_23_01_093.tcf.xml-31-11	0
26120215_1951_08_02_01_006.tcf.xml-27-5	0
2532889X_1972-06-19_01_185.tcf.xml-13-37	0
2532889X_1966-08-04_01_060.tcf.xml-64-2	0
26120215_1954_03_19_01_176.tcf.xml-34-13	0
2532889X_1982-03-06_01_266.tcf.xml-51-12	0
2532889X_1976-02-03_01_068.tcf.xml-3-20	0
26120215_1954_04_08_01_243.tcf.xml-3-2	0
26120215_1954_03_19_01_176.tcf.xml-6-16	0
2532889X_1949-10-14_01_040.tcf.xml-4-25	0
2532889X_1951-07-22_01_232.tcf.xml-30-8	0
2532889X_1953-10-24_01_054.tcf.xml-18-2	0
2532889X_1951-02-27_01_022.tcf.xml-5-16	0
2532889X_1970-09-03_01_083.tcf.xml-11-30	0
2532889X_1959-06-05_01_089.tcf.xml-3-58	0
26120215_1952_09_09_01_057.tcf.xml-61-10	0
2532889X_1986-12-06_01_065.tcf.xml-5-12	0
2532889X_1961-06-28_01_048.tcf.xml-43-39	0
2532889X_1972-12-31_01_067.tcf.xml-7-1	0
2532889X_1960-05-03_01_046.tcf.xml-4-17	0
2532889X_1961-05-28_01_045.tcf.xml-26-13	0
