identifier	cluster
mohr_fachwerk01_1874-150-3	1
treitschke_geschichte05_1894-7592-14	0
rein_japan01_1881-1467-15	0
wundt_medizinische_1867-1513-1	1
ludwig_physiologie01_1852-3219-21	1
schubert_naturwissenschaft_1808-2613-18	1
vischer_aesthetik030204_1857-1481-153	1
valentin_entwicklungsgeschichte_1835-6748-32	1
wundt_medizinische_1867-4750-38	1
robert_griechische_1881-1128-27	2
mueller_festigkeitslehre_1886-1886-14	1
mohr_fachwerk02_1875-172-13	1
mueller_festigkeitslehre_1886-361-32	1
robert_griechische_1881-1228-67	2
ludwig_physiologie01_1852-3614-25	1
ludwig_physiologie01_1852-2025-67	1
ludwig_physiologie01_1852-2856-103	1
lehnert_seehaefen01_1891-13281-14	0
mueller_festigkeitslehre_1886-231-2	1
valentin_entwicklungsgeschichte_1835-6813-9	4
mueller_festigkeitslehre_1886-493-55	1
lehnert_seehaefen01_1891-1126-8	0
ludwig_physiologie01_1852-2856-30	1
rein_japan01_1881-1660-24	0
ludwig_physiologie01_1852-3467-76	1
mueller_festigkeitslehre_1886-1241-48	1
mueller_festigkeitslehre_1886-444-21	1
wundt_medizinische_1867-4731-41	1
mueller_festigkeitslehre_1886-96-20	1
mueller_festigkeitslehre_1886-294-9	1
beck_eisen01_1884-2444-5	0
mohr_fachwerk02_1875-172-28	1
wundt_medizinische_1867-4736-4	1
lehnert_seehaefen02_1892-4907-5	0
wundt_medizinische_1867-4755-67	1
vischer_aesthetik030201_1852-237-57	1
schubert_naturwissenschaft_1808-2204-78	1
mohr_fachwerk02_1875-98-22	1
ludwig_physiologie01_1852-2882-23	1
mueller_festigkeitslehre_1886-303-5	1
mueller_festigkeitslehre_1886-1429-60	1
mohr_fachwerk02_1875-131-61	1
mohr_fachwerk02_1875-126-43	1
mohr_fachwerk02_1875-154-31	1
mohr_fachwerk01_1874-127-20	1
mommsen_roemische02_1855-2955-26	0
mueller_festigkeitslehre_1886-551-15	1
mohr_fachwerk02_1875-20-29	1
mueller_festigkeitslehre_1886-1881-15	1
ludwig_physiologie01_1852-3613-43	1
mohr_fachwerk01_1874-149-19	1
mueller_festigkeitslehre_1886-416-26	1
robert_griechische_1881-978-16	2
mohr_fachwerk01_1874-22-4	1
mueller_festigkeitslehre_1886-1196-7	1
bluntschli_voelkerrecht_1868-505-6	0
lehnert_seehaefen02_1892-669-22	0
mueller_festigkeitslehre_1886-1234-23	1
schubert_naturwissenschaft_1808-2638-7	1
marx_kapital01_1867-9505-91	2
wundt_medizinische_1867-4863-13	0
siemens_abhandlungen_1881-4968-18	0
mueller_festigkeitslehre_1886-490-17	1
wundt_medizinische_1867-4071-10	1
mueller_festigkeitslehre_1886-592-16	1
mohr_fachwerk02_1875-108-4	1
mueller_festigkeitslehre_1886-260-20	1
mueller_festigkeitslehre_1886-88-7	1
mohr_fachwerk02_1875-131-82	1
mohr_fachwerk02_1875-167-33	1
schubert_naturwissenschaft_1808-2642-18	1
mueller_festigkeitslehre_1886-80-13	1
mueller_festigkeitslehre_1886-490-3	1
ludwig_physiologie01_1852-2873-2	1
marx_kapital01_1867-6290-31	2
treitschke_geschichte01_1879-10728-61	0
mohr_fachwerk02_1875-128-9	1
mohr_fachwerk01_1874-34-32	1
mueller_festigkeitslehre_1886-210-2	1
wundt_medizinische_1867-4758-35	1
schubert_naturwissenschaft_1808-2610-16	1
lehnert_seehaefen02_1892-10288-17	0
mueller_festigkeitslehre_1886-494-22	1
mueller_festigkeitslehre_1886-368-4	1
wundt_medizinische_1867-4089-20	1
stein_handbuch_1870-6666-3	0
schubert_naturwissenschaft_1808-2653-9	1
vischer_aesthetik030204_1857-934-9	5
mohr_fachwerk02_1875-165-36	1
wundt_medizinische_1867-4070-8	1
vischer_aesthetik030204_1857-1437-18	2
mohr_fachwerk02_1875-98-3	1
wundt_medizinische_1867-4735-4	1
wundt_medizinische_1867-4129-13	1
mohr_fachwerk02_1875-85-17	1
gottschall_poetik_1858-5961-15	2
schubert_naturwissenschaft_1808-2614-51	1
ludwig_physiologie01_1852-2873-59	1
mohr_fachwerk02_1875-126-24	1
mueller_festigkeitslehre_1886-492-10	1
26120215_1962_12_13_01_063.tcf.xml-115-13	2
2532889X_1973-10-19_01_129.tcf.xml-6-18	0
2532889X_1990-04-27_01_048.tcf.xml-6-12	0
2532889X_1988-04-14_01_148.tcf.xml-1-12	0
2532889X_1977-07-14_01_100.tcf.xml-21-9	0
2532889X_1967-12-24_01_160.tcf.xml-43-5	0
2532889X_1954-10-28_01_055.tcf.xml-70-10	0
2532889X_1963-11-05_01_065.tcf.xml-52-11	1
2532889X_1984-08-15_01_107.tcf.xml-8-3	0
2532889X_1977-07-28_01_097.tcf.xml-5-39	0
2532889X_1984-11-21_01_131.tcf.xml-22-14	0
26120215_1953_01_10_01_038.tcf.xml-76-36	2
2532889X_1963-08-01_01_131.tcf.xml-34-8	2
26120215_1985_03_02_01_101.tcf.xml-1-5	0
26120215_1985_08_08_01_180.tcf.xml-27-1	0
26120215_1967_01_20_01_306.tcf.xml-94-7	0
2532889X_1984-02-01_01_082.tcf.xml-17-7	0
2532889X_1951-03-28_01_048.tcf.xml-76-13	0
2532889X_1971-01-26_01_164.tcf.xml-34-9	-1
2532889X_1985-01-03_01_174.tcf.xml-17-1	0
2532889X_1971-04-10_01_351.tcf.xml-3-4	0
2532889X_1973-07-17_01_188.tcf.xml-64-4	0
2532889X_1978-06-24_01_211.tcf.xml-16-13	0
26120215_1990_10_23_01_041.tcf.xml-52-2	0
26120215_1971_07_25_01_162.tcf.xml-12-21	0
26120215_1946_07_27_01_116.tcf.xml-3-12	0
26120215_1949_10_22_01_196.tcf.xml-4-12	0
2532889X_1968-05-07_01_098.tcf.xml-4-7	1
26120215_1962_08_28_01_163.tcf.xml-56-14	0
