identifier	cluster
nn_nrhz100_1848-246-47	0
gutzkow_zeitgenossen01_1842-897-30	0
fontane_kinderjahre_1894-1789-24	0
dahlmann_geschichte_1845-2713-111	0
arnimb_goethe01_1835-910-23	0
droste_gedichte_1844-2451-11	0
stirner_einzige_1845-2813-13	1
jung_lebensgeschichte_1835-7497-38	0
grimm_maerchen02_1850-2617-7	0
koerner_leyer_1814-408-4	0
hoffmann_floh_1822-1176-20	2
varnhagen_rahel01_1834-4112-20	0
otto_schloss02_1846-1201-10	0
treitschke_geschichte02_1882-5338-22	0
boerne_paris03_1833-1195-25	0
rein_japan02_1886-10293-27	0
ranke_reformation05_1843-429-42	0
otto_schloss03_1846-1406-13	0
brehm_thierleben01_1864-10874-3	0
hc_1641310_1812-196-36	0
arnim_wunderhorn01_1806-2004-11	0
niebuhr_roemische02_1812-794-8	0
buecher_volkswirtschaft_1893-44-5	0
fontane_brandenburg01_1862-3551-10	0
eichendorff_dichter_1834-1408-4	0
varnhagen_rahel02_1834-6592-7	0
lewald_jenny02_1843-1446-16	0
brehm_thierleben03_1866-9344-23	0
treitschke_geschichte01_1879-932-26	0
rein_japan01_1881-5496-14	0
froelich_virginia01_1820-1448-12	0
kleist_kaethchen_1810-1044-2	-1
arent_dichtercharaktere_1885-2253-27	1
rueckert_brahmane01_1836-1073-7	0
grimm_maerchen01_1812-3383-11	0
herwegh_gedichte01_1841-695-3	0
pocci_komoedienbuechlein03_1869-2506-0	0
nn_nrhz247_1849-80-1	0
nn_nrhz158_1848-183-10	0
grimm_maerchen02_1857-2953-6	0
alexis_ruhe03_1852-636-17	0
heyse_novellen_1855-34-8	0
beyer_poetik01_1882-18385-24	-1
wirth_nationalfest01_1832-487-85	0
alexis_ruhe05_1852-33-35	0
immermann_muenchhausen04_1839-450-17	0
avelallemant_gaunerthum04_1862-4966-71	0
niebuhr_roemische02_1812-455-26	0
rueckert_brahmane03_1837-1487-19	0
beyer_poetik03_1884-2958-17	0
nn_nrhz247b_1849-110-38	0
beck_eisen01_1884-10675-19	0
arnim_wunderhorn01_1806-3394-51	-1
nn_nrhz178_1848-317-3	0
droste_gedichte_1844-4457-3	0
wedekind_erwachen_1891-2382-6	0
brunn_griechen0201_1856-3155-3	0
alexis_ruhe01_1852-1859-5	1
ranke_paepste01_1834-3494-7	0
fessler_eleusinien01_1802-2117-48	0
kuernberger_amerikamuede_1855-4406-11	0
buechner_werke_1879-9141-4	0
