identifier	cluster
vischer_aesthetik0202_1848-1497-43	0
vischer_aesthetik0201_1847-1537-38	0
vischer_aesthetik01_1846-5229-71	0
pfeiffer_frauenfahrt02_1850-875-4	0
vischer_aesthetik0202_1848-974-18	0
rein_japan01_1881-453-30	0
vischer_aesthetik01_1846-9-27	0
vischer_aesthetik0201_1847-169-5	0
carus_zoologie_1872-460-6	0
brehm_thierleben02_1865-12258-50	0
vischer_aesthetik0201_1847-162-20	0
humboldt_kosmos02_1847-633-5	0
vischer_aesthetik0201_1847-776-32	0
vischer_aesthetik01_1846-1971-10	0
pfeiffer_frauenfahrt02_1850-1365-26	0
michelis_reiseschule_1869-2463-10	0
vischer_aesthetik0202_1848-262-13	0
schreber_kallipaedie_1858-2842-16	0
pocci_komoedienbuechlein04_1871-150-5	0
humboldt_aequinoktial03_1859-1337-12	0
vischer_aesthetik0201_1847-155-3	0
vischer_aesthetik0201_1847-155-93	0
vischer_aesthetik0202_1848-643-22	0
jung_lebensgeschichte_1835-7798-32	0
humboldt_aequinoktial01_1859-3812-1	0
vischer_aesthetik0201_1847-305-18	0
purtscheller_alpinismus_1894-3-1	0
berlepsch_alpen_1861-2397-26	0
berlepsch_alpen_1861-1530-8	0
schlegel_indier_1808-533-6	0
locke_mond_1836-346-23	0
vischer_aesthetik0202_1848-673-54	0
vischer_aesthetik01_1846-1585-19	0
vischer_aesthetik0301_1851-714-18	0
berg_ostasien02_1866-2228-9	0
vischer_aesthetik0202_1848-698-44	0
jahn_turnkunst_1816-4034-15	0
vischer_aesthetik01_1846-144-2	0
humboldt_aequinoktial02_1859-2692-2	0
francois_reckenburgerin01_1871-1499-13	0
otto_schloss02_1846-398-18	0
rosenkranz_aesthetik_1853-440-34	0
pfeiffer_frauenfahrt03_1850-1121-1	0
vischer_aesthetik0201_1847-1542-52	0
schreber_kallipaedie_1858-1664-28	0
pfeiffer_frauenfahrt03_1850-3774-14	0
rein_japan01_1881-1221-12	0
vischer_aesthetik0201_1847-168-1	0
werner_seeleben_1880-1652-13	0
vischer_aesthetik0201_1847-3186-16	0
nn_maehrisches41_1898-327-14	0
vischer_aesthetik0202_1848-638-21	0
vischer_aesthetik0201_1847-166-42	0
vischer_aesthetik0201_1847-147-2	0
lehnert_seehaefen02_1892-4827-47	0
dohm_frauenfrage_1876-1450-13	0
pueckler_briefe04_1831-439-11	0
pfeiffer_frauenfahrt02_1850-1934-32	0
humboldt_aequinoktial01_1859-875-3	0
vischer_aesthetik0201_1847-176-28	0
humboldt_kosmos02_1847-687-44	0
beyer_poetik01_1882-3568-5	0
vischer_aesthetik0201_1847-389-37	0
spielhagen_problematische03_1861-162-15	0
vischer_aesthetik0201_1847-391-43	0
lehnert_seehaefen01_1891-4743-8	0
lasswitz_seife_1890-2773-5	0
vischer_aesthetik01_1846-537-13	0
vischer_aesthetik0201_1847-738-57	0
rein_japan01_1881-7873-40	0
