identifier	cluster
baumstark_encyclopaedie_1835-17495-57	0
fontane_brandenburg02_1863-6330-3	0
baumstark_encyclopaedie_1835-17605-46	0
baumstark_encyclopaedie_1835-6855-31	0
baumstark_encyclopaedie_1835-12453-8	0
baumstark_encyclopaedie_1835-14687-12	0
baumstark_encyclopaedie_1835-14686-19	0
baumstark_encyclopaedie_1835-17318-31	0
baumstark_encyclopaedie_1835-14609-8	0
keller_seldwyla_1856-1019-13	0
thuenen_staat_1826-1770-19	0
fontane_brandenburg04_1882-3740-3	0
nn_nrhz257_1849-218-9	0
baumstark_encyclopaedie_1835-18078-5	0
baumstark_encyclopaedie_1835-14683-5	0
lehnert_seehaefen02_1892-371-14	0
baumstark_encyclopaedie_1835-12463-4	0
mommsen_roemische01_1854-268-2	0
baumstark_encyclopaedie_1835-14603-40	0
nn_nrhz200b_1849-8-13	0
nn_nrhz200b_1849-13-6	0
buecher_volkswirtschaft_1893-327-5	0
schmoller_kleingewerbe_1870-5921-53	0
baumstark_encyclopaedie_1835-17316-41	0
baumstark_encyclopaedie_1835-17288-12	0
nn_nrhz105_1848-385-19	0
baumstark_encyclopaedie_1835-6876-13	0
stein_verwaltungslehre07_1868-2190-10	0
thuenen_staat_1826-1771-3	0
baumstark_encyclopaedie_1835-14688-26	0
baumstark_encyclopaedie_1835-12545-42	0
baumstark_encyclopaedie_1835-14682-19	0
brunner_rechtsgeschichte01_1887-4197-37	0
baumstark_encyclopaedie_1835-14644-30	0
beck_eisen01_1884-16044-15	0
baumstark_encyclopaedie_1835-14609-68	0
beck_eisen03_1897-15269-21	0
baumstark_encyclopaedie_1835-17312-55	0
baumstark_encyclopaedie_1835-17912-29	0
26120215_1954_07_18_01_133.tcf.xml-7-22	0
2532889X_1946-09-15_01_053.tcf.xml-11-28	0
26120215_1946_05_30_01_201.tcf.xml-10-41	0
2532889X_1964-01-08_01_095.tcf.xml-22-9	0
2532889X_1981-06-13_01_198.tcf.xml-11-6	0
2532889X_1955-10-15_01_077.tcf.xml-12-10	0
2532889X_1960-04-15_01_043.tcf.xml-65-11	0
2532889X_1958-10-03_01_255.tcf.xml-37-15	0
2532889X_1950-12-18_01_108.tcf.xml-2-33	0
2532889X_1948-09-24_01_052.tcf.xml-6-9	0
2532889X_1967-11-08_01_106.tcf.xml-6-6	0
2532889X_1971-12-12_01_305.tcf.xml-44-14	0
