identifier	cluster
stein_verwaltungslehre05_1868-2255-10	0
nn_nrhz202_1849-175-12	0
heckert_schulgesetzgebung_1847-1505-15	0
heckert_schulgesetzgebung_1847-1595-22	0
ranke_reformation02_1839-5126-38	0
heckert_schulgesetzgebung_1847-4982-103	0
heckert_schulgesetzgebung_1847-1477-75	0
heckert_schulgesetzgebung_1847-1489-32	0
heckert_schulgesetzgebung_1847-3371-18	0
lange_maedchenschule_1887-544-31	0
heckert_schulgesetzgebung_1847-1487-100	0
heckert_schulgesetzgebung_1847-5007-4	0
ranke_paepste02_1836-5297-18	0
ranke_paepste01_1834-2054-24	0
heckert_schulgesetzgebung_1847-1436-31	0
strauss_jesus02_1836-14-50	0
nn_nrhz202_1849-175-0	0
stein_verwaltungslehre05_1868-3430-9	0
lange_maedchenschule_1887-370-77	0
heckert_schulgesetzgebung_1847-1417-10	0
heckert_schulgesetzgebung_1847-3883-33	0
buechner_werke_1879-503-41	0
nn_maehrisches119_1895-174-3	0
heckert_schulgesetzgebung_1847-4972-32	0
heckert_schulgesetzgebung_1847-8359-12	0
treitschke_geschichte05_1894-3750-33	0
heckert_schulgesetzgebung_1847-1500-19	0
heckert_schulgesetzgebung_1847-1499-38	0
lehnert_seehaefen02_1892-4170-8	0
schmoller_volkswirtschaftslehre_1893-392-8	0
heckert_schulgesetzgebung_1847-419-19	0
heckert_schulgesetzgebung_1847-4950-39	0
nn_charaktere02_1848-65-5	0
heckert_schulgesetzgebung_1847-1414-25	0
wackernagel_poetik_1873-6032-0	-1
heckert_schulgesetzgebung_1847-4957-17	0
otto_bauernsohn_1849-817-7	0
steub_tirol_1846-7463-39	0
treitschke_geschichte04_1889-535-29	0
heckert_schulgesetzgebung_1847-1419-17	0
lange_maedchenschule_1887-423-1	0
gutzkow_narren_1832-934-24	0
heckert_schulgesetzgebung_1847-1501-44	0
treitschke_geschichte02_1882-4650-20	0
heckert_schulgesetzgebung_1847-1522-66	0
heckert_schulgesetzgebung_1847-4978-34	0
burckhardt_cicerone_1855-5072-4	0
temme_volkssagen_1840-888-24	0
lehnert_seehaefen02_1892-6033-27	0
duehring_berufsbildung_1885-255-23	0
berg_ostasien01_1864-1028-23	0
lehnert_seehaefen02_1892-3892-16	0
ranke_reformation03_1840-5199-2	0
nn_turnkunst02_1844-977-16	0
heckert_schulgesetzgebung_1847-3979-9	0
nn_turnkunst01_1843-794-1	0
schauberg_freimaurerei03_1863-54-37	0
heckert_schulgesetzgebung_1847-1493-46	0
treitschke_geschichte04_1889-10829-24	0
heeren_staatensystem_1809-623-4	-1
treitschke_geschichte02_1882-3832-22	0
ranke_paepste01_1834-4952-4	0
munzinger_japaner_1898-883-24	0
heckert_schulgesetzgebung_1847-1444-90	0
heckert_schulgesetzgebung_1847-1478-8	0
nn_maehrisches122_1895-49-17	0
raabe_sperlingsgasse_1857-1054-21	0
heckert_schulgesetzgebung_1847-6811-6	0
bierbaum_stilpe_1897-3546-1	0
burckhardt_cicerone_1855-6135-33	0
treitschke_geschichte04_1889-7232-15	0
gutzkow_charaktere_1835-1233-31	0
heckert_schulgesetzgebung_1847-5003-49	0
treitschke_geschichte05_1894-3760-12	0
hoffmann_elixiere01_1815-159-33	0
heckert_schulgesetzgebung_1847-1471-34	0
heckert_schulgesetzgebung_1847-5730-35	0
spielhagen_problematische01_1861-2109-16	0
heckert_schulgesetzgebung_1847-1444-33	0
hoffmann_elixiere02_1816-252-28	0
heckert_schulgesetzgebung_1847-7650-10	0
huber_revival_1862-548-24	0
heckert_schulgesetzgebung_1847-1439-29	0
lewald_frauen_1870-648-15	0
berg_ostasien04_1873-4083-27	0
heckert_schulgesetzgebung_1847-1523-50	0
heckert_schulgesetzgebung_1847-7644-10	0
heckert_schulgesetzgebung_1847-1594-25	0
