identifier	cluster
nn_nrhz139_1848-531-8	0
nn_nrhz231b2_1849-269-7	-1
nn_nrhz135i_1848-596-38	0
freud_hysterie_1895-3916-28	1
nn_nrhz294_1849-255-13	0
berg_ostasien02_1866-1507-9	0
nn_maehrisches204_1888-475-14	0
varnhagen_rahel03_1834-1540-5	1
nn_nrhz287_1849-116-27	1
jung_lebensgeschichte_1835-6446-59	0
pflueger_rueckenmark_1853-449-19	-1
fessler_eleusinien01_1802-1591-39	0
fessler_eleusinien01_1802-1420-3	0
freud_hysterie_1895-3241-8	0
varnhagen_rahel03_1834-9444-25	1
andreas_fenitschka_1898-1244-55	1
nn_nrhz234_1849-477-24	-1
fontane_brandenburg01_1862-3207-6	0
menzel_literatur02_1828-904-17	0
varnhagen_rahel01_1834-1632-7	0
bauer_buehnenleben_1871-3055-6	0
freud_hysterie_1895-2477-8	2
heeren_staatensystem_1809-2664-13	0
griesinger_psychische_1845-1198-14	1
nn_nrhz126_1848-450-12	0
herbart_psychologie02_1825-5430-61	3
griesinger_psychische_1845-1190-55	1
nn_nrhz189b_1849-83-36	0
nn_nrhz253_1849-552-12	0
freud_hysterie_1895-1579-17	0
fessler_eleusinien01_1802-1334-9	0
andreas_fenitschka_1898-1403-46	0
nn_nrhz106_1848-470-6	4
ranke_paepste02_1836-3721-38	0
griesinger_psychische_1845-1235-4	1
carus_gynaekologie01_1820-591-107	1
scherer_poetik_1888-2121-12	0
jung_lebensgeschichte_1835-5396-24	0
andreas_fenitschka_1898-402-12	0
nn_nrhz158_1848-413-25	-1
baumgart_poetik_1887-4860-98	0
varnhagen_rahel01_1834-5727-5	0
varnhagen_rahel01_1834-5296-10	1
goethe_leben02_1812-901-26	0
jung_lebensgeschichte_1835-6643-3	0
nn_nrhz182_1848-259-6	0
hc_183101_1801-180-22	0
nn_nrhz216_1849-532-14	-1
wernicke_symptomencomplex_1874-1065-4	1
nn_nrhz142ii_1848-384-25	0
weerth_schnapphahnski_1849-1915-11	0
griesinger_psychische_1845-402-15	1
griesinger_psychische_1845-2370-49	1
roux_kampf_1881-408-13	1
jung_lebensgeschichte_1835-7504-77	0
nn_nrhz092_1848-192-2	0
nn_nrhz162_1848-112-29	0
laukhard_leben05_1802-411-18	1
freud_hysterie_1895-2472-5	1
beyer_poetik02_1883-11562-27	0
nn_nrhz060b_1848-154-17	0
immermann_muenchhausen03_1839-2752-15	0
spielhagen_problematische02_1861-1394-7	0
griesinger_psychische_1845-1977-19	1
nn_nrhz201_1849-95-11	0
paul_flegeljahre03_1804-1066-31	0
beck_eisen01_1884-10056-7	0
andreas_fenitschka_1898-402-25	0
nn_nrhz171ii_1848-124-6	0
nn_nrhz264_1849-412-16	0
nn_maehrisches71_1886-464-0	0
spielhagen_problematische02_1861-178-23	0
