identifier	cluster
heffter_voelkerrecht_1844-5806-17	2
nn_nrhz231b_1849-54-4	2
klueber_voelkerrecht01_1821-1410-29	2
nn_maehrisches40_1889-79-2	0
steub_tirol_1846-6476-16	0
klueber_voelkerrecht02_1821-2701-11	0
brunner_rechtsgeschichte02_1892-2711-39	2
ranke_paepste03_1836-5546-36	0
jung_lebensgeschichte_1835-5301-52	0
peschel_voelkerkunde_1874-10-8	0
nn_nrhz112_1848-477-40	0
boerne_paris04_1833-154-14	0
hundtradowsky_judenschule03_1823-927-37	1
goethe_divan_1819-1436-40	0
berg_ostasien01_1864-684-6	0
beck_eisen04_1899-6577-20	0
avelallemant_gaunerthum01_1858-2793-20	0
marx_kapital0302_1894-5648-5	0
laband_staatsrecht01_1876-2944-31	1
marx_kapital0302_1894-166-3	0
treitschke_geschichte04_1889-11230-24	0
egger_vater_1895-1217-31	2
klueber_recht_1817-1868-1	2
bierbaum_stilpe_1897-4595-23	0
wackernagel_poetik_1873-1539-26	0
kuernberger_amerikamuede_1855-1854-14	2
parthey_jugenderinnerungen02_1871-195-2	-1
klueber_voelkerrecht01_1821-1796-21	0
marx_kapital0301_1894-52-7	0
baumstark_encyclopaedie_1835-1272-13	0
sachs_botanik_1875-4162-38	0
lehnert_seehaefen02_1892-4571-8	1
buechner_werke_1879-4191-22	0
nn_nrhz117_1848-663-18	0
mayer_verwaltungsrecht02_1896-3088-11	1
sachs_botanik_1875-4111-2	0
nn_nrhz009_1848-506-28	2
boerne_paris05_1834-133-11	0
hc_261402_1801-328-5	0
goerres_volksbuecher_1807-875-9	0
robert_griechische_1881-1366-6	0
robert_griechische_1881-1360-3	0
savigny_system03_1840-1404-11	0
justi_velazquez01_1888-5612-20	2
ranke_reformation05_1843-3182-14	1
savigny_system03_1840-4037-30	0
hoffmann_unpolitische02_1841-810-5	2
mommsen_roemische03_1856-5632-24	0
nn_nrhz133_1848-528-19	1
nn_maehrisches166_1893-82-11	2
ranke_paepste01_1834-4134-24	0
walcker_frauenbewegung_1896-208-11	0
ranke_reformation05_1843-3884-3	-1
ranke_reformation02_1839-2929-5	0
justi_velazquez02_1888-6393-21	0
nn_maehrisches300_1896-301-19	0
brunner_rechtsgeschichte01_1887-6957-37	0
brunner_rechtsgeschichte02_1892-3628-30	1
heckert_schulgesetzgebung_1847-936-20	0
munzinger_japaner_1898-4946-19	0
nn_nrhz189b_1849-222-76	0
grimm_maerchen01_1843-141-32	0
bluntschli_voelkerrecht_1868-2120-10	2
jhering_recht03_1865-2202-19	0
klueber_voelkerrecht01_1821-3214-3	0
haeckel_weltraethsel_1899-1371-15	0
blumenbach_naturgeschichte_1803-492-9	0
nn_nrhz092_1848-111-3	0
klostermann_eigenthum01_1867-5332-37	0
laband_staatsrecht01_1876-3007-23	2
paul_flegeljahre04_1805-936-30	0
keller_sinngedicht_1882-3096-11	1
kotzebue_kleinstaedter_1803-2568-10	0
mayer_verwaltungsrecht01_1895-6024-36	2
savigny_system03_1840-2580-17	0
nn_nrhz012013_1848-455-21	0
lange_schachspiel_1856-3455-32	0
klueber_recht_1817-1265-25	0
savigny_system01_1840-2586-21	0
klueber_voelkerrecht02_1821-2738-12	0
beseler_kommentar_1851-4248-6	0
heine_reisebilder03_1830-1694-9	2
nn_nrhz097_1848-503-24	0
ranke_reformation05_1843-3946-34	2
nn_nrhz246b_1849-197-8	1
siegmeyer_tonsetzkunst_1822-1748-24	0
laube_europa0102_1833-240-14	1
laband_staatsrecht01_1876-2998-11	0
klueber_recht_1817-1867-18	2
treitschke_geschichte05_1894-2281-17	2
mangoldt_unternehmergewinn_1855-183-31	0
gutzkow_boerne_1840-1648-3	0
nn_nrhz142ii_1848-69-29	2
ranke_reformation01_1839-585-20	1
pueckler_briefe02_1830-1803-14	0
rein_japan01_1881-4452-28	0
nn_nrhz083_1848-15-17	2
mayer_verwaltungsrecht01_1895-1072-29	0
carus_zoologie_1872-8165-26	0
hc_261402_1801-322-33	0
2532889X_1971-02-28_01_113.tcf.xml-6-34	0
2532889X_1978-06-08_01_043.tcf.xml-139-19	0
2532889X_1978-06-22_01_067.tcf.xml-3-31	1
26120215_1966_09_30_01_114.tcf.xml-5-8	1
2532889X_1973-04-08_01_278.tcf.xml-52-2	0
26120215_1946_06_22_01_052.tcf.xml-2-16	1
26120215_1967_06_13_01_027.tcf.xml-6-18	0
26120215_1971_09_28_01_168.tcf.xml-7-7	1
2532889X_1958-07-06_01_010.tcf.xml-3-23	0
26120215_1973_07_04_01_131.tcf.xml-15-29	0
26120215_1986_10_01_01_055.tcf.xml-19-10	0
26120215_1952_10_14_01_008.tcf.xml-12-25	0
26120215_1982_06_17_01_123.tcf.xml-29-3	0
2532889X_1967-10-05_01_197.tcf.xml-9-30	0
26120215_1955_04_02_01_260.tcf.xml-4-10	0
26120215_1957_04_05_01_104.tcf.xml-22-18	0
2532889X_1980-05-05_01_131.tcf.xml-1-9	1
2532889X_1950-04-20_01_079.tcf.xml-36-1	0
2532889X_1961-03-01_01_115.tcf.xml-19-3	1
26120215_1963_12_13_01_118.tcf.xml-28-15	0
26120215_1960_07_06_01_004.tcf.xml-27-24	0
26120215_1946_03_01_01_032.tcf.xml-5-7	2
26120215_1983_10_03_01_137.tcf.xml-10-15	1
26120215_1959_03_27_01_277.tcf.xml-2-11	1
2532889X_1980-04-17_01_073.tcf.xml-15-2	0
26120215_1988_06_25_01_114.tcf.xml-13-20	1
2532889X_1946-08-14_01_082.tcf.xml-41-19	0
2532889X_1980-08-18_01_126.tcf.xml-12-12	0
26120215_1977_02_14_01_072.tcf.xml-36-2	1
2532889X_1947-02-22_01_028.tcf.xml-13-6	2
26120215_1988_04_02_01_393.tcf.xml-1-14	0
26120215_1988_04_02_01_118.tcf.xml-19-2	0
26120215_1966_01_03_01_149.tcf.xml-22-13	0
26120215_1982_11_13_01_173.tcf.xml-17-22	1
2532889X_1976-04-17_01_216.tcf.xml-8-7	0
2532889X_1979-04-19_01_038.tcf.xml-28-26	0
26120215_1962_07_11_01_041.tcf.xml-59-9	0
2532889X_1983-12-08_01_060.tcf.xml-12-4	0
2532889X_1969-06-07_01_099.tcf.xml-9-12	-1
2532889X_1963-04-14_01_049.tcf.xml-276-17	0
26120215_1954_04_09_01_224.tcf.xml-0-17	0
26120215_1957_11_30_01_037.tcf.xml-1-10	1
2532889X_1965-06-18_01_187.tcf.xml-46-46	0
26120215_1986_09_12_01_101.tcf.xml-2-2	0
26120215_1961_03_13_01_006.tcf.xml-17-3	0
2532889X_1984-08-27_01_231.tcf.xml-1-11	0
2532889X_1955-03-26_01_140.tcf.xml-14-12	0
2532889X_1967-09-04_01_162.tcf.xml-4-18	1
26120215_1966_07_27_01_394.tcf.xml-9-7	-1
26120215_1978_07_21_01_133.tcf.xml-6-16	1
26120215_1984_02_03_01_193.tcf.xml-5-4	0
2532889X_1990-08-27_01_097.tcf.xml-12-16	0
2532889X_1955-02-22_01_076.tcf.xml-5-10	0
2532889X_1962-09-23_01_096.tcf.xml-8-7	0
2532889X_1970-10-03_01_024.tcf.xml-5-12	1
2532889X_1978-10-30_01_109.tcf.xml-43-6	1
2532889X_1984-07-16_01_219.tcf.xml-2-8	0
26120215_1982_08_09_01_062.tcf.xml-8-32	1
26120215_1952_09_16_01_187.tcf.xml-3-9	0
26120215_1972_01_25_01_112.tcf.xml-31-12	0
2532889X_1962-02-02_01_083.tcf.xml-25-1	1
2532889X_1951-02-25_01_119.tcf.xml-50-41	0
26120215_1953_02_10_01_020.tcf.xml-50-18	1
26120215_1986_08_08_01_012.tcf.xml-26-9	0
26120215_1990_06_14_01_174.tcf.xml-2-10	0
26120215_1978_11_06_01_098.tcf.xml-4-2	0
26120215_1962_02_26_01_084.tcf.xml-5-40	1
2532889X_1974-10-25_01_159.tcf.xml-2-47	0
26120215_1961_06_01_01_180.tcf.xml-28-10	0
26120215_1968_11_10_01_157.tcf.xml-1-10	0
26120215_1973_09_02_01_116.tcf.xml-26-19	1
2532889X_1966-10-15_01_270.tcf.xml-13-5	0
2532889X_1971-02-27_01_204.tcf.xml-42-8	0
26120215_1964_09_04_01_092.tcf.xml-13-10	0
2532889X_1983-05-16_01_206.tcf.xml-2-11	1
2532889X_1980-08-28_01_138.tcf.xml-4-14	1
2532889X_1966-06-18_01_104.tcf.xml-2-5	1
26120215_1988_03_07_01_139.tcf.xml-2-2	0
2532889X_1970-04-15_01_146.tcf.xml-2-19	0
2532889X_1985-04-03_01_073.tcf.xml-3-6	0
26120215_1990_10_13_01_248.tcf.xml-21-18	0
2532889X_1972-02-05_01_223.tcf.xml-5-51	0
2532889X_1959-05-27_01_052.tcf.xml-11-24	0
2532889X_1978-12-11_01_153.tcf.xml-12-8	0
2532889X_1979-04-07_01_283.tcf.xml-2-8	0
2532889X_1967-11-26_01_004.tcf.xml-9-30	0
26120215_1990_07_21_01_183.tcf.xml-3-9	1
26120215_1969_03_25_01_101.tcf.xml-12-9	0
26120215_1984_09_24_01_123.tcf.xml-3-4	0
2532889X_1987-07-06_01_107.tcf.xml-6-10	0
26120215_1961_01_11_01_053.tcf.xml-9-8	-1
2532889X_1959-02-17_01_091.tcf.xml-17-9	0
26120215_1975_01_25_01_040.tcf.xml-16-8	0
26120215_1970_08_12_01_316.tcf.xml-1-9	0
26120215_1958_07_30_01_314.tcf.xml-6-11	0
26120215_1955_02_04_01_013.tcf.xml-8-6	1
26120215_1964_04_22_01_110.tcf.xml-15-9	0
26120215_1955_05_21_02_133.tcf.xml-13-5	2
2532889X_1973-09-18_01_077.tcf.xml-5-14	0
2532889X_1966-05-09_01_147.tcf.xml-3-5	0
