identifier	cluster
krane_reitpferd_1856-364-10	2
treitschke_geschichte03_1885-6908-16	0
wanderley_bauconstructionslehre01_1877-2804-9	0
wanderley_bauconstructionslehre02_1878-3289-33	0
samter_erfindungen_1896-11668-8	0
treitschke_geschichte03_1885-6911-18	0
wanderley_bauconstructionslehre01_1877-1085-27	0
wanderley_bauconstructionslehre01_1877-1250-7	0
freud_hysterie_1895-2393-21	1
lehnert_seehaefen01_1891-10630-1	0
moltke_zustaende_1841-2502-24	0
wanderley_bauconstructionslehre01_1877-1060-8	0
lehnert_seehaefen01_1891-4855-36	0
krafft_landwirthschaft03_1876-4769-34	0
chamberlain_grundlagen02_1899-2348-52	4
boeheim_waffenkunde_1890-5712-19	0
laband_staatsrecht02_1878-6131-7	0
wanderley_bauconstructionslehre02_1878-883-6	0
wundt_medizinische_1867-8690-3	0
samter_erfindungen_1896-11664-8	0
ludwig_physiologie01_1852-5562-10	0
wanderley_bauconstructionslehre02_1878-3050-28	0
ledebur_eisenhuettenkunde_1884-12687-5	0
wanderley_bauconstructionslehre02_1878-2421-5	0
beck_eisen04_1899-2419-13	0
mayer_verwaltungsrecht01_1895-6646-40	-1
wanderley_bauconstructionslehre02_1878-2493-34	0
beck_eisen02_1895-14244-45	0
beck_eisen04_1899-10466-9	0
urbanitzky_electricitaet_1885-13437-12	0
lehnert_seehaefen01_1891-9241-31	0
laband_staatsrecht02_1878-6293-68	0
nn_maehrisches17_1889-526-23	0
mayer_duengerkapital_1869-69-13	0
wanderley_bauconstructionslehre02_1878-3098-23	0
wanderley_bauconstructionslehre01_1877-284-5	0
beck_eisen04_1899-10432-44	0
lehnert_seehaefen01_1891-11012-13	0
hobrecht_verkehrsverhaeltnisse_1893-334-33	0
nn_maehrisches271_1898-129-40	0
mohr_eisenkonstruktionen_1868-380-13	0
samter_erfindungen_1896-1625-21	0
lehnert_seehaefen01_1891-7865-25	0
lehnert_seehaefen02_1892-9271-31	0
beck_eisen01_1884-3111-35	0
krane_reitpferd_1856-552-2	0
siemens_abhandlungen_1881-5326-48	0
krane_reitpferd_1856-551-10	-1
wanderley_bauconstructionslehre01_1877-1153-10	0
lehnert_seehaefen01_1891-10216-21	0
krane_reitpferd_1856-1387-5	0
krane_reitpferd_1856-344-1	0
ludwig_physiologie01_1852-5553-21	0
wanderley_bauconstructionslehre02_1878-2856-2	0
krane_reitpferd_1856-350-42	0
lehnert_seehaefen02_1892-7249-17	0
lehnert_seehaefen02_1892-9535-15	0
lehnert_seehaefen01_1891-8926-5	0
rapsilber_reichstagsgebaeude_1895-425-15	0
wanderley_bauconstructionslehre01_1877-1091-30	0
rapsilber_reichstagsgebaeude_1895-531-14	3
menzel_maurer_1847-386-11	0
ludwig_physiologie01_1852-5561-48	0
gercke_torpedowaffe_1898-75-12	0
purtscheller_alpinismus_1894-767-21	0
wanderley_bauconstructionslehre02_1878-2174-24	0
krane_reitpferd_1856-349-10	0
brunn_griechen01_1853-6309-53	0
lehnert_seehaefen02_1892-1424-11	0
lehnert_seehaefen01_1891-7864-16	0
lehnert_seehaefen01_1891-10380-49	0
erbkam_tagebuch03_1844-1829-43	0
wanderley_bauconstructionslehre01_1877-296-2	0
wanderley_bauconstructionslehre01_1877-296-16	0
treitschke_geschichte05_1894-6572-42	0
vischer_aesthetik030201_1852-468-55	0
ludwig_physiologie01_1852-5552-9	0
wanderley_bauconstructionslehre02_1878-2875-5	0
wanderley_bauconstructionslehre01_1877-286-4	0
fontane_brandenburg02_1863-3043-17	0
