identifier	cluster
laband_staatsrecht0301_1880-4912-19	0
alexis_ruhe05_1852-3036-7	0
laband_staatsrecht0301_1880-917-70	0
laband_staatsrecht0301_1880-1666-18	0
laband_staatsrecht0301_1880-3566-9	0
laband_staatsrecht0301_1880-3627-4	0
nn_nrhz081_1848-387-13	0
nn_nrhz245_1849-468-11	0
nn_nrhz112_1848-312-18	0
laband_staatsrecht0301_1880-3617-73	0
laband_staatsrecht0301_1880-3217-27	0
laband_staatsrecht0301_1880-3644-30	0
laband_staatsrecht0301_1880-3868-75	0
laband_staatsrecht0301_1880-1772-15	0
laband_staatsrecht0301_1880-4862-10	0
nn_nrhz294_1849-109-14	0
laband_staatsrecht0301_1880-3846-44	0
grabbe_napoleon_1831-4088-20	0
bluntschli_voelkerrecht_1868-5438-8	0
beyer_poetik02_1883-8899-29	0
laband_staatsrecht0301_1880-3846-69	0
laband_staatsrecht0301_1880-3827-34	0
laband_staatsrecht0301_1880-3569-17	0
nn_nrhz289_1849-261-21	0
laband_staatsrecht0301_1880-1391-30	0
laband_staatsrecht0301_1880-3061-24	0
nn_nrhz096_1848-230-15	0
laband_staatsrecht0301_1880-828-16	0
nn_nrhz248b_1849-59-4	0
treitschke_geschichte02_1882-3207-61	0
laband_staatsrecht0301_1880-5054-26	0
laband_staatsrecht0301_1880-5321-34	0
nn_nrhz183_1848-182-18	0
laband_staatsrecht0301_1880-931-21	0
laband_staatsrecht0301_1880-5443-29	0
berg_ostasien04_1873-301-32	0
laband_staatsrecht0301_1880-2378-13	0
unknown_civilprozessordnung_1877-326-8	0
nn_nrhz243ii_1849-635-22	0
laband_staatsrecht0301_1880-3100-26	0
laband_staatsrecht0301_1880-3898-19	0
nn_nrhz274_1849-165-10	0
laband_staatsrecht0301_1880-3617-57	0
nn_nrhz081_1848-406-15	0
laband_staatsrecht0301_1880-909-26	0
laband_staatsrecht0301_1880-3099-62	0
bismarck_erinnerungen01_1898-2355-33	0
laband_staatsrecht0301_1880-3204-32	0
nn_nrhz169_1848-298-7	0
laband_staatsrecht0301_1880-2596-4	0
treitschke_geschichte01_1879-6889-26	0
laband_staatsrecht0301_1880-2466-8	0
laband_staatsrecht0301_1880-3068-2	0
unknown_civilprozessordnung_1877-894-14	0
heckert_schulgesetzgebung_1847-6370-5	0
laband_staatsrecht0301_1880-3138-37	0
fontane_brandenburg04_1882-6405-5	0
laband_staatsrecht0301_1880-2580-42	0
nn_nrhz158_1848-111-10	0
laband_staatsrecht0301_1880-1189-34	0
nn_nrhz189i_1849-210-4	0
laband_staatsrecht0301_1880-681-43	0
heckert_schulgesetzgebung_1847-6384-33	0
nn_nrhz130_1848-199-46	0
mayer_verwaltungsrecht02_1896-4215-31	0
laband_staatsrecht0301_1880-4798-4	0
bismarck_erinnerungen02_1898-846-5	0
heckert_schulgesetzgebung_1847-6375-29	0
laband_staatsrecht0301_1880-1653-25	0
laband_staatsrecht0301_1880-4063-36	0
laband_staatsrecht0301_1880-2092-12	0
francois_reckenburgerin02_1871-162-2	0
nn_nrhz301_1849-238-8	0
nn_nrhz188_1849-287-15	0
laband_staatsrecht0301_1880-1189-2	0
berg_ostasien03_1873-5215-12	0
laband_staatsrecht0301_1880-1612-2	0
nn_nrhz073_1848-16-7	0
laband_staatsrecht0301_1880-3066-16	0
nn_nrhz163_1848-208-32	0
unknown_civilprozessordnung_1877-2864-10	0
brunner_rechtsgeschichte02_1892-12720-22	0
laband_staatsrecht0301_1880-3569-58	0
nn_nrhz074b_1848-90-21	0
unknown_civilprozessordnung_1877-326-29	0
