identifier	cluster
treitschke_geschichte01_1879-1962-3	0
mommsen_roemische01_1854-3335-84	0
treitschke_geschichte05_1894-2491-20	0
ranke_paepste02_1836-6060-26	0
laube_europa0201_1837-415-7	0
clausewitz_krieg03_1834-1574-12	0
gutzkow_boerne_1840-1278-1	0
clausewitz_krieg03_1834-2228-26	0
bismarck_erinnerungen01_1898-2841-9	0
brunn_griechen0201_1856-3520-10	0
alexis_ruhe04_1852-469-3	0
goethe_leben02_1812-2326-36	0
klueber_recht_1817-680-82	0
gutzkow_boerne_1840-1281-0	0
wirth_nationalfest01_1832-441-51	0
nn_nrhz263_1849-216-8	0
bismarck_erinnerungen01_1898-2958-12	0
curtius_alterthum01_1875-895-12	0
goerres_wunderhorn_1809-205-25	0
brehm_thierleben01_1864-17012-35	0
pueckler_briefe04_1831-3501-6	0
nettelbeck_lebensbeschreibung02_1821-1022-10	0
saar_novellen_1877-2664-2	0
griesinger_psychische_1845-812-8	0
dronke_polizeigeschichten_1846-193-4	0
eckermann_goethe03_1848-2135-19	0
bismarck_erinnerungen01_1898-774-25	0
lewald_jenny01_1843-748-6	0
saar_novellen_1877-1953-3	0
wirth_nationalfest01_1832-753-65	0
bismarck_erinnerungen02_1898-1145-23	0
conradi_adam_1889-6258-15	0
gutzkow_boerne_1840-1153-10	0
freud_hysterie_1895-2271-16	0
nn_nrhz154_1848-310-7	0
griesinger_psychische_1845-2171-27	0
alexis_ruhe04_1852-770-26	0
ranke_paepste03_1836-6115-8	0
gottschalck_sagen_1814-400-5	0
griesinger_psychische_1845-1601-40	0
beyer_poetik02_1883-10739-7	0
gutzkow_boerne_1840-847-1	0
clausewitz_krieg03_1834-773-69	0
nn_nrhz209b_1849-17-6	0
lorinser_branntweinpest_1845-524-64	0
gutzkow_serapionsbrueder03_1877-400-22	0
curtius_alterthum01_1875-2913-12	0
clausewitz_krieg03_1834-1913-14	0
nn_nrhz297i_1849-427-4	0
bismarck_erinnerungen01_1898-2723-27	0
gutzkow_charaktere_1835-853-6	0
keller_heinrich03_1854-1053-10	0
keller_sinngedicht_1882-2383-15	0
keller_heinrich02_1854-430-15	0
lewald_jenny02_1843-599-21	0
mommsen_roemische02_1855-1934-9	0
wirth_nationalfest01_1832-768-12	0
gutzkow_zeitgenossen01_1842-348-30	0
brunn_griechen02_1859-3651-43	0
keller_legenden_1872-382-13	0
clausewitz_krieg03_1834-3398-51	0
nn_nrhz181_1848-140-36	0
alexis_ruhe03_1852-1069-33	0
beyer_poetik02_1883-10219-33	0
clausewitz_krieg03_1834-1126-35	0
clausewitz_krieg03_1834-2232-34	0
treitschke_geschichte05_1894-9321-2	0
nn_nrhz084_1848-443-21	0
keller_heinrich02_1854-1761-78	0
nn_nrhz159ii_1848-19-35	0
nn_nrhz187_1849-117-9	0
francois_reckenburgerin02_1871-1658-21	0
nn_nrhz066b_1848-240-24	0
nn_nrhz255ii_1849-262-8	0
gutzkow_serapionsbrueder01_1877-829-9	0
mommsen_roemische03_1856-1702-25	0
26120215_1988_12_29_01_075.tcf.xml-24-21	0
2532889X_1976-06-02_01_059.tcf.xml-39-2	0
26120215_1981_03_11_01_094.tcf.xml-29-5	0
2532889X_1974-01-27_01_073.tcf.xml-20-8	0
26120215_1965_12_17_01_084.tcf.xml-5-11	0
2532889X_1990-08-23_01_058.tcf.xml-1-17	0
26120215_1947_05_01_01_255.tcf.xml-62-2	0
2532889X_1962-04-26_01_166.tcf.xml-15-9	0
2532889X_1953-01-16_01_018.tcf.xml-3-9	0
26120215_1951_02_11_01_006.tcf.xml-27-78	0
26120215_1963_11_17_01_461.tcf.xml-27-0	0
26120215_1963_03_05_01_199.tcf.xml-3-12	0
26120215_1971_08_29_01_078.tcf.xml-27-12	0
2532889X_1980-03-25_01_058.tcf.xml-16-14	0
26120215_1946_01_05_01_005.tcf.xml-39-12	0
2532889X_1965-09-02_01_144.tcf.xml-41-18	0
26120215_1963_05_11_01_093.tcf.xml-6-6	0
2532889X_1979-03-30_01_197.tcf.xml-11-20	0
2532889X_1963-08-01_01_035.tcf.xml-290-24	0
26120215_1981_09_23_01_081.tcf.xml-18-5	0
2532889X_1984-07-07_01_134.tcf.xml-131-4	0
2532889X_1960-08-03_01_047.tcf.xml-4-13	0
2532889X_1981-08-29_01_434.tcf.xml-5-11	0
2532889X_1966-03-10_01_065.tcf.xml-7-6	0
26120215_1964_09_07_01_047.tcf.xml-5-27	0
26120215_1984_01_21_01_034.tcf.xml-8-1	0
26120215_1987_06_01_01_077.tcf.xml-7-16	0
2532889X_1988-02-17_01_050.tcf.xml-48-22	0
26120215_1958_12_18_01_006.tcf.xml-30-20	0
2532889X_1989-04-14_01_061.tcf.xml-39-12	0
2532889X_1989-08-22_01_060.tcf.xml-18-32	0
26120215_1953_05_06_01_160.tcf.xml-3-7	0
26120215_1953_03_29_01_222.tcf.xml-9-4	0
2532889X_1978-04-08_01_325.tcf.xml-13-8	0
26120215_1953_09_08_01_045.tcf.xml-19-0	0
26120215_1961_10_25_01_086.tcf.xml-26-0	0
26120215_1990_03_14_01_042.tcf.xml-41-1	0
2532889X_1977-12-31_01_043.tcf.xml-8-23	0
2532889X_1951-03-02_01_048.tcf.xml-40-5	0
26120215_1973_12_08_01_055.tcf.xml-15-36	0
2532889X_1953-11-27_01_147.tcf.xml-7-8	0
2532889X_1989-05-31_01_050.tcf.xml-344-34	0
2532889X_1968-12-14_01_252.tcf.xml-32-24	0
26120215_1983_06_16_01_056.tcf.xml-11-20	0
26120215_1977_01_10_01_141.tcf.xml-12-20	0
2532889X_1956-05-01_01_025.tcf.xml-192-8	0
2532889X_1961-02-25_01_054.tcf.xml-5-1	0
26120215_1976_06_14_01_111.tcf.xml-21-1	0
2532889X_1988-12-31_01_244.tcf.xml-8-11	0
26120215_1982_07_03_01_080.tcf.xml-15-17	0
26120215_1973_09_23_01_058.tcf.xml-16-8	0
2532889X_1965-09-10_01_148.tcf.xml-9-26	0
2532889X_1961-04-10_01_051.tcf.xml-5-19	0
2532889X_1989-11-11_01_069.tcf.xml-9-3	0
2532889X_1968-08-31_01_122.tcf.xml-8-4	0
2532889X_1986-11-24_01_158.tcf.xml-31-13	0
26120215_1965_02_20_01_108.tcf.xml-66-20	0
2532889X_1979-06-13_01_045.tcf.xml-14-29	0
2532889X_1988-08-23_01_082.tcf.xml-63-3	0
26120215_1984_04_02_01_178.tcf.xml-15-16	0
26120215_1987_08_27_01_094.tcf.xml-24-17	0
2532889X_1990-09-15_01_044.tcf.xml-8-1	0
2532889X_1987-12-30_01_154.tcf.xml-14-26	0
2532889X_1950-03-14_01_099.tcf.xml-3-20	0
26120215_1969_12_15_01_152.tcf.xml-8-26	0
26120215_1958_02_06_01_216.tcf.xml-17-1	0
26120215_1968_12_13_01_073.tcf.xml-28-48	0
26120215_1949_05_04_01_039.tcf.xml-21-25	0
2532889X_1982-12-11_01_269.tcf.xml-20-38	0
26120215_1961_12_22_01_010.tcf.xml-11-19	0
2532889X_1973-10-06_01_142.tcf.xml-82-2	0
2532889X_1954-07-14_01_044.tcf.xml-22-24	0
2532889X_1958-01-10_01_070.tcf.xml-43-17	0
26120215_1978_04_08_01_083.tcf.xml-36-10	0
2532889X_1962-01-20_01_093.tcf.xml-18-1	0
26120215_1950_10_03_01_039.tcf.xml-9-21	0
2532889X_1990-02-05_01_008.tcf.xml-12-6	0
2532889X_1964-08-20_01_159.tcf.xml-59-1	0
2532889X_1967-11-08_01_082.tcf.xml-13-1	0
2532889X_1969-01-25_01_108.tcf.xml-15-5	0
2532889X_1953-11-08_01_100.tcf.xml-16-6	0
2532889X_1959-12-21_01_055.tcf.xml-4-22	0
2532889X_1952-11-21_01_058.tcf.xml-8-11	0
2532889X_1968-09-14_01_107.tcf.xml-48-18	0
2532889X_1956-01-03_01_127.tcf.xml-63-5	0
2532889X_1981-07-20_01_201.tcf.xml-9-19	0
2532889X_1948-09-26_01_038.tcf.xml-56-9	0
2532889X_1980-10-29_01_138.tcf.xml-7-15	0
2532889X_1981-08-01_01_408.tcf.xml-6-7	0
2532889X_1971-02-10_01_068.tcf.xml-30-19	0
26120215_1954_08_27_01_181.tcf.xml-9-8	0
26120215_1950_11_30_01_009.tcf.xml-3-7	0
26120215_1965_03_21_01_297.tcf.xml-1-12	0
26120215_1974_03_28_01_276.tcf.xml-34-14	0
2532889X_1962-08-30_01_153.tcf.xml-3-21	0
2532889X_1988-07-06_01_068.tcf.xml-70-46	0
26120215_1970_08_05_01_328.tcf.xml-25-22	0
26120215_1987_06_19_01_082.tcf.xml-21-21	0
26120215_1965_03_29_01_101.tcf.xml-16-3	0
2532889X_1980-06-07_01_232.tcf.xml-16-17	0
