identifier	cluster
beck_eisen02_1895-19457-11	1
humboldt_bogota_1853-257-34	1
beck_eisen03_1897-17058-5	1
baumstark_encyclopaedie_1835-3477-40	1
baumstark_encyclopaedie_1835-3348-3	0
baumstark_encyclopaedie_1835-3421-18	2
ledebur_eisenhuettenkunde_1884-9090-10	1
beck_eisen02_1895-1004-17	1
gerstner_mechanik03_1834-8939-9	1
quenstedt_mineralogie_1854-14077-13	1
humboldt_aequinoktial04_1859-3573-22	1
brehm_thierleben05_1869-651-26	1
peschel_voelkerkunde_1874-3546-43	1
quenstedt_mineralogie_1854-14158-25	1
quenstedt_mineralogie_1854-14153-23	1
humboldt_aequinoktial02_1859-3475-27	1
beck_eisen01_1884-8131-33	1
humboldt_bogota_1853-228-17	1
beck_eisen02_1895-703-21	1
gerstner_mechanik03_1834-7860-24	2
baumstark_encyclopaedie_1835-3481-17	2
baumstark_encyclopaedie_1835-3469-13	1
beck_eisen02_1895-18933-5	1
beck_eisen03_1897-14128-14	1
nn_maehrisches166_1893-368-17	3
baumstark_encyclopaedie_1835-3530-19	1
lehnert_seehaefen01_1891-4737-54	1
beck_eisen02_1895-13263-28	1
beck_eisen03_1897-15223-9	1
beck_eisen03_1897-17045-9	0
quenstedt_mineralogie_1854-14140-32	2
peschel_voelkerkunde_1874-3546-36	1
beck_eisen03_1897-15224-3	1
beck_eisen02_1895-1384-18	1
baumstark_encyclopaedie_1835-3425-45	2
berg_ostasien04_1873-4058-13	2
baumstark_encyclopaedie_1835-3398-12	1
beck_eisen02_1895-20360-26	2
beck_eisen02_1895-19648-14	1
humboldt_aequinoktial03_1859-726-26	1
urbanitzky_electricitaet_1885-14714-7	2
gerstner_mechanik01_1831-5298-15	0
baumstark_encyclopaedie_1835-3477-6	1
baumstark_encyclopaedie_1835-3348-26	2
beck_eisen02_1895-1009-4	1
ledebur_eisenhuettenkunde_1884-8934-38	1
quenstedt_mineralogie_1854-11683-34	1
gerstner_mechanik03_1834-7858-11	2
baumstark_encyclopaedie_1835-12861-16	1
berg_ostasien04_1873-4792-15	2
baumstark_encyclopaedie_1835-3361-21	1
baumstark_encyclopaedie_1835-3425-29	2
beck_eisen02_1895-1381-74	2
beck_eisen02_1895-8983-27	1
baumstark_encyclopaedie_1835-3510-14	2
humboldt_gutachten_1838-60-41	1
beck_eisen02_1895-19646-33	1
quenstedt_mineralogie_1854-11664-6	2
humboldt_gutachten_1838-109-17	1
beck_eisen01_1884-5379-8	1
beck_eisen01_1884-1203-25	1
26120215_1971_08_01_01_017.tcf.xml-8-8	0
26120215_1946_05_09_01_023.tcf.xml-24-10	0
2532889X_1971-09-08_01_056.tcf.xml-14-40	0
26120215_1947_10_29_01_105.tcf.xml-3-18	2
26120215_1970_09_26_01_179.tcf.xml-10-20	2
2532889X_1971-02-27_01_123.tcf.xml-12-15	-1
26120215_1958_09_18_01_026.tcf.xml-9-9	-1
2532889X_1986-01-14_01_031.tcf.xml-60-15	0
26120215_1962_01_05_01_035.tcf.xml-141-16	0
2532889X_1988-10-01_01_582.tcf.xml-5-13	2
26120215_1988_11_23_01_007.tcf.xml-33-33	0
26120215_1990_08_21_01_363.tcf.xml-5-26	0
26120215_1985_03_06_01_091.tcf.xml-14-8	0
26120215_1979_07_18_01_037.tcf.xml-75-26	2
2532889X_1950-04-12_01_080.tcf.xml-8-22	4
2532889X_1964-01-31_01_179.tcf.xml-239-7	0
2532889X_1986-12-30_01_048.tcf.xml-58-32	0
2532889X_1968-01-24_01_048.tcf.xml-4-12	0
2532889X_1968-04-03_01_171.tcf.xml-21-18	0
2532889X_1988-04-05_01_089.tcf.xml-26-45	0
26120215_1979_01_18_01_004.tcf.xml-10-10	0
2532889X_1970-01-10_01_062.tcf.xml-1-46	0
26120215_1976_07_29_01_069.tcf.xml-14-37	0
2532889X_1960-06-09_01_020.tcf.xml-2-27	0
2532889X_1977-01-01_01_162.tcf.xml-63-12	3
26120215_1974_02_16_01_247.tcf.xml-4-30	2
26120215_1968_01_24_01_005.tcf.xml-140-27	0
2532889X_1978-06-09_01_083.tcf.xml-2-32	0
26120215_1983_08_17_01_096.tcf.xml-3-21	0
2532889X_1990-05-09_01_014.tcf.xml-6-18	0
2532889X_1962-12-13_01_083.tcf.xml-9-12	0
26120215_1977_04_06_01_044.tcf.xml-40-19	-1
2532889X_1989-04-04_01_114.tcf.xml-33-25	0
2532889X_1985-04-11_01_106.tcf.xml-8-18	0
26120215_1985_09_11_01_030.tcf.xml-63-27	0
26120215_1981_03_25_01_020.tcf.xml-9-1	0
26120215_1947_11_18_01_017.tcf.xml-3-16	0
2532889X_1966-08-06_01_046.tcf.xml-13-5	0
26120215_1970_07_23_01_183.tcf.xml-22-11	0
2532889X_1979-12-15_01_109.tcf.xml-18-28	0
26120215_1968_09_29_01_271.tcf.xml-44-16	0
2532889X_1976-11-18_01_091.tcf.xml-47-20	0
2532889X_1986-09-10_01_136.tcf.xml-7-5	0
2532889X_1953-05-21_01_026.tcf.xml-149-16	0
26120215_1984_11_18_01_041.tcf.xml-9-21	2
2532889X_1947-07-02_01_047.tcf.xml-15-13	1
2532889X_1985-04-03_01_036.tcf.xml-7-19	0
26120215_1956_09_28_01_084.tcf.xml-4-19	0
2532889X_1978-07-21_01_096.tcf.xml-14-30	0
26120215_1990_07_28_01_810.tcf.xml-15-12	0
2532889X_1988-03-25_01_045.tcf.xml-6-23	0
26120215_1986_12_31_01_041.tcf.xml-4-25	0
2532889X_1976-01-30_01_041.tcf.xml-46-26	0
26120215_1974_10_27_01_066.tcf.xml-27-20	0
2532889X_1985-03-12_01_066.tcf.xml-11-12	0
2532889X_1961-07-08_01_128.tcf.xml-1-14	1
2532889X_1989-12-21_01_041.tcf.xml-17-12	0
2532889X_1969-09-07_01_200.tcf.xml-37-16	0
2532889X_1959-10-10_01_117.tcf.xml-33-26	1
2532889X_1960-05-12_01_006.tcf.xml-19-50	0
2532889X_1966-07-10_01_074.tcf.xml-3-18	0
2532889X_1990-04-28_01_305.tcf.xml-4-29	0
2532889X_1987-03-18_01_013.tcf.xml-25-46	0
26120215_1978_06_09_01_160.tcf.xml-6-24	0
2532889X_1972-11-27_01_085.tcf.xml-12-5	0
2532889X_1990-04-26_01_220.tcf.xml-8-7	0
26120215_1982_01_30_01_155.tcf.xml-21-5	0
26120215_1960_05_12_01_117.tcf.xml-12-4	0
26120215_1984_08_02_01_043.tcf.xml-10-15	2
2532889X_1977-08-26_01_087.tcf.xml-25-45	0
26120215_1985_04_13_01_158.tcf.xml-32-12	0
2532889X_1989-05-27_01_118.tcf.xml-19-9	1
26120215_1949_09_07_01_020.tcf.xml-17-21	0
26120215_1967_06_02_01_258.tcf.xml-7-3	2
26120215_1986_05_30_01_021.tcf.xml-12-10	0
2532889X_1959-03-13_01_104.tcf.xml-29-34	0
2532889X_1982-05-27_01_152.tcf.xml-34-7	1
26120215_1955_07_30_01_004.tcf.xml-20-38	0
2532889X_1973-04-28_01_168.tcf.xml-22-53	1
2532889X_1975-02-24_01_093.tcf.xml-21-36	0
26120215_1966_02_09_01_027.tcf.xml-55-17	0
26120215_1963_04_07_01_034.tcf.xml-54-28	0
26120215_1990_09_29_01_919.tcf.xml-4-19	0
26120215_1989_07_26_01_156.tcf.xml-20-11	0
26120215_1963_11_29_01_007.tcf.xml-13-8	0
26120215_1986_10_10_01_075.tcf.xml-7-19	0
2532889X_1974-10-20_01_048.tcf.xml-29-11	2
26120215_1981_07_08_01_073.tcf.xml-4-23	2
2532889X_1987-12-23_01_055.tcf.xml-32-12	0
26120215_1966_04_29_01_295.tcf.xml-3-18	0
2532889X_1964-09-02_01_107.tcf.xml-102-33	0
2532889X_1987-11-27_01_026.tcf.xml-8-26	2
2532889X_1985-10-17_01_179.tcf.xml-140-22	0
26120215_1982_01_21_01_056.tcf.xml-8-30	0
2532889X_1989-04-10_01_050.tcf.xml-50-50	5
2532889X_1965-03-07_01_234.tcf.xml-32-9	0
2532889X_1963-03-05_01_016.tcf.xml-3-16	6
2532889X_1951-03-31_01_033.tcf.xml-3-22	-1
2532889X_1973-06-30_01_194.tcf.xml-47-22	1
2532889X_1985-12-18_01_048.tcf.xml-4-12	0
