identifier	cluster
lehnert_seehaefen01_1891-30-14	0
schmoller_kleingewerbe_1870-6005-25	0
schroeder_logik03_1895-1006-4	0
wienbarg_plattdeutsch_1834-104-8	0
vischer_aesthetik01_1846-511-62	0
mommsen_roemische02_1855-3318-24	0
vischer_aesthetik01_1846-149-25	0
brandes_naturlehre03_1832-275-46	0
nn_nrhz007b_1848-37-32	0
schmoller_kleingewerbe_1870-5943-3	0
schroeder_logik03_1895-1158-14	0
strauss_jesus01_1835-2688-40	0
carus_zoologie_1872-5656-16	0
vischer_aesthetik030205_1857-1487-14	0
schleiermacher_hermeneutik_1838-3086-6	0
wackernagel_poetik_1873-4683-8	0
leskien_declination_1876-333-23	0
drude_pflanzengeographie_1890-1199-40	1
vischer_aesthetik030204_1857-2262-75	0
brehm_thierleben02_1865-16040-3	2
mommsen_roemische03_1856-1241-27	1
vischer_aesthetik030203_1854-1465-12	0
rumohr_forschungen01_1827-113-15	0
mohl_staatswissenschaften_1859-5812-27	0
huber_verkehr_1893-1075-49	0
beseler_kommentar_1851-9308-7	0
siebold_suesswasserfische_1863-373-27	0
nn_badener056_1898-29-7	0
brehm_thierleben06_1869-405-18	1
brunner_rechtsgeschichte02_1892-3469-24	0
beyer_poetik01_1882-7284-11	-1
klein_riemann_1882-237-21	0
heffter_voelkerrecht_1844-934-24	0
vischer_aesthetik01_1846-413-12	0
ludwig_physiologie02_1856-2442-30	0
carus_zoologie_1872-4383-37	0
brehm_thierleben05_1869-324-28	0
brehm_thierleben01_1864-8689-15	0
schroeder_logik01_1890-2491-24	0
altmann_elementarorganismen_1890-427-9	0
nn_nrhz173_1848-344-11	3
borinski_poetik_1895-2306-10	0
herbart_psychologie01_1824-1406-23	0
robert_griechische_1881-1521-13	0
carus_zoologie_1872-8562-20	1
schroeder_logik03_1895-6015-28	0
wackernagel_poetik_1873-5428-10	0
schroeder_logik03_1895-2085-47	0
brunner_rechtsgeschichte01_1887-6805-26	0
schroeder_logik03_1895-1086-4	0
schauberg_freimaurerei03_1863-1785-51	0
steinen_naturvoelker_1894-7388-31	0
steinen_naturvoelker_1894-3968-9	0
schroeder_logik03_1895-4680-19	0
rumohr_forschungen01_1827-581-34	0
ranke_reformation04_1843-3688-75	0
huber_verkehr_1893-317-12	0
brunner_rechtsgeschichte01_1887-7855-8	0
koelliker_entwicklungs_1861-3950-4	0
beck_eisen02_1895-15-9	0
schroeder_logik01_1890-2331-7	0
mohl_staatswissenschaften_1859-3439-65	0
rumohr_forschungen01_1827-125-22	1
rumohr_forschungen02_1827-153-106	0
rumohr_forschungen01_1827-343-49	0
mommsen_roemische03_1856-503-9	4
strauss_jesus02_1836-1532-27	0
stein_verwaltungslehre02_1866-943-20	0
vischer_aesthetik030204_1857-1817-17	0
laube_europa0102_1833-378-15	-1
rumohr_forschungen03_1831-44-42	1
natorp_sozialpaedagogik_1899-2870-4	0
vischer_aesthetik030204_1857-1657-20	0
savigny_system03_1840-4380-15	0
