identifier	cluster
mayer_verwaltungsrecht02_1896-1949-7	0
mohl_staatswissenschaften_1859-2459-28	0
duehring_berufsbildung_1885-527-34	0
fontane_wuthenow_1883-2612-6	0
ranke_reformation05_1843-4291-20	0
laband_staatsrecht02_1878-3099-42	0
carus_zoologie_1872-3302-68	0
fontane_brandenburg04_1882-2500-29	0
menger_volkswirtschaftslehre_1871-1292-17	0
berg_ostasien04_1873-5197-22	0
urbanitzky_electricitaet_1885-1231-5	0
mayer_verwaltungsrecht01_1895-5894-11	0
vischer_aesthetik0201_1847-1537-45	0
hc_1060305_1848-446-13	0
schroeder_logik01_1890-6484-84	0
mayer_verwaltungsrecht02_1896-7751-21	0
nn_nrhz192_1849-229-8	0
treitschke_geschichte03_1885-1726-6	0
chamberlain_grundlagen01_1899-5766-43	0
liszt_reichsstrafrecht_1881-4401-10	-1
dilthey_geisteswissenschaften_1883-1521-18	0
wilamowitz_aristoteles01_1893-1232-285	0
dronke_polizeigeschichten_1846-990-54	0
falke_trachten02_1858-3057-19	0
brunner_rechtsgeschichte02_1892-3020-15	0
nn_nrhz020_1848-460-27	0
riegl_stilfragen_1893-1272-44	0
steinen_naturvoelker_1894-8353-23	0
beseler_kommentar_1851-562-5	0
treitschke_geschichte03_1885-6363-47	0
treitschke_geschichte03_1885-1351-9	0
vischer_aesthetik01_1846-5944-34	0
hartmann_posten_1868-323-6	0
treitschke_geschichte04_1889-5155-7	0
nn_maehrisches1_1893-192-27	0
rossmaessler_wald_1863-3499-3	0
menger_volkswirtschaftslehre_1871-1271-24	0
mayer_verwaltungsrecht02_1896-4892-2	0
fontane_brandenburg02_1863-2752-16	0
schroeder_logik01_1890-8105-66	0
wilamowitz_aristoteles01_1893-1313-4	0
virchow_cellularpathologie_1858-1591-49	0
robert_griechische_1881-929-31	0
liszt_reichsstrafrecht_1881-2579-35	0
zoeckler_lehre_1879-2387-27	0
buri_causalitaet_1873-571-22	0
gerber_staatsrecht_1865-1111-25	0
steinthal_grammatik_1855-4878-23	0
sanders_ziel4_1881-11-7	0
roepell_polen_1876-2258-99	0
ledebur_eisenhuettenkunde_1884-13798-10	0
rumohr_forschungen01_1827-1800-39	0
carus_zoologie_1872-8286-60	0
mayer_verwaltungsrecht02_1896-978-2	0
herbart_psychologie02_1825-1758-46	0
ludwig_physiologie01_1852-734-51	0
laband_staatsrecht02_1878-6567-10	0
mayer_verwaltungsrecht01_1895-5320-5	0
menger_volkswirtschaftslehre_1871-517-14	0
humboldt_aequinoktial04_1859-1128-18	0
beseler_kommentar_1851-9351-28	0
nn_nrhz130_1848-83-17	0
brunner_rechtsgeschichte02_1892-10709-58	0
wilamowitz_tragoedie_1889-1142-130	0
buechner_werke_1879-10200-34	0
berg_ostasien04_1873-1247-33	0
wilamowitz_tragoedie_1889-109-80	0
weismann_keimplasma_1892-4257-9	0
mohl_staatswissenschaften_1859-3913-15	0
ludwig_physiologie01_1852-2468-15	0
nn_nrhz279ii_1849-14-8	0
ledebur_eisenhuettenkunde_1884-8165-41	0
nn_nrhz254_1849-595-19	-1
schauberg_freimaurerei03_1863-6451-9	0
brunner_rechtsgeschichte02_1892-12211-20	0
schroeder_logik01_1890-9207-30	0
chamberlain_grundlagen02_1899-982-26	0
buri_causalitaet_1873-253-7	0
brunner_rechtsgeschichte02_1892-7146-32	0
mayer_duengerkapital_1869-561-40	0
chamberlain_grundlagen02_1899-850-8	0
wackernagel_poetik_1873-521-16	0
stein_verwaltungslehre04_1867-2188-15	0
beseler_kommentar_1851-3756-8	0
brehm_thierleben01_1864-28-35	0
nn_nrhz112_1848-276-11	0
menger_volkswirtschaftslehre_1871-1602-52	0
chamberlain_grundlagen02_1899-3253-36	0
jhering_recht03_1865-1363-40	0
vischer_aesthetik0201_1847-1026-17	0
virchow_cellularpathologie_1858-1527-45	0
schroeder_logik01_1890-8162-47	0
dilthey_geisteswissenschaften_1883-3132-68	0
stein_verwaltungslehre01_1865-1893-15	0
purtscheller_alpinismus_1894-89-24	0
beseler_kommentar_1851-3849-41	0
robert_griechische_1881-774-34	0
curtius_alterthum01_1875-74-41	0
humboldt_aequinoktial02_1859-3847-30	0
nn_maehrisches29_1887-161-17	0
26120215_1987_01_22_01_149.tcf.xml-4-37	0
26120215_1963_05_25_01_181.tcf.xml-4-8	0
2532889X_1982-09-15_01_062.tcf.xml-42-19	0
2532889X_1965-06-29_01_160.tcf.xml-8-11	0
2532889X_1969-09-06_01_311.tcf.xml-11-21	0
26120215_1987_03_07_01_027.tcf.xml-154-19	0
2532889X_1949-11-05_01_047.tcf.xml-21-12	0
2532889X_1956-07-13_01_059.tcf.xml-39-30	0
2532889X_1967-09-27_01_238.tcf.xml-43-11	0
2532889X_1983-03-17_01_241.tcf.xml-22-54	0
2532889X_1949-10-06_01_065.tcf.xml-23-26	0
2532889X_1959-05-19_01_060.tcf.xml-4-21	0
26120215_1952_08_28_01_278.tcf.xml-5-6	-1
26120215_1984_01_28_01_110.tcf.xml-18-29	0
2532889X_1965-11-13_01_194.tcf.xml-34-14	0
26120215_1957_06_08_01_103.tcf.xml-3-21	0
2532889X_1963-09-14_01_010.tcf.xml-16-3	0
2532889X_1955-06-09_01_032.tcf.xml-22-28	0
26120215_1957_01_12_01_193.tcf.xml-9-7	0
2532889X_1983-01-08_01_206.tcf.xml-4-44	1
2532889X_1981-02-14_01_126.tcf.xml-4-8	0
26120215_1985_03_04_01_005.tcf.xml-30-33	0
2532889X_1980-03-27_01_057.tcf.xml-5-13	0
2532889X_1971-04-27_01_090.tcf.xml-13-52	0
2532889X_1988-07-05_01_035.tcf.xml-12-19	0
2532889X_1962-03-26_01_043.tcf.xml-5-19	0
2532889X_1959-10-06_01_075.tcf.xml-5-11	0
26120215_1976_06_30_01_104.tcf.xml-42-28	0
2532889X_1953-10-06_01_044.tcf.xml-4-28	0
26120215_1964_07_09_01_032.tcf.xml-9-12	0
26120215_1977_06_10_01_017.tcf.xml-19-35	0
26120215_1953_07_30_01_222.tcf.xml-2-23	0
26120215_1956_10_05_01_080.tcf.xml-12-15	0
2532889X_1979-11-10_01_146.tcf.xml-9-14	0
26120215_1967_12_01_01_076.tcf.xml-5-14	0
26120215_1958_06_17_01_155.tcf.xml-33-34	0
26120215_1964_01_19_01_050.tcf.xml-7-26	0
2532889X_1952-02-26_01_042.tcf.xml-44-5	0
2532889X_1986-09-05_01_100.tcf.xml-3-43	0
2532889X_1956-11-28_01_107.tcf.xml-16-71	0
26120215_1958_10_26_02_277.tcf.xml-3-12	0
26120215_1967_05_17_01_049.tcf.xml-7-49	0
26120215_1966_08_07_01_518.tcf.xml-25-6	0
2532889X_1972-11-11_01_190.tcf.xml-3-11	0
2532889X_1955-11-16_01_038.tcf.xml-51-24	0
2532889X_1950-12-24_01_151.tcf.xml-45-11	0
2532889X_1952-08-30_01_040.tcf.xml-9-26	0
26120215_1950_10_24_01_016.tcf.xml-15-30	0
2532889X_1975-03-31_01_017.tcf.xml-5-4	0
2532889X_1955-11-22_01_091.tcf.xml-23-34	0
2532889X_1982-07-31_01_075.tcf.xml-24-21	0
2532889X_1970-07-14_01_145.tcf.xml-3-28	0
2532889X_1959-09-13_01_092.tcf.xml-2-35	0
26120215_1986_05_24_01_169.tcf.xml-23-12	0
2532889X_1968-02-03_01_258.tcf.xml-11-17	0
26120215_1949_09_23_01_051.tcf.xml-2-15	0
2532889X_1948-07-27_01_027.tcf.xml-2-59	0
26120215_1955_05_25_01_179.tcf.xml-39-44	0
26120215_1969_06_09_01_107.tcf.xml-147-30	0
26120215_1973_08_19_01_339.tcf.xml-26-9	0
26120215_1975_10_22_01_007.tcf.xml-40-27	0
26120215_1982_12_31_01_268.tcf.xml-79-6	0
2532889X_1962-07-20_01_006.tcf.xml-18-13	0
2532889X_1967-02-05_01_157.tcf.xml-12-3	-1
2532889X_1969-06-14_01_244.tcf.xml-72-21	0
2532889X_1969-03-06_01_065.tcf.xml-49-18	0
26120215_1947_06_10_01_194.tcf.xml-14-23	0
26120215_1948_09_09_01_056.tcf.xml-8-41	0
26120215_1973_02_02_01_043.tcf.xml-12-12	0
26120215_1969_08_03_01_032.tcf.xml-39-10	0
2532889X_1984-07-28_01_108.tcf.xml-5-15	0
2532889X_1972-09-14_01_106.tcf.xml-4-6	0
2532889X_1964-03-09_01_137.tcf.xml-56-41	0
26120215_1952_07_24_01_004.tcf.xml-9-8	0
2532889X_1947-08-22_01_014.tcf.xml-32-30	0
26120215_1965_02_05_01_047.tcf.xml-55-4	0
2532889X_1972-09-08_01_036.tcf.xml-19-3	0
2532889X_1968-09-12_01_221.tcf.xml-4-13	0
26120215_1987_11_30_01_208.tcf.xml-8-28	0
2532889X_1989-04-18_01_008.tcf.xml-9-24	0
2532889X_1970-10-09_01_080.tcf.xml-3-17	0
2532889X_1987-01-29_01_013.tcf.xml-3-15	0
26120215_1947_07_20_01_213.tcf.xml-32-23	0
26120215_1954_05_27_01_161.tcf.xml-15-56	0
2532889X_1965-09-07_01_024.tcf.xml-9-37	0
2532889X_1949-01-20_01_016.tcf.xml-14-20	0
2532889X_1986-10-25_01_065.tcf.xml-8-22	0
26120215_1951_06_19_01_008.tcf.xml-3-3	0
2532889X_1951-04-19_01_072.tcf.xml-25-11	0
2532889X_1990-05-10_01_016.tcf.xml-8-22	0
2532889X_1960-11-30_01_059.tcf.xml-7-11	0
2532889X_1948-04-09_01_108.tcf.xml-36-13	0
2532889X_1961-03-31_01_051.tcf.xml-22-18	0
2532889X_1990-10-01_01_110.tcf.xml-41-4	0
26120215_1981_12_10_01_166.tcf.xml-26-18	0
2532889X_1970-02-18_01_136.tcf.xml-17-30	0
2532889X_1965-06-01_01_046.tcf.xml-9-10	0
26120215_1983_04_07_01_198.tcf.xml-31-11	0
2532889X_1979-11-26_01_049.tcf.xml-15-20	0
26120215_1957_01_10_01_270.tcf.xml-8-30	0
