identifier	cluster
steinen_naturvoelker_1894-9948-19	0
burckhardt_cicerone_1855-18498-17	0
nn_nrhz058b_1848-256-20	0
ranke_reformation05_1843-205-5	0
lehnert_seehaefen01_1891-3022-27	0
bluntschli_voelkerrecht_1868-3052-15	0
heckert_schulgesetzgebung_1847-5743-32	0
humboldt_aequinoktial04_1859-949-29	0
keller_sinngedicht_1882-1590-20	0
nn_nrhz081_1848-232-28	0
treitschke_geschichte05_1894-5996-17	0
buechner_werke_1879-9044-17	0
moerike_nolten02_1832-1822-66	0
nn_nrhz067_1848-136-6	0
nn_nrhz290_1849-104-21	0
moerike_nolten02_1832-2526-11	0
nn_nrhz112_1848-430-81	0
steinen_naturvoelker_1894-10860-11	0
brehm_thierleben06_1869-16473-8	0
nn_nrhz082_1848-513-18	0
burckhardt_cicerone_1855-11341-26	0
treitschke_geschichte02_1882-1485-71	0
paul_titan03_1802-647-9	0
nn_nrhz081_1848-231-15	0
buechner_werke_1879-9043-28	0
nn_nrhz067_1848-62-16	0
treitschke_geschichte05_1894-9817-34	0
nettelbeck_lebensbeschreibung02_1821-593-16	0
schwab_sagen01_1838-3146-38	0
nettelbeck_lebensbeschreibung01_1821-1018-14	0
nn_nrhz080_1848-662-13	0
nn_nrhz074_1848-386-29	0
lasswitz_planeten02_1897-6935-15	0
nn_nrhz161_1848-115-15	0
heckert_schulgesetzgebung_1847-5018-33	0
raabe_odfeld_1889-460-12	0
baumstark_encyclopaedie_1835-18542-91	0
holtei_vagabunden03_1852-2562-20	0
baumgart_poetik_1887-7809-17	0
oken_biologie_1805-476-25	0
nn_nrhz081_1848-194-13	0
brunner_rechtsgeschichte02_1892-8116-43	0
goethe_leben02_1812-1153-34	0
steinen_naturvoelker_1894-1301-12	0
nn_nrhz068_1848-205-14	-1
nn_nrhz155b_1848-213-14	0
bluntschli_voelkerrecht_1868-2065-21	0
steinen_naturvoelker_1894-1969-27	0
brunner_rechtsgeschichte02_1892-7554-26	0
nn_nrhz080_1848-657-13	0
nn_badener101_1896-272-11	0
nn_nrhz099b_1848-302-29	0
buechner_werke_1879-1466-19	0
nn_nrhz289b_1849-102-46	0
schiller_stuart_1801-656-8	0
nn_nrhz247_1849-171-24	0
nettelbeck_lebensbeschreibung02_1821-1374-17	0
vogt_briefe02_1851-2852-56	0
schwappach_forstpolitik_1894-4710-29	0
schroeder_logik0201_1891-490-65	-1
bechstein_dunkelgraf_1854-4071-23	0
dahlmann_geschichte_1845-3857-66	0
brunner_rechtsgeschichte02_1892-11402-5	0
jahn_volksthum_1810-2082-19	0
raabe_odfeld_1889-604-46	0
keller_sinngedicht_1882-1787-21	0
steinthal_grammatik_1855-2321-12	0
brunner_rechtsgeschichte02_1892-7409-18	0
26120215_1982_01_16_01_112.tcf.xml-6-15	1
2532889X_1973-10-05_01_056.tcf.xml-30-12	0
26120215_1980_10_03_01_042.tcf.xml-32-8	0
26120215_1976_03_27_01_216.tcf.xml-7-10	0
26120215_1948_10_03_01_231.tcf.xml-98-48	0
2532889X_1970-04-08_01_009.tcf.xml-5-30	0
2532889X_1979-09-29_01_156.tcf.xml-4-25	0
2532889X_1963-11-25_01_055.tcf.xml-25-12	0
26120215_1956_04_28_01_196.tcf.xml-5-30	0
2532889X_1986-03-07_01_091.tcf.xml-2-15	0
2532889X_1977-01-06_01_191.tcf.xml-5-10	0
26120215_1975_11_21_01_118.tcf.xml-9-17	0
2532889X_1989-06-30_01_133.tcf.xml-33-19	1
26120215_1963_09_05_01_005.tcf.xml-23-20	0
2532889X_1984-09-14_01_071.tcf.xml-42-42	0
26120215_1978_10_03_01_026.tcf.xml-13-8	0
2532889X_1979-11-23_01_060.tcf.xml-32-10	0
2532889X_1976-08-21_01_350.tcf.xml-5-8	0
2532889X_1968-03-08_01_081.tcf.xml-5-13	0
2532889X_1964-08-02_01_076.tcf.xml-48-18	0
2532889X_1987-06-06_01_262.tcf.xml-21-8	0
26120215_1950_01_12_01_007.tcf.xml-13-15	0
2532889X_1987-04-24_01_149.tcf.xml-127-27	0
2532889X_1988-03-01_01_180.tcf.xml-35-40	0
2532889X_1958-12-06_01_123.tcf.xml-14-4	0
26120215_1973_01_11_01_051.tcf.xml-16-29	0
26120215_1954_06_15_01_011.tcf.xml-12-20	0
26120215_1953_05_06_01_008.tcf.xml-4-31	0
2532889X_1986-11-26_01_142.tcf.xml-5-27	0
2532889X_1986-01-10_01_053.tcf.xml-24-12	0
2532889X_1972-10-06_01_161.tcf.xml-11-33	0
2532889X_1969-07-22_01_174.tcf.xml-2-20	0
26120215_1965_10_31_01_067.tcf.xml-23-20	0
26120215_1982_06_26_01_119.tcf.xml-12-22	0
2532889X_1975-04-19_01_158.tcf.xml-3-10	0
2532889X_1983-08-22_01_041.tcf.xml-9-16	0
2532889X_1965-03-26_01_060.tcf.xml-16-19	0
26120215_1969_03_09_01_026.tcf.xml-67-25	0
2532889X_1986-04-17_01_060.tcf.xml-47-12	0
2532889X_1976-10-27_01_110.tcf.xml-12-11	0
2532889X_1985-10-26_01_196.tcf.xml-4-12	0
2532889X_1983-05-26_01_159.tcf.xml-6-10	0
2532889X_1982-12-15_01_052.tcf.xml-8-13	0
26120215_1976_01_24_01_314.tcf.xml-8-10	1
26120215_1953_08_08_01_184.tcf.xml-10-8	0
26120215_1971_08_27_01_278.tcf.xml-7-7	0
26120215_1975_04_19_01_106.tcf.xml-5-10	0
2532889X_1952-05-15_01_036.tcf.xml-2-46	0
2532889X_1962-12-11_01_115.tcf.xml-7-16	0
26120215_1974_07_22_01_028.tcf.xml-4-16	0
2532889X_1979-10-31_01_153.tcf.xml-5-9	0
2532889X_1977-03-04_01_119.tcf.xml-15-10	0
2532889X_1970-09-28_01_087.tcf.xml-6-7	-1
26120215_1984_08_11_01_131.tcf.xml-21-8	0
2532889X_1983-08-13_01_384.tcf.xml-18-17	0
26120215_1973_04_04_01_018.tcf.xml-2-21	0
2532889X_1971-11-08_01_169.tcf.xml-11-23	0
2532889X_1954-12-23_01_074.tcf.xml-2-24	0
26120215_1949_10_23_01_034.tcf.xml-10-17	0
2532889X_1971-08-29_01_154.tcf.xml-19-7	0
26120215_1965_10_31_01_549.tcf.xml-6-21	0
2532889X_1956-02-12_01_020.tcf.xml-19-24	0
26120215_1986_01_28_01_283.tcf.xml-18-16	0
26120215_1948_04_01_01_009.tcf.xml-10-55	0
26120215_1960_08_03_01_307.tcf.xml-8-35	0
2532889X_1970-04-29_01_061.tcf.xml-41-14	0
2532889X_1969-06-14_01_220.tcf.xml-5-9	0
2532889X_1984-06-23_01_141.tcf.xml-22-14	0
26120215_1966_02_23_01_209.tcf.xml-13-18	0
2532889X_1978-08-27_01_028.tcf.xml-9-8	0
2532889X_1969-05-15_01_065.tcf.xml-54-12	0
26120215_1952_01_05_01_020.tcf.xml-29-7	0
