identifier	cluster
gerstner_mechanik01_1831-7908-49	0
arnimb_guenderode01_1840-770-48	1
lehnert_seehaefen01_1891-13579-13	0
pocci_komoedienbuechlein01_1859-3910-27	0
schweiger_armenien_1878-1425-15	0
stifter_nachsommer01_1857-1009-9	0
berg_ostasien01_1864-4003-26	0
baumstark_encyclopaedie_1835-10729-28	0
rosegger_waldschulmeister_1875-504-12	1
menzel_maurer_1847-1252-19	0
berlepsch_alpen_1861-1071-7	1
vischer_aesthetik030201_1852-574-37	6
dilthey_geisteswissenschaften_1883-2172-1	2
herbart_psychologie02_1825-45-36	1
krafft_landwirthschaft02_1876-2967-25	0
samter_erfindungen_1896-1513-14	0
menzel_literatur02_1828-938-3	3
siemens_telegraphie_1866-270-10	0
nn_nrhz233_1849-281-53	0
vischer_aesthetik030201_1852-1344-18	0
niebuhr_roemische02_1812-2599-6	0
gerstner_mechanik01_1831-7667-3	-1
gerstner_mechanik02_1832-8452-83	0
gerstner_mechanik01_1831-8106-20	0
stock_gesellenwesen_1844-1006-18	1
vischer_aesthetik030201_1852-1537-66	0
treitschke_geschichte02_1882-4436-32	0
berlepsch_alpen_1861-3003-122	0
berlepsch_alpen_1861-2780-36	0
menzel_maurer_1847-2542-12	0
bluntschli_voelkerrecht_1868-7175-2	1
vischer_aesthetik030201_1852-480-4	0
niethammer_philantropinismus_1808-173-56	1
ledebur_eisenhuettenkunde_1884-1065-12	0
treitschke_geschichte03_1885-9000-9	2
bluntschli_staatslehre_1875-4713-59	7
burckhardt_cicerone_1855-2470-18	0
vischer_aesthetik030201_1852-1472-56	0
stifter_nachsommer03_1857-3393-15	0
frapan_fluegel_1895-2722-6	2
laube_bernsteinhexe_1846-1080-4	1
vischer_aesthetik030201_1852-1464-19	0
droste_letzte_1860-1046-32	0
ledebur_eisenhuettenkunde_1884-14496-6	0
vischer_aesthetik030201_1852-1750-18	0
menzel_maurer_1847-3001-8	0
bluntschli_voelkerrecht_1868-548-14	1
marx_kapital0302_1894-532-34	1
may_kurdistan_1892-11738-21	0
vischer_auch02_1879-1252-13	2
steinen_naturvoelker_1894-4559-24	0
beck_eisen04_1899-1092-20	0
beck_eisen04_1899-5268-44	0
brehm_thierleben04_1867-8357-1	0
vischer_aesthetik030201_1852-537-25	0
paul_katzenberger01_1809-624-11	2
menzel_maurer_1847-3296-7	0
wackernagel_poetik_1873-3635-58	1
zoeckler_lehre_1879-676-7	1
lehnert_seehaefen01_1891-6505-33	0
ledebur_eisenhuettenkunde_1884-1818-38	0
rein_japan02_1886-7327-31	0
menzel_maurer_1847-2292-11	0
dohm_jesuitismus_1873-208-25	1
bluntschli_voelkerrecht_1868-2325-9	1
gerstner_mechanik01_1831-8366-16	0
humboldt_grenzen_1851-641-50	1
rosenkranz_aesthetik_1853-1698-0	1
spielhagen_problematische03_1861-1574-13	1
treitschke_geschichte04_1889-4597-18	0
rumohr_forschungen03_1831-1983-74	0
strauss_jesus01_1835-2171-1	2
immermann_muenchhausen03_1839-2311-2	1
baumgart_poetik_1887-3812-9	1
ludwig_himmel_1856-3855-12	1
lehnert_seehaefen01_1891-6453-15	0
menzel_maurer_1847-2577-14	0
nn_nrhz249b_1849-44-22	3
erbkam_tagebuch01_1842-1580-46	0
fouque_frauen_1826-1436-57	1
falke_trachten02_1858-2545-26	0
hc_1070405_1848-446-3	1
bluntschli_staatslehre_1875-5168-11	1
vischer_aesthetik030201_1852-249-11	0
rapsilber_reichstagsgebaeude_1895-208-11	0
lasswitz_planeten02_1897-210-12	0
kerner_besessene_1834-2190-7	1
vischer_aesthetik030201_1852-457-109	0
gerstner_mechanik01_1831-7915-29	4
muellner_kaliber_1829-736-4	1
kleinpaul_poetik_1843-2627-10	1
beck_eisen01_1884-5529-19	0
burckhardt_cicerone_1855-1498-18	0
gerstner_mechanik01_1831-8106-63	0
wackernagel_poetik_1873-693-21	1
bluntschli_staatslehre_1875-4658-26	1
gutzkow_serapionsbrueder01_1877-96-45	1
treviranus_biologie06_1822-2695-23	0
samter_erfindungen_1896-11238-41	0
vischer_aesthetik030201_1852-527-16	0
26120215_1951_05_01_02_045.tcf.xml-17-10	0
2532889X_1977-06-04_01_532.tcf.xml-2-11	0
2532889X_1975-11-24_01_038.tcf.xml-2-22	0
26120215_1973_03_23_01_138.tcf.xml-5-13	0
26120215_1946_10_30_01_157.tcf.xml-43-36	0
26120215_1973_06_10_01_022.tcf.xml-28-17	0
26120215_1978_11_27_01_139.tcf.xml-13-12	0
2532889X_1981-09-18_01_168.tcf.xml-9-8	0
26120215_1968_08_09_01_040.tcf.xml-37-32	0
2532889X_1980-05-30_01_036.tcf.xml-12-6	0
26120215_1973_03_05_01_077.tcf.xml-8-28	0
26120215_1972_06_17_01_062.tcf.xml-1-17	0
26120215_1985_02_19_01_014.tcf.xml-3-13	0
2532889X_1978-10-04_01_044.tcf.xml-3-1	0
26120215_1972_03_18_01_077.tcf.xml-34-2	4
26120215_1951_10_21_01_047.tcf.xml-6-7	0
2532889X_1981-02-14_01_071.tcf.xml-7-20	0
2532889X_1955-05-03_01_035.tcf.xml-56-13	0
2532889X_1965-11-26_01_074.tcf.xml-3-16	0
26120215_1990_06_02_01_529.tcf.xml-2-33	0
26120215_1979_01_09_01_052.tcf.xml-67-14	1
2532889X_1973-04-07_01_325.tcf.xml-48-17	3
2532889X_1984-03-30_01_253.tcf.xml-4-14	0
2532889X_1949-09-28_01_015.tcf.xml-11-25	0
26120215_1966_09_14_01_081.tcf.xml-62-3	0
2532889X_1985-08-07_01_041.tcf.xml-8-11	0
2532889X_1980-06-24_01_121.tcf.xml-21-12	0
2532889X_1974-03-09_01_377.tcf.xml-10-15	0
2532889X_1965-09-11_01_085.tcf.xml-16-8	5
2532889X_1965-12-05_01_014.tcf.xml-3-10	3
26120215_1974_05_22_01_287.tcf.xml-2-23	0
2532889X_1978-07-15_01_224.tcf.xml-31-11	0
2532889X_1982-05-22_01_096.tcf.xml-2-17	-1
26120215_1950_03_16_01_017.tcf.xml-30-8	1
2532889X_1974-08-20_01_172.tcf.xml-10-23	0
26120215_1985_07_23_01_051.tcf.xml-9-26	0
2532889X_1971-11-13_01_247.tcf.xml-61-5	0
26120215_1966_10_16_01_006.tcf.xml-38-16	0
26120215_1964_10_18_01_411.tcf.xml-165-3	0
26120215_1975_08_05_01_010.tcf.xml-6-6	0
2532889X_1980-05-10_01_109.tcf.xml-5-7	0
26120215_1990_12_04_01_312.tcf.xml-36-5	0
2532889X_1968-05-03_01_252.tcf.xml-6-9	0
26120215_1989_11_11_01_298.tcf.xml-7-8	0
2532889X_1969-01-03_01_100.tcf.xml-8-9	2
26120215_1970_06_24_01_335.tcf.xml-4-32	0
26120215_1974_08_01_01_044.tcf.xml-1-12	0
26120215_1947_01_09_01_280.tcf.xml-18-35	0
26120215_1971_08_20_01_093.tcf.xml-3-30	0
2532889X_1962-02-12_01_022.tcf.xml-9-16	0
2532889X_1971-11-20_01_237.tcf.xml-16-41	0
2532889X_1973-05-26_01_250.tcf.xml-2-18	0
2532889X_1955-05-06_01_057.tcf.xml-100-23	0
2532889X_1961-04-10_01_051.tcf.xml-4-2	8
26120215_1964_09_13_01_407.tcf.xml-27-16	1
2532889X_1981-03-17_01_086.tcf.xml-42-16	2
2532889X_1968-05-18_01_185.tcf.xml-3-17	0
2532889X_1983-06-29_01_081.tcf.xml-6-20	0
26120215_1959_09_10_01_169.tcf.xml-7-9	0
26120215_1967_06_18_01_186.tcf.xml-2-9	0
2532889X_1972-06-25_01_031.tcf.xml-15-7	0
2532889X_1964-11-23_01_007.tcf.xml-3-10	0
26120215_1961_08_10_01_204.tcf.xml-26-15	0
26120215_1964_08_02_01_186.tcf.xml-48-76	1
26120215_1947_03_19_01_053.tcf.xml-4-44	1
2532889X_1968-06-17_01_062.tcf.xml-8-6	0
26120215_1976_04_09_01_146.tcf.xml-1-39	0
2532889X_1979-05-26_01_348.tcf.xml-2-7	0
2532889X_1987-10-01_01_078.tcf.xml-2-10	0
26120215_1966_10_05_01_220.tcf.xml-3-20	0
26120215_1968_09_23_01_096.tcf.xml-3-4	1
26120215_1971_09_29_01_226.tcf.xml-51-20	0
2532889X_1967-11-29_01_260.tcf.xml-6-8	0
2532889X_1967-01-18_01_012.tcf.xml-17-5	0
26120215_1980_08_21_01_160.tcf.xml-17-4	1
26120215_1979_07_24_01_008.tcf.xml-2-16	0
26120215_1973_02_21_01_352.tcf.xml-22-1	0
2532889X_1975-10-22_01_155.tcf.xml-2-23	0
26120215_1956_01_28_01_033.tcf.xml-4-32	1
26120215_1973_08_22_01_144.tcf.xml-17-18	0
26120215_1985_08_07_01_012.tcf.xml-10-13	0
2532889X_1983-07-26_01_034.tcf.xml-17-18	0
26120215_1981_05_07_01_175.tcf.xml-13-3	0
2532889X_1979-11-05_01_025.tcf.xml-2-1	0
2532889X_1964-12-17_01_185.tcf.xml-6-16	-1
2532889X_1987-11-30_01_052.tcf.xml-106-18	0
26120215_1975_10_23_01_356.tcf.xml-7-3	0
2532889X_1972-08-03_01_137.tcf.xml-16-3	0
2532889X_1989-08-04_01_095.tcf.xml-4-5	0
2532889X_1952-10-14_01_100.tcf.xml-139-10	1
26120215_1981_03_19_01_051.tcf.xml-8-35	0
26120215_1989_05_24_01_082.tcf.xml-9-22	0
26120215_1973_04_27_01_335.tcf.xml-3-1	0
26120215_1948_01_13_01_005.tcf.xml-21-35	5
2532889X_1977-05-21_01_402.tcf.xml-13-2	0
26120215_1972_10_26_01_011.tcf.xml-1-19	0
26120215_1988_03_15_01_265.tcf.xml-102-21	-1
26120215_1980_11_10_01_162.tcf.xml-6-35	0
2532889X_1959-09-24_01_095.tcf.xml-2-1	0
2532889X_1982-02-19_01_130.tcf.xml-4-28	0
