identifier	cluster
2532889X_1947-07-13_02_059.tcf.xml-16-12	sense1
2532889X_1949-10-09_01_039.tcf.xml-11-13	sense1
2532889X_1953-04-22_01_051.tcf.xml-37-29	sense1
2532889X_1962-12-08_01_129.tcf.xml-71-18	-1
2532889X_1965-10-24_01_236.tcf.xml-10-3	sense1
2532889X_1966-11-27_01_243.tcf.xml-5-14	sense1
2532889X_1967-01-15_01_271.tcf.xml-29-5	sense4
2532889X_1969-12-11_01_393.tcf.xml-12-1	sense3
2532889X_1972-09-02_01_044.tcf.xml-9-23	sense4
2532889X_1988-08-27_01_200.tcf.xml-20-10	sense4
26120215_1949_11_02_01_037.tcf.xml-38-18	sense1
26120215_1958_06_01_02_434.tcf.xml-100-29	sense1
26120215_1960_08_21_01_550.tcf.xml-1-12	sense3
26120215_1961_11_19_01_252.tcf.xml-6-33	sense1
26120215_1965_01_10_01_386.tcf.xml-161-23	sense1
26120215_1965_09_17_01_405.tcf.xml-6-9	sense3
26120215_1965_12_24_01_260.tcf.xml-7-6	sense1
26120215_1968_03_31_01_226.tcf.xml-48-44	sense4
26120215_1969_02_02_01_188.tcf.xml-9-11	sense1
26120215_1970_06_10_01_364.tcf.xml-352-16	sense1
26120215_1977_01_03_01_031.tcf.xml-12-1	sense3
26120215_1979_10_20_01_379.tcf.xml-18-14	sense3
26120215_1985_04_06_01_236.tcf.xml-6-10	sense3
26120215_1986_08_08_01_111.tcf.xml-6-19	sense1
26120215_1989_12_09_01_386.tcf.xml-368-2	sense1
arnimb_goethe02_1835-21-13	sense1
aston_emancipation_1846-250-11	sense1
avelallemant_gaunerthum02_1858-2188-11	sense1
buechner_werke_1879-5490-17	sense1
burckhardt_cicerone_1855-12284-24	sense1
falke_trachten02_1858-1207-16	sense1
falke_trachten02_1858-1657-40	sense1
falke_trachten02_1858-1840-46	sense1
falke_trachten02_1858-2068-4	sense1
falke_trachten02_1858-2512-40	sense1
gutzkow_zeitgenossen01_1842-539-17	sense1
heine_lieder_1827-54-16	sense1
krane_reitpferd_1856-1715-26	sense1
kuernberger_amerikamuede_1855-849-7	sense1
meyer_jenatsch_1876-1251-2	sense1
meyer_jenatsch_1876-534-13	sense1
michelis_reiseschule_1869-402-1	sense1
michelis_reiseschule_1869-404-3	sense1
mommsen_roemische03_1856-1593-11	sense1
mosen_galerie_1844-259-42	sense1
paul_titan01_1800-832-144	sense1
polenz_buettnerbauer_1895-5600-16	sense1
raabe_odfeld_1889-2018-4	sense1
storm_immensee_1852-231-13	sense1
varnhagen_rahel02_1834-2787-13	sense1
